,level_0,metadata_title,date,index,filepath,dir,newspaper_title,newspaper_date,newspaper_city,newspaper_publisher,newspaper_source,newspaper_volume,newspaper_issuenumber,newspaper_language
0,0,DDD:ddd:110637387:mpeg21.didl.xml.gz.xml,1950-04-27,0,../data/1950/04-27/DDD_110637387/DDD:ddd:110637387:mpeg21.didl.xml.gz.xml,../data/1950/04-27/DDD_110637387,De West : nieuwsblad uit en voor Suriname,1950-04-27,Paramaribo,W. Kraan,Koninklijke Bibliotheek,41,5087,nl
1,1,DDD:ddd:110584873:mpeg21.didl.xml.gz.xml,1950-04-27,1,../data/1950/04-27/DDD_110584873/DDD:ddd:110584873:mpeg21.didl.xml.gz.xml,../data/1950/04-27/DDD_110584873,De Telegraaf,1950-04-27,Amsterdam,Dagblad De Telegraaf,KB C 98,53,19509,nl
2,2,DDD:ddd:010852534:mpeg21.didl.xml.gz.xml,1950-04-27,2,../data/1950/04-27/DDD_010852534/DDD:ddd:010852534:mpeg21.didl.xml.gz.xml,../data/1950/04-27/DDD_010852534,De waarheid,1950-04-27,Amsterdam,s.n.,Internationaal Instituut voor Sociale Geschiedenis ZF 40364,9,301,nl
3,3,DDD:ddd:011155348:mpeg21.didl.xml.gz.xml,1950-04-27,3,../data/1950/04-27/DDD_011155348/DDD:ddd:011155348:mpeg21.didl.xml.gz.xml,../data/1950/04-27/DDD_011155348,De Gooi- en Eemlander : nieuws- en advertentieblad,1950-04-27,Hilversum,Joh. Geradtsen comp.,Koninklijke Bibliotheek MM03C-101551,78,12277,nl
4,4,DDD:ddd:011199764:mpeg21.didl.xml.gz.xml,1950-04-27,4,../data/1950/04-27/DDD_011199764/DDD:ddd:011199764:mpeg21.didl.xml.gz.xml,../data/1950/04-27/DDD_011199764,De Tĳd : godsdienstig-staatkundig dagblad,1950-04-27,'s-Hertogenbosch,Gebr. Verhoeven,Koninklijke Bibliotheek C 236,105,34414,nl
5,5,DDD:ddd:010480517:mpeg21.didl.xml.gz.xml,1950-04-27,5,../data/1950/04-27/DDD_010480517/DDD:ddd:010480517:mpeg21.didl.xml.gz.xml,../data/1950/04-27/DDD_010480517,Het nieuws : algemeen dagblad,1950-04-27,Paramaribo,A.J. Morpurgo,KB C 197,7,2048,nl
6,6,DDD:ddd:010475614:mpeg21.didl.xml.gz.xml,1950-04-27,6,../data/1950/04-27/DDD_010475614/DDD:ddd:010475614:mpeg21.didl.xml.gz.xml,../data/1950/04-27/DDD_010475614,Het nieuwsblad voor Sumatra,1950-04-27,Medan,Deli Courant en De Sumatra post,KB C 937,3,546,nl
7,7,DDD:ddd:010403240:mpeg21.didl.xml.gz.xml,1950-04-27,7,../data/1950/04-27/DDD_010403240/DDD:ddd:010403240:mpeg21.didl.xml.gz.xml,../data/1950/04-27/DDD_010403240,Amigoe di Curacao : weekblad voor de Curacaosche eilanden,1950-04-27,[Willemstad,NV Paulus Drukkerĳ,KB C 251,67,7851,nl
8,8,DDD:ddd:010862537:mpeg21.didl.xml.gz.xml,1950-04-27,8,../data/1950/04-27/DDD_010862537/DDD:ddd:010862537:mpeg21.didl.xml.gz.xml,../data/1950/04-27/DDD_010862537,De locomotief : Samarangsch handels- en advertentie-blad,1950-04-27,Semarang,"De Groot, Kolff & Co",Koninklijk Instituut voor de Tropen (KIT) L5016,98,197,nl
9,9,DDD:ddd:010865749:mpeg21.didl.xml.gz.xml,1950-04-27,9,../data/1950/04-27/DDD_010865749/DDD:ddd:010865749:mpeg21.didl.xml.gz.xml,../data/1950/04-27/DDD_010865749,"Java-bode : nieuws, handels- en advertentieblad voor Nederlandsch-Indie",1950-04-27,Batavia,Bruining,Koninklijk Instituut voor de Tropen (KIT) L 5000,98,219,nl
