Unnamed: 0_x,type,text,article_name,date,index_article,article_filepath,dir,Unnamed: 0_y,metadata_title,index_metadata,metadata_filepath,newspaper_title,newspaper_date,newspaper_city,newspaper_publisher,newspaper_source,newspaper_volume,newspaper_issuenumber,newspaper_language
2680,p,"Tengevolge van de mUnwerkersstaking is het Amerikaanse spoorwegverkeer nieuwe beperkingen opgelegd. De federale commissie voor de handel heeft bepaald, dat de steenkool stokende goederentreinen 25 procent minder brandstof mogen gebruiken en dat de passagiersdiensten met stoomtreinen moeten worden ingekrompen tot 50 procent van die, welke op 1 December werden gereden. — EEN STRAAT TE ROCKCLIFFE (Canada), een voorstadje van Ottawa, is genoemd naar koningin Juliana, die een tijd in deze plaats vertoefde gedurende de- oorlog. De gemeenteraad van Rockcliffe heeft namelijk besloten, dat de „Athlone Avenue"" zal worden herdoopt in „Juliana Road"".",DDD_011155283_0109_articletext.xml,1950-02-09,100964,../data/1950/02-09/DDD_011155283/DDD_011155283_0109_articletext.xml,../data/1950/02-09/DDD_011155283,784.0,DDD:ddd:011155283:mpeg21.didl.xml.gz.xml,931.0,../data/1950/02-09/DDD_011155283/DDD:ddd:011155283:mpeg21.didl.xml.gz.xml,De Gooi- en Eemlander : nieuws- en advertentieblad,1950-02-09,Hilversum,Joh. Geradtsen comp.,Koninklijke Bibliotheek MM03C-101551,78.0,12212.0,nl
8133,p,"En dat hernieuwde enthousiasme is gewekt, omdat men zich realiseerde, dat het hier niet in de eerste plaats gaat om een economisch object — en zeker niet om de vorming van een kapitalistisch reuzen-kartel — maar om een politiek plan, waaraan de fundamentele functies van de basisindustrieën (steenkool en staal beheersen voor een goed deel de totale productie en dus de totale werkgelegenheid) dienstbaar worden gemaakt. Met andere woorden: hier wordt het Europese eenheidsideaal, prachtig en bewonderenswaardig op zichzelf, maar kennelijk niet ineens in zijn geheel bereikbaar, gesplitst, terwijl een van de concrete grondslagen, waarop een echte solidariteit kan worden opgebouwd, wordt opgezet. En hoe embryonaal het plan ook nog wezen moge, men heeft hier voor de eerste maal werkelijk een houvast, vanwaar men kan uitgaan met de kans ook iets te bereiken, waaruit de verdere unificatie van Europa logischerwijze groeien moet.",DDD_010673073_0018_articletext.xml,1950-05-26,102954,../data/1950/05-26/DDD_010673073/DDD_010673073_0018_articletext.xml,../data/1950/05-26/DDD_010673073,,,,,,,,,,,,
9359,p,"In Poolse kringen te Parijs wordt medegedeeld. dat de Poolse ambassadeur, Jersey Putramcnt, bij de Franse minister van Buitenlandse Zaken, Robert Srhuman, heeft grprotesterrd tegen zijn plan voor een samensmelting van de Franse en Duitse steenkool- en staalindustrie en dat Putrament had verklaard, dat zijn plan in strüd was met de beginselen van Potsdam. Volgens deze kringen, zei Putrament verder, dat het pHn .in O*st-Europa wordt beschouwd «Is voorbereiding tot agressie tegen de volksrepublieken.",DDD_011199788_0008_articletext.xml,1950-05-26,103398,../data/1950/05-26/DDD_011199788/DDD_011199788_0008_articletext.xml,../data/1950/05-26/DDD_011199788,802.0,DDD:ddd:011199788:mpeg21.didl.xml.gz.xml,953.0,../data/1950/05-26/DDD_011199788/DDD:ddd:011199788:mpeg21.didl.xml.gz.xml,De Tĳd : godsdienstig-staatkundig dagblad,1950-05-26,'s-Hertogenbosch,Gebr. Verhoeven,Koninklijke Bibliotheek C 236,105.0,34438.0,nl
10882,p,"De Kopenhaagjse conferentie heeft voor de komende drie dagen' een overladen programma. Een der belangrijkste onderwerpen is het internationaal beheer van sleutellndustrleën, waarbij hoofdzakelijk is gedacht aan de zware industrie van het Roergebied. Aan dè conferentie zal een rapport van economische deskundigen worden voorgelegd, in te lelden door onze landgenoot drs G. M. Nederhorst. Speciale belangstelling wordt geschonken aan het plan tot internationaal beheer van de Franse en. Duitse staal- en steenkoolindustrie. Waarschijnlijk zullen de Engelsen in Kopenhagen niet veel verder willen gaan dan hun eigen arbeidersregering: een aanmoedigende bestudering van het plan-Schuman. ■.■•;.'.",DDD_010950450_0024_articletext.xml,1950-06-01,103973,../data/1950/06-01/DDD_010950450/DDD_010950450_0024_articletext.xml,../data/1950/06-01/DDD_010950450,807.0,DDD:ddd:010950450:mpeg21.didl.xml.gz.xml,958.0,../data/1950/06-01/DDD_010950450/DDD:ddd:010950450:mpeg21.didl.xml.gz.xml,Het vrĳe volk : democratisch-socialistisch dagblad,1950-06-01,Rotterdam,De Arbeiderspers,Gemeentearchief Rotterdam,5.0,1535.0,nl
12319,p,"Een correspondent van Reuter vernam te Parijs, dat er een beduidend verschil van inzicht bestaat tussen de standpunten der Franse en Britse regeringen met betrekking tot Schuman's voorstel om de Europese steenkool en staalbedrijven onder gemeenschappelijk beheer te plaatsen. Volgens deze correspondent was van Franse zijde verklaard dat het verschil van inzicht „Blechts b(j mondelinge gedachtenwisselingen aan de dag was getreden"", terwijl één van de voornaamste raadgevers. van minister Schuman toegaf dat het meningsverschil veel verder ging.",DDD_011155376_0142_articletext.xml,1950-06-01,104504,../data/1950/06-01/DDD_011155376/DDD_011155376_0142_articletext.xml,../data/1950/06-01/DDD_011155376,812.0,DDD:ddd:011155376:mpeg21.didl.xml.gz.xml,963.0,../data/1950/06-01/DDD_011155376/DDD:ddd:011155376:mpeg21.didl.xml.gz.xml,De Gooi- en Eemlander : nieuws- en advertentieblad,1950-06-01,Hilversum,Joh. Geradtsen comp.,Koninklijke Bibliotheek MM03C-101552,79.0,12305.0,nl
12320,p,"Men heeft in Franse regeringskringen de indruk dat de Britse regering in feite bezwaar maakt tegen één van de grondbeginselen van Schuman's voorstel, namelijk dat dat erin voorziet dat de betrokken regeringen, wat betreft het gemeenschappelijke beheer van de Europese steenkool- en staalbedrijven, een gedeelte hunner nationale souvereiniteit afstaan aan te vormen hoge autoriteit, die hierin met het hoogste gezag zal worden bekleed. Engeland heeft nog een tweede bezwaar tegen Schuman's plan te berde gebracht. Het is bevreesd dat tenuitvoerlegging ervan nadelig zal zijn voor de Britse politiek van volledige werkgelegenheid in Groot-Brittannië, het opvoeren van de Britse uitvoer en het verhogen van de Engelse levensstandaard.",DDD_011155376_0142_articletext.xml,1950-06-01,104504,../data/1950/06-01/DDD_011155376/DDD_011155376_0142_articletext.xml,../data/1950/06-01/DDD_011155376,812.0,DDD:ddd:011155376:mpeg21.didl.xml.gz.xml,963.0,../data/1950/06-01/DDD_011155376/DDD:ddd:011155376:mpeg21.didl.xml.gz.xml,De Gooi- en Eemlander : nieuws- en advertentieblad,1950-06-01,Hilversum,Joh. Geradtsen comp.,Koninklijke Bibliotheek MM03C-101552,79.0,12305.0,nl
13054,p,"T\e meningsverschillen tussen Frank- J r«k en Engeland over de uitwer- I king en toepassing van het plan van l Schuman tot samenvoeging van de Europese zware industrie en het plaatsen van de verschillende bedrijven op dit gebied onder een gemeenschappelijk beheer mogen dan niet van „fundamentele"" aard zijn, zoals werd gemeld, ze zijn toch ernstig genoeg om twijfel te wekken aan een spoedige — en vooral spontane — medewerking van Engeland. Het is weer net als in zoveel andere gevallen: Engeland aarzelt om zich te veel aan het Europese continent te binden en om zich te begevan in wat als een Europees economisch en politiek isolationisme zou kunnen worden beschouwd. Maar er komt in het onderhavige reval nog iets bü. De huidige Engelse regp-ing heeft haar eigen sociaaleco jmische beginselen toegepast en daarbij spelen de basis-industrieën natuurlijk een gro'.e iol. Wanneer ze d( nu zou inbrengen in een .interlandelijke combinatie, in een „pool"", waarbij ze ten aanzien van het beheer en beleid en de hele economische politiek geen beslissingsvrijheid meer zou hebben, omdat ze co dit punt (gelijk de bedoeling is) haar nationale souvareiniteit ondergeschikt maakt aan de autoriteit van het internationale beheerslichaam, dan zou ze niet alleen in conflict kunnen komen met haar eigen beleid, maar ook haar binnenlandse sociale opbouw doorkruist kunnen zien. Nu heeft de verdere Redachtenwissa""iig over dit punt -- die zich blijkbaar al over een wijd terrein heeft uitgestrekt, al betreft het eerste contact ?\leen nog maar een voorlopige bespre*jnK —■ al duidelijk gemaakt, dat het Plan van Schuman niet is gericht op een steenkool, on ijzerkartel met zijn typisch «apitahstische trekken, maar op een ml e ontwikkeling van de hele ''laustriële bedrijvigneid, dus op bevoraenng van de werkgelegenheid en vernetfing van het algemene welvaartspeil yan de arbeiders. Maar — en dat is u'teraard het grote verschil — de sociaal-economische beginselen, waart?""..""l 6"" in Frankrijk. West-Duitsland, ""*""le en België (om van de enigszins "".azige Nederlandse politiek nog maar « Ü-n BewaKen) daarbij uitgaat, verscmilen toch aanmerkelijk van de Blitse. J^n nier wordt aanstonds duidelijk hoezeer de integratie van Europa, ook il Poogt men deze nu 'a-i de economische Kant te benaderen, '0.-heerst wordt door Poutieke factoren, hetgeen overigens °ok wel bijna vanzelf spreekt. Men kan zich wel een federatie denken, waarbij de samenstellende delen tot op zekere hoogte hun eigen zaken naar eig<m inzicht blüven regelen, maar het is onvermijdelijk, dat de na te streven eenheid op enige gemeenschappelijk aanvaarde algemene beginselen wordt gegrondvest. Nu is het uiteraard mogelijk, dat de standpunten zich geleidelijk wat meer naderen, wat in de üjn van de tijd ligt. IA dat opzicht is bijvoorbeeld het betoog v^n prof. dr. J. Zijlstra van de Vrije Universiteit — elders in dit blad in het kort aangehaald — wel zeer opmerkelijk. Met wat geven en nemen komt men een heel eind. terwijl r!e praktijk de rest wel zal doen. Maar het moeilijke is, dat men in het onderhavige geval direct is geconfronteerd met een concreet plan, waarbij fundamentele economische functies in het geding zijn. Het verloop van een fusie van de zware industrie zou in zijn verdere gevolgen heel wat stormachtiger kunnen zijn dan dat van de Straatsburgse ontwikkeling, waar men altijd nog min of meer op theoretisch terrein blijft. En ook hier waren de Engelsen — uit precies dezelfde overwegingen als ten aanzien van het plan van Schuman — al zo uiterst voorzichtig.",DDD_010612670_0004_articletext.xml,1950-06-01,104771,../data/1950/06-01/DDD_010612670/DDD_010612670_0004_articletext.xml,../data/1950/06-01/DDD_010612670,,,,,,,,,,,,
14101,p,"Tussen Engeland en Frankrijk bestaat een verschil van inzicht over het plan-Schuman, dat de Duitse, Franse en mettertijd ook de andere West-Europese staal- en steenkoolindustrieën onder één orgaan wil brengen. De Franse regering heeft de regering-Attlee uitgenodigd aan de besprekingen over 't plan deel te nemen. De laatste wil deze invitatie wel aanvaarden, doch zich voorlopig niet binden.",DDD_010554009_0031_articletext.xml,1950-06-01,105155,../data/1950/06-01/DDD_010554009/DDD_010554009_0031_articletext.xml,../data/1950/06-01/DDD_010554009,818.0,DDD:ddd:010554009:mpeg21.didl.xml.gz.xml,970.0,../data/1950/06-01/DDD_010554009/DDD:ddd:010554009:mpeg21.didl.xml.gz.xml,Gereformeerd gezinsblad / hoofdred. P. Jongeling,1950-06-01,Rotterdam,Stichting De Vrĳe Kerk,Nederlands Dagblad,6.0,241.0,nl
14102,p,"Van Franse zijde schijnt men het verschil van inzicht wel degelijk van belang te achten. Uit een Brits antwoord op bovengenoemde invitatie heeft mien begrepen, dat de Britse, regering zich niet in een positie wil laten brengen, waarin geen tegenvoorstellen of amendementen van betekenis meer zouden kunnen worden ingebracht. De Franse regering is echter van mening, dat er overeenstemming moet bestaan over het principe van een gezamenlijke hoge autoriteit met bevoegdheden, welke boven de regeringen op het gebied van de steenkool- en staalproductie gaan, voordat men begint met onderhandelingen.",DDD_010554009_0031_articletext.xml,1950-06-01,105155,../data/1950/06-01/DDD_010554009/DDD_010554009_0031_articletext.xml,../data/1950/06-01/DDD_010554009,818.0,DDD:ddd:010554009:mpeg21.didl.xml.gz.xml,970.0,../data/1950/06-01/DDD_010554009/DDD:ddd:010554009:mpeg21.didl.xml.gz.xml,Gereformeerd gezinsblad / hoofdred. P. Jongeling,1950-06-01,Rotterdam,Stichting De Vrĳe Kerk,Nederlands Dagblad,6.0,241.0,nl
14587,p,"Parijs, 30 Mei (AFP). — Drie internationale conferenties zullen in Juni in Parijs bijeenkomen. Twee daarvan zijn bij. eenkomsten van reeds bestaande lichamen: de raad van de OEES en de ministeriele commissie van de Raad van Europa. De derde zal van bijzondere aard zijn waarop de realisatie van het Franse voorstel voor het bijeenbrengen van de Euro,, pese steenkool- en staalindus trieën in een ypool"", zal worden besproken door de landen, die aceoord gaan met de principes van Schumans voorstel.",DDD_010862564_0018_articletext.xml,1950-06-01,105347,../data/1950/06-01/DDD_010862564/DDD_010862564_0018_articletext.xml,../data/1950/06-01/DDD_010862564,820.0,DDD:ddd:010862564:mpeg21.didl.xml.gz.xml,972.0,../data/1950/06-01/DDD_010862564/DDD:ddd:010862564:mpeg21.didl.xml.gz.xml,De locomotief : Samarangsch handels- en advertentie-blad,1950-06-01,Semarang,"De Groot, Kolff & Co",Koninklijk Instituut voor de Tropen (KIT) L5016,98.0,224.0,nl
