Unnamed: 0_x,type,text,article_name,date,index_article,article_filepath,dir,Unnamed: 0_y,metadata_title,index_metadata,metadata_filepath,newspaper_title,newspaper_date,newspaper_city,newspaper_publisher,newspaper_source,newspaper_volume,newspaper_issuenumber,newspaper_language,count
31326,p,"Nieuwe stooktechniek voor verwarming van grote gebouwen HEERLEN, 31 Sept. (Eig. ber.) — De Amersfoortse machine- en apparatenfabriek AMAF vervaardigde in samenwerking met de Staatsmynen een geheel nieuwe stookinrichtlng voor grove cokessoorten, de z.g.n. Emma-cokesstoker. Deze installatie is geschikt voor de verwarming van grote gebouwen, neem* weinig ruimte in beslag en kan op eenvoudige wyze vóór bestaande ketels worden aangebracht. Het grootste voordeel is een zeer belangryke rendementsverbetering. Dit hoge rendement wordt bereikt onafhankelijk van dj soort grove cokes, die men stookt. By het schaars worden van een bepaalde soort, kan men dus direct op een andere overschakelen. Wanneer de nieuwe installatie op ruime schaal toepassing vindt betekent dit een betere afzetmogeiykheid voor cokes, weliswaar vormt de cokesafze-t thans nog geen probleem, maar voor de toekomst is een vermindering van de conjunctuurgevoe. ligheid van de cokesbedryven in dit opzicht niet onwelkom. De Emma-cokesstoker kan wel 60 uur branden zonder dat men brandstof behoeft by te vullen. De installatie kan in zeer korte tijd op volle capaciteit gebracht worden, zodat men niet lang vóór de gewenste tijd behoeft te beginnen met stoken. Wanneer door uitvallen van de stroomvoorziening de pompen niet meer werken, komt automatisch de ventilator van de stoker tot stilstand, waardoor 't water niet kan gaan koken. Het apparaat vraagt weinig bediening. De slak wordt koud afgevoerd en brengt geen stof- en gasontwikkeling. De Staatsmynen hebben de inrichting tydens de vorige winter op het Centraal Bureau te Heerlen met succes beproefd. De Amersfoortse fabriek heeft reeds vele bestellingen ontvangen.",DDD_010417765_0080_articletext.xml,1950-09-22,111680,../data/1950/09-22/DDD_010417765/DDD_010417765_0080_articletext.xml,../data/1950/09-22/DDD_010417765,868.0,DDD:ddd:010417765:mpeg21.didl.xml.gz.xml,1028.0,../data/1950/09-22/DDD_010417765/DDD:ddd:010417765:mpeg21.didl.xml.gz.xml,Limburgsch dagblad,1950-09-22,Heerlen,Nieuwe Limburger koerier;Uitgeversmaatschappĳ Limburgs Dagblad,Sociaal Historisch centrum voor Limburg T 501,33.0,223.0,nl,7
122625,p,"Het is een spannende geschiedenis met de gasvoorziening van de Limburgers eo Brabanders. Toen in 1929 cokesfabriek Maurits in bedrijf ging. wilden de gemeenten het gas niet afnemen, hoewet het erg goedkoop was. Op allerlei manieren probeerde men het teveel kwn't te raken. Het werd onder stoomketels en in gasmotoren gestookt om electriciteit op te wekken. Het sttkstofbindingsbedrijf werd gebouwd om met behulp van het gas stiksiofmeststoffen voor de landbouw te maken. Dit bedrijf verbruikte steeds meer gas en langzamerhand gingen gemeenten en industrieën ook belangstelling tonen voor het product, dat zij eerst hadden versmaad. De situatie veranderde snel en in 1939 was er al een tekort. Na de oorlog begon de wedstrijd met de consumenten voorgoed. De generatorgasfabriek, die was gebouwd om eokesovengas uit te sparen, moest na 2 jaar al worden uitgebreid. Technici vonden allerlei methoden om het eigen verbruik te beperken. De aanleg van een gasleiding van Alsdorf naar Treebeek maakte het mogelijk Duits gas aan te voeren. Intussen werkten de ingenieurs plannen uit om me^r gas te produceren. Het jaar 1949 mag wel als hun triomfjaar gelden. Met Amerikaanse dollar-hulp bouwden zij een nieuwe cokesbatterjj op coke-^--fabrick Maurits en op cokesfabriek Emma namen zij een aantal oude herstelde cokesovens weer in gebruik. De inbedrijfstelling van de synthesegas-fabriek was een nieuwe mijlpaal in de race. Hoe goed zij zich geweerd hebben, blijkt wel hieruit dat er in 1989 by een levering van 77 millioeu k«ibieke meiers gas nog een tekort bestond, tei wijl in 1949 door gemeenten en in«lustrieën 316 millioen kubieke meter zijn afgenomen. Met grote moeite slaagden zy er in de vraag van de consumenten by te houden. Een gemeente, die zich uitbreidt, waar nieuwe huizen gebouwtl worden en nieuwe industrie komt, heeft meer gas nodig. Wie op zich genomen heeft deze gemeente vau gas te voorzien, moet de stygende behoefte bijhouden. Van te voren kan men nooit weten, wat de klanten zullen afnemen.",DDD_010417601_0094_articletext.xml,1950-06-07,144892,../data/1950/06-07/DDD_010417601/DDD_010417601_0094_articletext.xml,../data/1950/06-07/DDD_010417601,115.0,DDD:ddd:010417601:mpeg21.didl.xml.gz.xml,1311.0,../data/1950/06-07/DDD_010417601/DDD:ddd:010417601:mpeg21.didl.xml.gz.xml,Limburgsch dagblad,1950-06-07,Heerlen,Nieuwe Limburger koerier;Uitgeversmaatschappĳ Limburgs Dagblad,Sociaal Historisch centrum voor Limburg T 501,33.0,132.0,nl,4
122720,p,"In de vorige winter heeft niemand te kïagen gehad over gebrek aan gas en dank zij de nieuwe generatorgasfabriek zullen de Staatsmanen het ook aanstaande winter wel rukken. Maar vóór de winter 1951—1952 moeten nieuwe maatregelen genomen worden om de groeiende klandizie tevreden te stellen. De cokesfabriek Emma H, die in Beek is geprojecteerd, komt pas in 1953 in bedrijf. De studiekoppen van de laboratoria zitten niet stil en hebben een ander procédé uitgedacht, waarmee eokesovengas kan worden vrijgemaakt voor levering aan derden. Bij generatorgas alleen kan het niet blijven, want het valt te voorzien, dat de gasafname zal blijven stijgen, ook wanneer alle daarvoor geschikte cokesovens met dit gas worden gestookt. In ieder geval moet tegen het einde van 1951 een nieuwe oplossing gereed zijn. Voor twee winters zijn de klanten dan weer geholpen. En daarna? Dan komt de nieuwe cokesfabriek in Beek aan bod. En als de vraag naar gas nog verder blijft stijgen? Dan moet de productie van de bestaande fabrieken omhoog. Tegen die tüd moet het stikstofbindingsbedryf ta Lutterade al over een eigen eiectrische centrale beschikken om de stroom te kunnen i e nodig is om alle machines te laten draa",DDD_010417601_0102_articletext.xml,1950-06-07,144937,../data/1950/06-07/DDD_010417601/DDD_010417601_0102_articletext.xml,../data/1950/06-07/DDD_010417601,115.0,DDD:ddd:010417601:mpeg21.didl.xml.gz.xml,1311.0,../data/1950/06-07/DDD_010417601/DDD:ddd:010417601:mpeg21.didl.xml.gz.xml,Limburgsch dagblad,1950-06-07,Heerlen,Nieuwe Limburger koerier;Uitgeversmaatschappĳ Limburgs Dagblad,Sociaal Historisch centrum voor Limburg T 501,33.0,132.0,nl,3
23177,p,"BORN, 18 Mei (Eigen red.) — De Ned. Part. Rijnvaart-Centrale (N.P. «•C.) en W. van Driels Stoombooten Transportbedrijf N.V. hebben het Vervoer van de cokes, bestemd voor het buitenland, van de Staatsmijnen °yergenomen. Het contract geldt voor e«n jaar en betreft cokes, die uitgevoerd wordt naar Zweden, Indië, Z.- Amerika en andere landen. De cokes Wordt per schip naar Rotterdam en Amsterdam vervoerd en aldaar overgeslagen op zeeboten. De N.P.R.C. zal ""5 procent en W. van Driels N.V. 25 Procent van het totale kwantum vervoeren. Het vervoer is Dinsdag reeds begonnen.",DDD_010417586_0003_articletext.xml,1950-05-19,108624,../data/1950/05-19/DDD_010417586/DDD_010417586_0003_articletext.xml,../data/1950/05-19/DDD_010417586,845.0,DDD:ddd:010417586:mpeg21.didl.xml.gz.xml,1002.0,../data/1950/05-19/DDD_010417586/DDD:ddd:010417586:mpeg21.didl.xml.gz.xml,Limburgsch dagblad,1950-05-19,Heerlen,Nieuwe Limburger koerier;Uitgeversmaatschappĳ Limburgs Dagblad,Sociaal Historisch centrum voor Limburg T 501,33.0,117.0,nl,3
54456,p,"De subcommissie voor de kolenhandel van de E.C.E., welke Donderdag in Genève vergaderde, constateerde een aanzienlijke verslechtering van de Europese kolenvoorziening. Afgelopen zomer was er een Europees surplus van meer dan 3 millioen ton kolen en cokes. Thans verwacht men een tekort tot en met het eerste kwartaal van 1951. De commissie doet een beroep op alle kolen- en cokes-importerende landen deze winter geen onnodige voorraden aan te leggen. De producerende landen worden verzocht zo veel mogelijk te exporteren. Er bestaat vooral een tekort aan voorraden mjtallurgische cokes. Sedert September is de vraag naar vaste brandstoffen scherp gestegen. De productie is daarentegen gedaald, terwijl de voorraden dienovereenkomstig zijn geslonken.",DDD_010417708_0022_articletext.xml,1950-11-11,120213,../data/1950/11-11/DDD_010417708/DDD_010417708_0022_articletext.xml,../data/1950/11-11/DDD_010417708,931.0,DDD:ddd:010417708:mpeg21.didl.xml.gz.xml,1100.0,../data/1950/11-11/DDD_010417708/DDD:ddd:010417708:mpeg21.didl.xml.gz.xml,Limburgsch dagblad,1950-11-11,Heerlen,Nieuwe Limburger koerier;Uitgeversmaatschappĳ Limburgs Dagblad,Sociaal Historisch centrum voor Limburg T 501,33.0,265.0,nl,3
44661,p,Aangekomen 8 December: Lemsterkerk Calcutta stukg Sumk H Afr L; Noordkaap Harlingen ledig Hk Rokocent; Wolanda Zaandam ledig St Hfd Kampman; Fraterriité Zaandam ledig Rietl Wagenborg; Roelf Kopenhagen stukg Levk VCK; Oranjefontein Hamburg stukg Jk H Afr L; Lies Söderhamn hout Minh Kampman; Willemstad Hamburg rep'NDSM KNSM. 3 December: Titus Hamburg Levk VCK. Vertrokken 8 December: Pierre Henry Watier IJmuiden; Cottica West-Indie' stukg; Saxen Zw Venermeer cokes; Hans Maersk Deen Methil ledig; Durward Leith stukg; Draco Bordeaux stukg; Kingsland Eng Alexandrië cokes; Libelle Dts Bremen stukg; Urntas Kopenhagen stukg; Akkrumdljk Zuid- Af rika stukg; Fraternité Mellös zout: Sirius ï.mden ledig; Orion Lagos stukg; Mies Rotterdam ledig. 9 December: Streatham Hill Eng Liverpool ledig.,DDD_010852420_0064_articletext.xml,1950-12-09,116692,../data/1950/12-09/DDD_010852420/DDD_010852420_0064_articletext.xml,../data/1950/12-09/DDD_010852420,906.0,DDD:ddd:010852420:mpeg21.didl.xml.gz.xml,1071.0,../data/1950/12-09/DDD_010852420/DDD:ddd:010852420:mpeg21.didl.xml.gz.xml,De waarheid,1950-12-09,Amsterdam,s.n.,Internationaal Instituut voor Sociale Geschiedenis ZF 40364,10.0,490.0,nl,2
84119,p,"i —i——■— I . (Vcrvoly van kolom S) Die vulkanen op zichzelf vormen reeds een bevestiging van dc Zuidwaartse beweging van het Sino-Siberische continent, waartoe het grootste deel van Indonesië, geologisch gesproken, behoort."" „Dit is allemaal natuurlijk heel interessant, maar wat' is het practisch nut van dc geologische bestudering van Indonesië?"" «Voor de wetenschap op zichzelf is de geologie vai Indonesië van zeer groet belang. Maar . wc zijn nog lang niet aan de geologische synthese van Indonesië toe. daar grote delen, vooral op Cclebes, de-Kleine Soendaeilanden en Irian, nog onbekend zijn. Mor. zou daarvoor 70 geologen in Indonesië nodig hebben. Het grootste belang van de geologische bestudering van Indonesië is echter van economische aard. Geologie is onontbeerlijk bij het zoeken r.aar delfstoffen en water en bij de {aanleg van tunnels, bruggen, wadoeks en wegen.- En op dit gebied is er in Indonesië nog veel te doen. Zo zijn er b.v. grote ; hoeveelheden ijzererts in indone; fic gevonden, zodat een belangj rijke staal-industrie in dit land : mogelijk zou zijn. De steenkool | hebben we hier ook, zij het den : dat ze ten dele ongeschikt is om ' er cokes van te maken die voor de staalindustrie nodig zijn — • tenzg e?n methode wordt gevonden volgens welke ook ui't deze kolen cokes kan worden geproduceerd Maar cr is nog een andere mogelijkheid b.v. het smelter, van het erts door middel van electrische energie, zoals dit reeds in Amerika gebeurt. U. begrijpt In ieder geval wel dat een verdere, intensieve geologische navorsing van Indonesië van groot belang zal zijn, zowel voor do wetenschap als voor de econnmi- , sche ontwikkeling van ait land | zelf"", - J",DDD_011210811_0058_articletext.xml,1950-09-14,130859,../data/1950/09-14/DDD_011210811/DDD_011210811_0058_articletext.xml,../data/1950/09-14/DDD_011210811,8.0,DDD:ddd:011210811:mpeg21.didl.xml.gz.xml,1188.0,../data/1950/09-14/DDD_011210811/DDD:ddd:011210811:mpeg21.didl.xml.gz.xml,De vrije pers : ochtendbulletin,1950-09-14,[Soerabaia],De Vrije Pers,Koninklijke Bibliotheek NBM C 1136,2.0,295.0,nl,2
57181,p,"„en hoe is de toestand in het kolenhok?"" ,Ook in orde,"" antwoordde de kolenkit. „Helemaal volgegooid. Links anthraciet. rechts cokes."" „Maar waarom zijn jullie opeens met zn tweeen?"" vroeg het vloerkleed ademloos. „Er klopt iets niet! Er klopt iets niet!"" „Mrj gaan ze voor anthra. ciet gebruiken,"" legde de kolenkit uit. „En hem voor cokes, snap je?"" „En morgen beginnen we met stoken!"" voegde de herstelde kolenkit er aan toe. „Hoera!"" riepen alle dingen toen door elkaar. „Hoera, morgen gaan ze stoken! Wat is het leven goed en behaaglijk!"" Goed en behaaglijk ,"" herhaalden de kopjes op het theeblad genoeglijk. „Hoera """,DDD_110585197_0293_articletext.xml,1950-11-11,121219,../data/1950/11-11/DDD_110585197/DDD_110585197_0293_articletext.xml,../data/1950/11-11/DDD_110585197,936.0,DDD:ddd:110585197:mpeg21.didl.xml.gz.xml,1105.0,../data/1950/11-11/DDD_110585197/DDD:ddd:110585197:mpeg21.didl.xml.gz.xml,De Telegraaf,1950-11-11,Amsterdam,Dagblad De Telegraaf,KB C 98,53.0,19676.0,nl,2
6275,p,"Amsterdam, aangekomen 25 Mei: Torswinge Deen Newcastle kolen Hfdk W Fr Hoyinck; Baltic Fin Kotka stukg Zeebk VCK; Jura Newcastle kolen Coenh Fr Hoyinck; Fivel Newcastle kolen Coenh Furness; RUn Delfzijl ledig Rietl Wagenborg; Rijnstroom Londen stukg Hk HSM; Sigvard Zw Antw stukg Zeebk VCK; Lingestroom Huil stukg Hk HSM; Libelle Dts Hamburg stukg De Rk V Es en v Omm. 26 Mei: Sagona N Roven ledig Eng B v Es en v Omm; Toni Zaandam ledig Rietl Wagenborg; Seaham Goole kolen Pak SSM; Abro Kampen ledig Hk Fr Hoyinck Vertrokken 25 Mei: Am Counselor A N Amerika stukg; Grootekerk'Hamb stukg; Ulysses Eng Londen restant; IJstroom Bristol stukg; Dotterel Eng Liverpool stukg; Jaarstroom W Afrika stukg; Durward Eng Leith stukg j Pr Marijke Oxelosund ijzer; Minerva Slikkerveer ledig: Vulcanus W Italië stukg; Fivel Emden ledig; Helfrid Helsingborg cokes; Rijn Kotka zout. 26 Mei: Werna Zk Stockholm stukg; Riouw Indonesië stukg.",DDD_010852557_0059_articletext.xml,1950-05-26,102285,../data/1950/05-26/DDD_010852557/DDD_010852557_0059_articletext.xml,../data/1950/05-26/DDD_010852557,795.0,DDD:ddd:010852557:mpeg21.didl.xml.gz.xml,944.0,../data/1950/05-26/DDD_010852557/DDD:ddd:010852557:mpeg21.didl.xml.gz.xml,De waarheid,1950-05-26,Amsterdam,s.n.,Internationaal Instituut voor Sociale Geschiedenis ZF 40364,9.0,323.0,nl,1
95818,p,"De Nederlandse kustvaarder „Refuge 1"" ging hedenmorgen enige mijlen ten Westen van Manoe (Jutland, Denemarken) voor anker. Het schip dat onderweg was van Hill naar Rudkoebing met een lading cokes, had drie dagen op de Noordzee rondgedreven met machineschade. Kapitein H. J. Schrage uit Groningen heeft hulp gevraagd, een boot is ter assistentie uitgevaren. De „Refuge 1"", vroeger „Junior"" genaamd, is thans eigendom van de N.V. Albino te Amsterdam. In het begin van December j.1. deed dit schip van zich spreken, doordat men toen geruime tgd niets er van hoorde. Het was toen met een lading steenkool onderweg van Newcastle naar Kerteminde.",DDD_010886525_0061_articletext.xml,1950-01-17,135170,../data/1950/01-17/DDD_010886525/DDD_010886525_0061_articletext.xml,../data/1950/01-17/DDD_010886525,44.0,DDD:ddd:010886525:mpeg21.didl.xml.gz.xml,1228.0,../data/1950/01-17/DDD_010886525/DDD:ddd:010886525:mpeg21.didl.xml.gz.xml,Nieuwsblad van het Noorden,1950-01-17,Groningen,Nieuwenhuis,Groninger archieven 649-1316,63.0,14.0,nl,1
