Unnamed: 0_x,type,text,article_name,date,index_article,article_filepath,dir,Unnamed: 0_y,metadata_title,index_metadata,metadata_filepath,newspaper_title,newspaper_date,newspaper_city,newspaper_publisher,newspaper_source,newspaper_volume,newspaper_issuenumber,newspaper_language,count
24796,p,"De opzet van het concern lijkt ingewikkeld, maar is in wezen een. voudig. Er werden drie „werkmaatschappijen"" opgericht, en nu werden de „Koninklijke"" en de ..Shell"" „nalding-comDanies"" in een 3—2-verhouding. 60% voor en van de Koninklijke 40% voor en van de Shell. Deze drie werkmaatschappijen waren en zijn: 1) de N.V. Bataafsche Petroleum Mij., zetel Den Haa?. Zij is verantwoordelijk voor de technische werkzaamheden van de groep: exploratie, productie, ver. werking en wetenschappelijk onderzoek. 2) deAnglo SaxonPetroleum Co., zetel Londen. Deze werkmaatschappij regelt het vervoer van de. waar dan ook ter wereld, door de groep gewonnen petroleum, 3) de Shell Petroleum Co., Ltd., zetel: Londen. Zij is verantwoordelijk voor de verkoop der producten.",DDD_110584890_0218_articletext.xml,1950-05-19,109273,../data/1950/05-19/DDD_110584890/DDD_110584890_0218_articletext.xml,../data/1950/05-19/DDD_110584890,850.0,DDD:ddd:110584890:mpeg21.didl.xml.gz.xml,1007.0,../data/1950/05-19/DDD_110584890/DDD:ddd:110584890:mpeg21.didl.xml.gz.xml,De Telegraaf,1950-05-19,Amsterdam,Dagblad De Telegraaf,KB C 98,53.0,19526.0,nl,4
68684,p,"Over het geheel genomen heeft de effectenmarkt in de afgelopen week een zeer ongeanimeerd verloop gehad. Bij voortdurend teruglopende omzetten, die per dag soms slechts even boven de i 1 millioen uitgingen, heeft zich een afbrokkeling ingezet, die vrijwel alle afdelingen heeft aangetast. Op dit algemene gebrek aan interesse heeft feitelijk slechte één fonds een uitzondering gemaakt bU de grote vooraanstaande aandelen en wel Kon: Ned. Petroleum. Dwars tegen de overige markt in, bleven Olie zich goed houden en zU verlaten dan ook de week op een niveau dat 4% boven dat van de vorige week ligt, op 290!£, terwijl Vrijdag nabeurs zelfs nog tot 293 toe werd betaald. Nu hadden er reeds de laatste dagen enige geruchten de ronde gedaan en deze werden natuurlijk met de plotselinge stijging in verband gebracht. Hoewel beide geruchten uit hoofde van de bestaande bepalingen weinig kans op juistheid hebben, dienen zij hier toch even vermeld te worden. Enerzijds werd beweerd, dat de Kon. Petroleum een bonus aandeel op elke 2 aandelen zou uitgeven. Anderzijds werd verteld, dat de aandelen Shell Oil (Shell Union) verdwijnen zouden en omgezet zouden worden in aand. Kon. Ned. Petroleum. Nu is op het ogenblik niet a priori te zeggen of een dergelijke omzetting in het raam van de thans bestaande normen uitvoerbaar is. De geruchten brachten evenwel wat leven in de brouwerij en afgewacht moet worden in hoeverre er grond is geweest voor het betoonde optimisme. De beide andere internationale fondsen blijven vrij nauwkeurig op hetzelfde peil van de vorige week, n.l. Lever Bros op 220 U en Philips op 23214. Binnenlandse industriële aandelen brokkelden langzaam af, doch de koersverliezen hebben bijna nergens een grote omvang aangenomen en over het algemeen bleven de koersverliezen tot 3 a 4 punten beperkt. Er waren bqApndien nog enige uitzonderingen op We merken. NederL Kabel kon op 257 4 punten terugwinnen van zijn verlies van 9 punten in de vorige week, terwijl Hoogovens nog een tweetal punten aan hun vroegere koersavans konden toevoegen. Claims Spanjaard hebben hun gunstige stemming tot het eind van de week kunnen volhouden en zij sluiten op 1305 bijna op de hoogste prijs, zodat de emissie een volledig succes is geworden.",DDD_011202174_0151_articletext.xml,1950-11-18,125410,../data/1950/11-18/DDD_011202174/DDD_011202174_0151_articletext.xml,../data/1950/11-18/DDD_011202174,967.0,DDD:ddd:011202174:mpeg21.didl.xml.gz.xml,1141.0,../data/1950/11-18/DDD_011202174/DDD:ddd:011202174:mpeg21.didl.xml.gz.xml,De Tĳd : godsdienstig-staatkundig dagblad,1950-11-18,'s-Hertogenbosch,Gebr. Verhoeven,Koninklijke Bibliotheek C 236,106.0,34585.0,nl,3
51064,p,"Drie grote Amerikaanse petroleummaatschappijen hebben haar prijzen verhoogd voor ruwe petroleum bij wijze van aanpassing in sommige gebieden. Zo hebben de Pan-American Production Co (filiaal van de Standard Oil Co of Indiana) en de Onyx Refining Co haar prijzen met 7 dollarcents per baril in West Central Texas verhoogd, terwijl de Magnolia Petroleum Co (dochtcrmij van de Socony Vacuum Oil Co) in bepaalde gebieden haar prijzen in sommige streken van $ 2.33 tot $ 2.65 heeft verhoogd. Deze ontwikkeling is veroorzaakt door uitnemende vraag en ransportproblemen in de nieuwe productie-gebieden in Texas.",DDD_011202128_0120_articletext.xml,1950-09-25,118967,../data/1950/09-25/DDD_011202128/DDD_011202128_0120_articletext.xml,../data/1950/09-25/DDD_011202128,922.0,DDD:ddd:011202128:mpeg21.didl.xml.gz.xml,1089.0,../data/1950/09-25/DDD_011202128/DDD:ddd:011202128:mpeg21.didl.xml.gz.xml,De Tĳd : godsdienstig-staatkundig dagblad,1950-09-25,'s-Hertogenbosch,Gebr. Verhoeven,Koninklijke Bibliotheek C 236,106.0,34539.0,nl,3
31615,p,"Te koop aangeboden tb Wasmachine met motor, gasfornuis Junoker en Ruh, trapleer, 2 matrassen, kleine petroleumkachel. Kopman. Gen. v. d. Heijdenstraat 3. tb Haardkachel met mantel en vloerpl. Igst ƒ 50.— tevens tandem ƒ 125.—. Hermann 2e Res. Boezemstraat 38. tb Aangetekend? „Kat"" emaille met .25 % korting, weckflessen 27 et„ voorraadbussen ƒ 1.65, petroleumlampjes / 2.15, zeemlappen 98 et., nesten schalen ƒ 2.95. Vos, Zwaanshals 309, N. Goudseslngel 65 C. tb Engelse Petroleumkachel ƒ 17.50. W. Fles. Bergsingel 155 c tb Schuiftafels ƒ 27.50, Salontafels ƒ 32.50: Boekenkasten f 95.—; Haardfauteuils / 29.50; Rookfauteuils met verende kussens 1 49.50. „De Meubelbeurs"" Grote Visserijstraat B—lo R'dam 'Tel. 38763.' . tb Prima haardkachel z g a n 1 85:—. Bospölderpl, Ba. tb Wolgabardtne mantel m 42 en zwarte pumps m 37. Boergoensevüet 7b ben. Na 6 uur, tb Niet, iedereen beschikt over contanten. Daarom staat van Veen, Diergaardesingel 94 tot uw dienst met het leveren van uw herencostuum, damesmantel of japon tegen zeer soepele betaling. * Dekens. Reclame! 150 x 200 prachtige dessins, • blauw en zalmkleur ƒ 12.95. J C v d Kuyp Woninginrichting, Zwart Janstraat 141 (bij de Bergweg) éb Onbegrijpelijk een pracht hulskamer, bestaande uit: groot dressoir, schuiftafel, 2 clubs en 4 stoelen voor slechts ƒ 424.— 't Meubelhuis, West Kruiskade 5 (tegenover Arena) é> Haardkachel met vloerplaat. Schijf. Zwart Janstr 96b 1 x b ét Tuinhuisje of consumptietent, nieuw 3.10 x 2 x' 2.45 m / 345.—. Tel. 50911. Na 6 uur 47875. tb 2-pers spiraalmatras en houten ledikant f 25.—. Polderlaan 36b. Tel. 76791. tb Banden! Beenpijpen, handkappen. Handschoenen. Sliklappen, Driewielers, Autopeds, hebben wij weder ln beperkte \oorraad. Adr. v. Herpen. Noordmolenstraat 30. tb Een haard en z g a n grijze kinderwagen. Na 6 uur G v Willêgen, Dirk Muisstr 41 R'dam * Tel. 72177? Dat Is Sandee St. ' Andriesstraat 25 bij de Graansilo voor netten, cochou, katoen, touw, koord, Texco. nijlon en damyl. tb A J Sandee, St. Andriesstr 25 Tel. 72177, groots gesorteerd ln werphengels, werpmolens, Daternosten, spiering, baarzeu. snoektuigen. tb Ja Juist, bij de Silo. st. Andriesstraat 25 voor steurkrabben. maden, Bloedwormen, wormen en aasvis, A J Sandee Tel. 72177 t% Te koop bl winterjas, plusfour, jekker voor jongen 14—16 Jaar vp ƒ 40.— W F BoUwens, Willebrordusstr 52 N tb Overgordijnetoffen, ruime keuze v.a. f 2.95 p. m., 2-pers. zijden gestikte dekens met zuiver wolvulling f 35.75. J. C. v. d. Kuyp, Woninginrichting. Zwart Janstraat 141 (bij de Bergweg). jfcWaswrtnger ƒ 10.-. Engelse en Belgische kinderwagens met nieuwe kap en regenzeiltje, van af ƒ 25.-. J. T. Snel,-le Pijnackerstaaat 33 N. tb Pianlno, als nieuw, prijs laag Am-erik. orgel, tweespel, koper, ƒ 125.- Vleugelpiano merk Kiens Dresden ƒ 390.—. Bet. naar wens H. Voogt, Bergweg. 341. tb Ahoy' eet meer bout. Wilde konijnen ƒ 1.75 p stuk. Soepbraadkippen, panklaar f 1.75 per \% kg Van Vllet's Wildhandel, Schtetbaanstr 46 Tel. 30833 '",DDD_010950547_0078_articletext.xml,1950-09-22,111817,../data/1950/09-22/DDD_010950547/DDD_010950547_0078_articletext.xml,../data/1950/09-22/DDD_010950547,870.0,DDD:ddd:010950547:mpeg21.didl.xml.gz.xml,1030.0,../data/1950/09-22/DDD_010950547/DDD:ddd:010950547:mpeg21.didl.xml.gz.xml,Het vrĳe volk : democratisch-socialistisch dagblad,1950-09-22,Rotterdam,De Arbeiderspers,Gemeentearchief Rotterdam,6.0,1632.0,nl,3
32579,p,"emigratie:? U neemt Uw Inboedel geheel of gedeeltelijk mee De zorgen daarvoor kunt U aan ons overlaten. REIMANN, STOK & KERSKEN's VERENIGDE EXPEDITIEBEDRIJVEN N.V. Afdeling: Intern. Verhuizingen «h 0.2. Voorburgwal 157-159 Tel. 45884 (6 lijn.) Amsterdam Verpakkingen, ultvoerform., douanebehandeling. Speciale verpakking voor OVERZEE. Verzendingen naar alle werelddelen. M Am\ WR*lmV. \w Am WmIÊÊËÊÊÊÊÊiÊtÊÈÈÊÊÈIm&JÊ I m Specialiteit Oeinber en Orgeade Bolussen V door de fpeliele stad I n^m3jXmmm ,>,T ls PRACTISCH! A {jj .\ VERPLAATSBARE HBBBIIII verwarmings - radiator aan te sluiten op lichtnet of petroleumgebruik -""' < >'■' 11 *' *'* uur warmte °P *Va üter petroleum. Absoluut reukloos „TYPE S 1949"" Electr. Petroleum f 118.5© „TYPE THERMA 2"" Electr. . f 142.50 ENORME SORTERING MERKHAARDEN EN KACHELS - GAS- EN ELECTR. FORNUIZEN - KOELKASTEN - STOFZUIGERS - WASMACHINES PHILIPS, WALDORP EN ERRES RADIO - AUTO-RADIO",DDD_010873925_0048_articletext.xml,1950-09-22,112210,../data/1950/09-22/DDD_010873925/DDD_010873925_0048_articletext.xml,../data/1950/09-22/DDD_010873925,,,,,,,,,,,,,3
103699,p,"(Van onze beursmedewerker) l„ tegenstelling met de tot nu toe «volgde methode heeft de Kon. Ned. rdroleum Mij. haar dividendaankonjj.jng van 9 % in contanten over ijl 9 (onveranderd ten opzichte van jjlg) doen vergezeld gaan van de voorÏcpifï cijfers van de winstresultaten Cver 194 f. Zonder verder commentaar ■everen de gepubliceerde resultaten geen T(rtelijkbaar materiaal tegenover de definitieve resultaten, die over 1918 werden behaald. L Volgens de thans opgegeven cijfers Vcrd een netto winst na attrek van beliStingen, afschrijvingen en reserverin- C?.n behaald van t 380 millioen over 1949 'oor het gehele Koninklijke-Shellcon- W.i tegen f 354 millioen over 1948, bekkend naar gelijke maatstaven, aldus «en winststijging aangevend van f 26 r.illioen gulden. Do vergelijkingsbasis is evenwel onzuiver geworden. In het vorige jaarverslag, toen de resultaten over 1948 publieic werden gemaakt en toen men voor het eerst concern-eijfers gegeven heelt, kwam men tot een wi.ist van j 293 millioen voor de gehele groep, terwijl men thans als vergelijkingscyfer over 1948 een cijfer van f 354 millioen noemt. Dit kan verklaard worden enerzijds toordat de omrekening vin de winst in guldens Nederl. courant, dus in thans (rdevaiueerde guldens werd gegeven, terwijl bovendien nog niet vaststaat dat resultaten van dezelfde dochtermaattehappijen tot de totaalwinst van het toncern hebben bijgedragen. liet Koninklijke Sheli-concern neemt als concern-resultaten namelijk op de winsten fcthaaltl door die dochter-ondernemin|en, waarvan het gehele uitstaande aandelenkapitaal zich in handen van de , groep bevindt en het is volstrekt niet litgesloten, dat er zich in het afgelopen ijaar wijzigingen in dat opzicht hebben Voltrokken. 1 Bovendien kan de omrekening In Hollandse guldens tengevolge van de devaluatie der West-Luropese valuta's de vergelijkbaarheid hebben verstoord. j Vast staat evenwel, dat een stijging Tan de winst van f 354 millioen tot f 380 millioen zeer wel een daling van winst in harde' valuta in zich zelf Verborgen kan houden. Bij een gelijke Vinst, geheel in harde valuta toch, zou ti winst thans een stijging van ongeveer 40% moeten hebben te zien gegeven terwijl volgens de thans gepubliceerde gegevens slechts een stijging van 7 1.3 {c tot uiting komt. i| Het vbliedige verslag zal ons te zijner !fijl natuurlijk wel een duidelijker beeld 'tan de tegenwoordige situatie opleveren, lui ook de voorlopige cijfers tonen tan, dat ic werkelijkheid de rendabiliteit gedurende 1949 iets gelecien heeft. Nu behoeft dat overigens geen verwondering te wekken. Immers de cijfers, die de Amerikaanse petroleuincndernemingen over 1949 hebben ver. itrekt, vertonen alle een daling in de netto-inkomsten en het zou wel vreemd zijn geweest, wanneer de Koninklijke Shcll-groep op deze regel een uitzondering zou hebben gemaakt. Het overbrengen naar 1950 van het onverdeelde saldo ad f 427 millioen betekent geen extra reserve, daar van 1943 naar 1949 reeds I 425 millioen waren overgeboekt. Alleen het slecht gefundeerde optimisme van «het publiek op de Amsterdamse en de Londense beurs had aanleiding gegeven tot geruchten als zou, mede in verband mot het 60-jarig bestaan van de Koninklijke Petroleum, een hogere uitkering te verwachten zijn geweest. In Londen werd het onveranderde dijeend van de Shell Transport and Trading Co. van T.i pet. omgezet in een loersteruggang voor dit aandeel van 13}» tot 65, terwijl aan de Amsterdamse keurs aandelen Koninklijke Petroleum *ehswaar niet noemenswaardig daalt n, maar toch zeer weinig activiteit Vertoonden, niettegenstaande verschillende andere afdelingen zoals Indonesil'.be cultuurwaarden en scheepvaartlundsen een betere tendenz aan de dag Igdcn. De Stoomv. Mij. Nederland komt met Jet voorstel van 12% over 1949 (9% v. 1)43) voor het forum der aandeelhouders. een en ander natuurlijk onder Voorbehoud van de bekrachtiging van f- gewijzigde wet op de dividendbeper*""g. L 'edcr, die de wijze van beheer bij de fioomv. .Mij. Nederland kent, beseft natuurlijk tenvolle, dat. ook ai betreft het ï'er een jubileumdivitlend, de winsten •ver 1913 een dergelijk spectaculair ditidend ten volle moeten rechtvaardigen. Trouwens de exploitatie-winsten over W 7, zowel als die over 1948, beliepen t eds ongeveer 50% van het kapitaal, Mat een ruime uitkering zeker op 'jn plaats is. Men vraagt zich ter beurze dan ook af, hoe het mogelijk is, dat beleggers b(|v. aand. Kon. Petroleum a 280% kopen bij een dividend van 9%, hoeseer dan ook de Koninklijke op grote stille reserves moge bogen, terwijl zij k 150% aand Stoomv. MU. Nederland kunnen verwerven, die 14% dividend geven bij een uitnemende reservepositie en een zeer ruime liquiditeit.",DDD_011199789_0150_articletext.xml,1950-05-27,138007,../data/1950/05-27/DDD_011199789/DDD_011199789_0150_articletext.xml,../data/1950/05-27/DDD_011199789,67.0,DDD:ddd:011199789:mpeg21.didl.xml.gz.xml,1255.0,../data/1950/05-27/DDD_011199789/DDD:ddd:011199789:mpeg21.didl.xml.gz.xml,De Tĳd : godsdienstig-staatkundig dagblad,1950-05-27,'s-Hertogenbosch,Gebr. Verhoeven,Koninklijke Bibliotheek C 236,105.0,34439.0,nl,3
124451,p,"Ernstig ongeluk bij frites bakken te Geulle. — Bij de bakker H. Bollen te Geulle was men dezer dagen bezig op een Petroleumstel frites te bakken. Het petroleumstel kantelde en de petroleum verlengde zich met het vet. Een felle vlam sloeg hoog op, juist toen de vrouw van de heer Bollen en haar schoonzuster toeschoten om het gevaar te bezweren. De bieren van beide vrouwen vatten vlam. Mevrouw Bollen had de tegenwoordigheid van geest onmiddellijk in een buiten de honing geplaats vat met water te springen. De schoonzuster bekwam ernstiger brandwonden. De twee vrouwen zijn naar het ziekenhuis Calvariënberg te Maastricht overgebracht. Hun toestand is thans bevredigend.",DDD_010417378_0078_articletext.xml,1950-01-10,145545,../data/1950/01-10/DDD_010417378/DDD_010417378_0078_articletext.xml,../data/1950/01-10/DDD_010417378,121.0,DDD:ddd:010417378:mpeg21.didl.xml.gz.xml,1318.0,../data/1950/01-10/DDD_010417378/DDD:ddd:010417378:mpeg21.didl.xml.gz.xml,Limburgsch dagblad,1950-01-10,Heerlen,Nieuwe Limburger koerier;Uitgeversmaatschappĳ Limburgs Dagblad,Sociaal Historisch centrum voor Limburg T 501,33.0,8.0,nl,3
96451,p,"Ondanks de staking bij de installatie van de Petroleum Board in Belawan ondervindt de bevoorrading van Sumatera Timur met olieproducten generlei stagnatie — zo vernamen wij van de heer H. R. E. Hartkamp, vertegenwoordiger van de Petroleiun Board te Medan. Zowel de aanvoer als de afvoer van Belawan vindt normaal voortgang. Dit is mogelijk doordat Europees personeel en Indonesische werkwilligen (in to.aal een dertigtal personen) de installatie te Belawan „draaiende"" kunnen houden. Elke dag verlaten vol- Ie ketelwagons het terrein van de Petroleum Board te Belawan om de installaties elders van benzine, zware olie (voor de industrie) en petroleum (voor de bevolking) te voorzien. -",DDD_010475530_0017_articletext.xml,1950-01-17,135377,../data/1950/01-17/DDD_010475530/DDD_010475530_0017_articletext.xml,../data/1950/01-17/DDD_010475530,46.0,DDD:ddd:010475530:mpeg21.didl.xml.gz.xml,1230.0,../data/1950/01-17/DDD_010475530/DDD:ddd:010475530:mpeg21.didl.xml.gz.xml,Het nieuwsblad voor Sumatra,1950-01-17,Medan,Deli Courant en De Sumatra post,KB C 937,3.0,462.0,nl,3
78855,p,"TE ROTTERDAM aangek 13 Sept.: Sa'l-llng de Stettin'Van Ommeren Maash 6 graan; Malne Fr Aalborg Worms Maash palmpitten;. Capsa Pan Mena'el Ahmadl Van Ommeren , Petroleumh olie; Thea Goekoop Ned terug uit zee Ruys Wilton Rotterdam ledig; Aptlty Eng Dundee Alg Vrachtkantoor Petroleumh ledig; Maystar Hond Visby RKC Maash zaad; Olivlan Coast Ens Newcastle Burger IJsselh stg; Nicky Pan - Melilla Spedico Waalh erts; Italterra It Churchill Muller Maash graan; Gallium Fr Brest Schloem'ïr Maash graan; Pelorum It Aberrteen Hudlg Veder Waalh ledig. 14 Sept.: Victoria Duits Lissabon Wambersle Maash stg; Lampanla Eng Curacao Van Ommeren-Petroleumh olie:. Hubert Schröder Duits Bremen Wambersle Schleh stg; Ocean Wayfarer Eng Middlesbro Anth Veder Waalh ledig; Cllo Pin Kotka Burger Lekh stg; Escaut Belg Alexandrlë Herfurth Maash stg; Loenerkerk Ned Antwerpen VNS Rijnh stg; Claudlud Magnln Pr Rouaan Erhardt Dekkers Waalh ledig; Wea Ned Karlskrona Wagenborg Boompjes: hout; Jo Ned Londen Ned-Zwltserse Joosli suiker; Ptarmigan Eng Londen Ver Artentuurmij Merweh stg; Susaa de New Vork Wambersle Maash stg; Cato Eng Antwerpen Muller - Merweh stg; Sherlnßham Eng Harwlch Hudlg, Pletérs Merweh stg; Oranje ,; Nassau Tilbury Muller Jobsk stg 'en passagiers; Carpo' Ned Swansea RKC Waalh kolen; Rutenfjell Noor Londen Wankum Merweh stg; Dalhem Zw Alexandrlë Hudig Pieters Merweh stg; Volkerak Londen Vermaas Waalh ledig; Rlze Turk Tunis Anth Veder IJsselh stg. Tlmo Ned Londen Invotra Binnenh stg: Hernodla Zw. Gefle Nukbel. - Waalh ■72 erts; Lekkerkerk Ned Caicutta VNS Rijnh:Nz stg;. Bucklaw Eng Leith Burger IJsselh stg; Aflena Ned Amst Muller Merweh Nz ledig; Haskerland Ned Kings Lylnn SSM Rijnh 39 stg; Tectarlus Punta Cardon VanOmmeren st 10 olie.- , Vertr.': 13 Sfept.: Houtman-Antwerpen ledig; • Nato i Middlesbro ' IJzer; Sarnla Duinkerken ledig; Valda Varberr/ kolen; Sottevllie Iran ""kolen; Seaflsher Pasajes kolen; Cormoat Lissabon kolen; I Vagan Rouaan ledisit Bernard. V Middlesbro stg; Neptunus AUoa zand; City of. Jöhannes-' burg Zuid-Afrlka stg; Markab Londen ledig;. BatavlerMl Londen^stg;; Ranella Antwerpen ledig; Wanpu Abo IJzer; Talabot Yokohama stg;' Hartel Hamburg stg; Caland Middlesbro IJzer; Carlbla Calals stg; Tony Amst ledig; Matros Shelesnlak Windau stg; Langleescott Hamburg stg, Registan Londen ledig; Memllng Londen' aardappelen; Prinses Margriet Kalex stg; Maria Theresia i Antwerpen ledig;- Dulvendrjk Ned Hamburg ledig: Chahtala Huil stg; Oranje' Nassau Tilbury pass; Koningin Juliana Huil Ijzer; Tltus Amst stg; Chamois Saloniki stg; Euttalla Saltend - ledig; • Eriksborg Malmö kolen; Glenartney Hamburg stg; Gunda Plraeus stg; Thea Goekoop Newport ledig; Sumatra Middlesbro ijzer; Neretva Venetië kolen; Vlldfugl Prederlkstad stg; Gaasterland Harllngen ledig; Arak Rouaan ledig; Skanseodde Paborg kolen; Portia Londen stg. s .."".,; NEDERLANDSE SCHEPEN Aagtedljk 13 op 450 mijl W v Scllly n - Havre en Rotterdam Aalsdijk 13 op 300 mijl ZW v Nantucket zoekend naar drenkelingen Aardijk 13 te Lake Charles - .. • , Abbekerk thuis '13 op 500 mijl O V Kaap Guardafui Akkrumdljk 14 v East London te Durban Alamak thuis p 13 Kaap Bon . Alblasserdijk 13""op 300 mijl N.v Corvo (Azoren) r>. . Algenlb thuis 1 v Rio Grande \. Algorab thuis p 14 Las Palmas Alkald 13 v Emden n Lulea Almdijk 14 v Bremen te Hamburg Almkerk uit 13 op 300 mijl Z v Cocos Eilanden .. f - Alnati uit 13 op 271 mijl Z v Porto Praya Alphard 13 op 160 mijl ONO v Bonavista n Rotterdam .-. ' ""•■ Andijk uit 13 op 600 mijl N v de Azoren Appingedam 13 ""v Amsterdam te BUbao Arendsdijk '14 v New Vork te Trinldad .Arladne 14 v Savona te Livorno :-, ._.,, Arundo' rj 14 Lizard' „'Rott/Amst': l""~' Atlas Cadiz-Amst 13 te -Cherboürg ■• ;*;""' Averdijk 44 vßottefrdam te Boston-*.:""..-» Boschfonteln uit 14 te Port Sudan '~;. Britsurn 1 v Hampton Roads n Tampa Baarn Amst-Trlnldad 13 op 100 mijl W V .. Scllly ~ ... - ..-.'• ..„,.•-.. . . „._..... Baud 14 v Djakarta te Singapore Berlage 13 v Freetown n Dakar Beverwijk Rott-Savona 13 op 55 mijl ZW v Toulon . --.' Blijdendilk uit 13 op 800 mijl N v St Mlchaels ~ . Cottica 14 v Demerara'' te Faramrlbo ! Cascade 9 te New Orleans, ■.■'-■ Celebes '14 v Hamburg te. Bremen Ceram 14 v Coehin te Bombay *. Congostroom thuis 13 op 200 mijl W v Oporto Draco 14 v Lissabon te Oporto",DDD_010950540_0121_articletext.xml,1950-09-14,129116,../data/1950/09-14/DDD_010950540/DDD_010950540_0121_articletext.xml,../data/1950/09-14/DDD_010950540,995.0,DDD:ddd:010950540:mpeg21.didl.xml.gz.xml,1172.0,../data/1950/09-14/DDD_010950540/DDD:ddd:010950540:mpeg21.didl.xml.gz.xml,Het vrĳe volk : democratisch-socialistisch dagblad,1950-09-14,Rotterdam,De Arbeiderspers,Gemeentearchief Rotterdam,6.0,1625.0,nl,3
61532,p,"ROTTERDAM aangek. 12 Sept.: Bouel Mogdad Frans Dordrecht Parkk (nieuw schip) ledig; Atlantic Ned Londen Lijnzaad Binnenh suiker; Hadi Ned Otterbacken Wagenborg Lekb hout; Lago Noor. Dakar Ned-Zwltserse Waalh hout; Omlandia Ned Wismar Invotra Spoorh kali; Italico It Casablanca Oudkerk Waalh fosfaat; Skanseodde de Freddericia Oudkerk 2e Kath erts; Hollandla Zw Gothenburg Kuyper v Dam Smeer Schleh stg; Kerguelen- Frans Buenos Aires CCM IJsselh vlees; Amerlcan Counsellor Am New Vork TJnlstates Line Muller Merweh stg; Willem Ned Kopenhagen Dammers v d Heyde Stleljesk creolln; Fredman Zw Kotka Vlnke 2e Kath hout; Prinses Margriet Ned Zaandam Vermaas 2e Kath ledig; WlIJa Ned Kopenhagen Dammers v d Heyde Stieltjesk creolln; Rijnhaven Ned Gdynia Kuyper v Dam Smeer Merweh stg. 13 Sept.: Tyro Ned Amst Hudlg Veder Merweh stg: Baumwall Duits Walvik Van Uden Rijnh cellulose; Mary Ned Londen Holscher Parkk suiker;, Skimer Zw Norköplng Burger IJsselh stg; Dalerdijk Ned Antwerpen HAL Wllhelminak stg; Bernisse Ned Antwerpen Van Es Waalh ledig: Aldabi Ned Bahia Nievelt Goudriaan Lekh stg; Sarnia Eng Grangemouth RKC Waalh kolen; Arendskerk Ned Antwerpen VNS Rijnh stg; Nieuw Amsterdam Ned New Vork! HAL Wllhelminak stg; Neptunus Ned Antwerpen Neerlaridia Westerk . ledig; Granhelm Noor Huil Van Ommeren RDM; Vlldvugel Noor Vlaardlngen Vlnke 2e Petroleumh ledig; TJddeholm» Zw Dordrecht Continentale Wilton Rott; Hamel Geall slbt met kraan Hamburg Muller Parkh; Granhelm Noor Huil Van Ommeren RDM ledig; Vildvugl"" Noor Vlaardingen Vlnke I2e Petroleumh ledig; Uddeholm Zw Continentale Wilton Rotterdam ledig: Kolsater Zw Karlstad Ruys Rijnh Oz cellulose Stad Arnhem Ned Sas van Gent Halcyon Lijn Schleh ledig; Cirrus Ned Atl Oceaan Nievelt Goudriaan 2e Petroleumh; Tsvonlt Isr Ceuta Van Ommeren Waalh 87 stg; Galea Zw Londen Vlnke Waalh 73 ledig; Leuvehaven Ned Karlstad Van Uden Parkh stg; Tyson Lykes Am New Orleans Lykes - Line Maash 9 graan en stg; Zwrjndrecht Ned Lulea NRV Vlaardingen erts; Veraholnv Zw Mantyluoto ' Kuyper v Dam I & Smeer Maash Nz stg; Nettie Ned Sornaes Vet-. maas 2e Kath hout; Eurymedon Gr Dalren Furness Maash 7 graan; .Jura Ned Londen Furness Maash Nz ledig; Wim Londen Invotra Binnenh stg.",DDD_010950539_0084_articletext.xml,1950-09-13,122741,../data/1950/09-13/DDD_010950539/DDD_010950539_0084_articletext.xml,../data/1950/09-13/DDD_010950539,949.0,DDD:ddd:010950539:mpeg21.didl.xml.gz.xml,1120.0,../data/1950/09-13/DDD_010950539/DDD:ddd:010950539:mpeg21.didl.xml.gz.xml,Het vrĳe volk : democratisch-socialistisch dagblad,1950-09-13,Rotterdam,De Arbeiderspers,Gemeentearchief Rotterdam,6.0,1624.0,nl,3
