Unnamed: 0_x,type,text,article_name,date,index_article,article_filepath,dir,Unnamed: 0_y,metadata_title,index_metadata,metadata_filepath,newspaper_title,newspaper_date,newspaper_city,newspaper_publisher,newspaper_source,newspaper_volume,newspaper_issuenumber,newspaper_language,count
25407,p,"DE havens van Scheveningen. Kaden zyn er niet meer. Het is een berglandschap, samengesteld uit stapels tonnen, hoge massieve gevaarten met hier en daar een dal waarin een zoutploeg werkt en smalle paadjes naar de loggers aan de wallekant. Vaten, zover het oog reikt niets dan vaten. In de verte klimmen de kinderen er op en er af — kleine poppetjes. De weelderige oogst van de Noordzee is hier opgestapeld. Millioenen kilo's vette, voedzame haringen. De Noordzee schenkt met gulle hand dit najaar. Loggers varen 70—80 mijl uit de kust en zijn zo weerom met vangsten van vyf tot zes kantjes per net. De kaden liggen barstens vol. Er kan niets meer bij denkt men. En toch kondigt telkens de scheepshoorn van een binnenvarende logger een nieuwe vracht voedsel aan. Vernietiging DE „Ducdalf"" is het koffiehuis bij de afslag. Schubben aan de deurklink, schubben op de vette vloer, schubben aan de stoelen, schubben aan de kleren, de handen en gezichten van de vissers, die binnenbenen om een slok warmte te halen. wy zeggen: „Er ligt hier nog al wat haring, hè?"" Een visser, de beschubde pet in de neK, kykt op van zijn koffie: , Nog al wat haring? We stikken in de haring!"" Hij wijst uit het raam, naar de straat. Een zware vrachtauto rolt voorby, hoog opgetorst met zilverige haringltjven, waar een verdwaalde zonnestraal de vonken uitslaat. , Daar gaat-ie weer. Naar de vismeelf'abriek. Verse haring. Hij is nog bijna levendig. Drieduizend kisten van de vijf en dertig honderd naar de vismeelfabriek. Alleen van vanmorgen"". Zilveren voedsel, dat vernietigd wordt... Goed,en goedkoop JA, dat komt omdat er geen export is"", zegt een visserman op de kade. De Russen willen wel haring kopen, maar niet betalen"", zegt een burgerman, die naar het opzouten kykt. En hy haalt het Haagse „Parool"" uit zyn overjas. , Kijk maar zelf, hier staat het. 40.000 vaten kunnen we de Russen leveren en dan krygen we van hun bruinkool en kali. Maar die bruinkool is véél te duur, mynheer en ook niet goed. Ziet U, prijs vry hoog, kwalteit minder goed"". Ja, zo staat het in die krant, alsof er geen woord van gelogen is. Deskundigen, die verstand hebben van bruinkool en by deze transactie betrpkken zyn, hebben die krant ook gelezen. „Integendeel, het is uitstekende bruinkool deze VVB-briketten"", zo zeggen zij. Een eerste klas kwaliteit, die overeenkomt met de G.R. en de 8., de beste merken van Unior. En helemaal niet duur. De Union-briket kost de verbruiker ƒ 5.40 per honderd kilo. De VVBbriket krijgen we van de Russen Vaten vol kostelijk voedsel ...Zo ver het oog reikt. : — als we transport en alles ert tellen — voor ƒ 3.35 per honder kilo in Nederland"". Maar de kranten schreven ook, dat N derland al genoeg briketten heeft. „Onzin"", zeggen de deskundigen. „Ze! als er geen strenge winter komt is h< beter dat we een paar duizend te. goede briketten in voorraad hebben. dan dat de haring naar de vismeelfabrieken gaat"". Geen antwoord...., DAT is ook de mening van de reders. Niemand verdenkt er hen van communist te zijn. Zy willen alleen maar de overvloed aan haring verkopen en de Omdat er geen antwoord kwam is de kali-magnesium aan andere landen geleverd en is het aanbod vervangen door een andere soort kunstmest, n.l. kali-potas 40%. Maar de handelsvertegenwoordigers van de Sowjet-Unie hebben",DDD_010852387_0069_articletext.xml,1950-11-01,2059484,/Users/leonardovida/dev/HistAware/data/raw/delpher/1950/11-01/DDD_010852387/DDD_010852387_0069_articletext.xml,/Users/leonardovida/dev/HistAware/data/raw/delpher/1950/11-01/DDD_010852387,655.0,DDD:ddd:010852387:mpeg21.didl.xml.gz.xml,8622.0,/Users/leonardovida/dev/HistAware/data/raw/delpher/1950/11-01/DDD_010852387/DDD:ddd:010852387:mpeg21.didl.xml.gz.xml,De waarheid,1950-11-01,Amsterdam,s.n.,Internationaal Instituut voor Sociale Geschiedenis ZF 40364,10.0,457.0,nl,4
27718,p,"De eoncesslehoudster — de reeds genoeme firma te Wassenaar — was bij het stopzetten der verdere exploitatie aan bepaalde voorwaarden gebonden. ZIJ moest bet terrein binnen het eoncessleveld van de «Herman"" bij bet beëindigen van de ontginning opleveren overeenkomstig de voorschriften van de acte van concessie. De gemeente Eygelshoven bestrijdt met nadruk, dat dit ook inderdaad volledig is geschiedt. Een sprekend voorbeeld van dit verzuim U het drama van de WottbocHerweg. Toen de exploitatie van de groeve • in 1944 opnieuw ter hand werd genomen, moest men om bij de bruinkool te komen eerst de erboven gelegen zandlaag afgraven. Dit zand voerd gestort tegenover de ontginning, Hnfcs van de WaubacHerweg. Als het regent spoelt dit zand de teeg op. Hst drukke mijnwérkersverkeer ovir de Waubacherweg ondervindt er veel hinder van. Telkens weer móet met man en macht morden gewerkt, om het zand van de weg te scheppen, daar ander* ernstige ongelukken kunnen ontstaan. De kwestie Is reeds enige malen in de Tweede Kamer ter sprake gekomen, waa* het Kamerlid Jos. Maenen uitvoerig de belangen der gemeente Eygelshoven heeft verdedigd. Het Staatstoezicht op de Mijnen stelde onderzoek in, waardoor echter geen verandering in de bestaande toestand werd gebracht. En tenslotte verklaarde minister Van dèn Brink, dat naar he% hem voorkwam het geschil tussen de gemeente Eygelshoven en de concessiehoudster der [voormalige bruinkoolgroeve „Herman"" ali leen kan woren opgelost door een aerechi teltjke uitspraak op basis van de mljnwet! geving. De gemeente tracht echter met de | firma te' Wassenaar alsnog een minnelijke «regeling te treffen. Daarbij spelen ook.andere meningsverschillen een rol. Het drama van de Waubacherweg H niet het enige ongerief, dat de exploitatie van de bruinkoolgroeve „Herman"" de gemeente heeft berokkend Leidt dit onderling overleg echter niet tot een bevredigende I oplossing, dan zal de rechter uitspraak I noeten doen. ,",DDD_010417739_0093_articletext.xml,1950-12-19,2060382,/Users/leonardovida/dev/HistAware/data/raw/delpher/1950/12-19/DDD_010417739/DDD_010417739_0093_articletext.xml,/Users/leonardovida/dev/HistAware/data/raw/delpher/1950/12-19/DDD_010417739,662.0,DDD:ddd:010417739:mpeg21.didl.xml.gz.xml,8630.0,/Users/leonardovida/dev/HistAware/data/raw/delpher/1950/12-19/DDD_010417739/DDD:ddd:010417739:mpeg21.didl.xml.gz.xml,Limburgsch dagblad,1950-12-19,Heerlen,Nieuwe Limburger koerier;Uitgeversmaatschappĳ Limburgs Dagblad,Sociaal Historisch centrum voor Limburg T 501,33.0,297.0,nl,3
27981,p,"EYGELSHOVEN, 18 Dee. (Eigen red,) — De voormarigt bruinkoölgroeve gierman te Eygelshoven heeft een wisselvallig verleden, ln 1918, toen er tengevolge van dt eerste wereldoorlog een nijpend tekort aan brandstof bestond, tverd met de •*• pïoltatie begonnen. Snipe jaren later, nedat dit tekort was' opgeheven, werd di ontginning, van de groeve gestaakt. Di onderneming* welke de ,tferman*< e*ploi* teerde, ging failliet en net werk bleef -. liggen-tot het'najaar van 1944. Toen .had de tweede wereldoorlog opnieuw in ons land een tekort aan brand? stof doen ontstaan. Een nieuwe onderneming — dé Maatschappij tot ontginning van Bruinkool en uitvoering van Werken, gevestigd te Wassenaar — ging de groeve weer ontginnen. Aanvankelijk met veel succes. Hef bedrijf floreerde. Lange rijen vrachtauto*, afkomstig uit alle provincies, wachtten bij de groeve geduldig hun beurt af, om met de begeerde bruinkool te worden geladen. In 1949 was echter de brandstofvoorziening van Nederland zo veel verbeterd, dat de exploitatie van de ,;Herman"" wederom niet langer lonend was, Opnieuw werd de ontginning, waarin naar schatting een 100.000 ton bruinkool bleef zitten, gestaakt",DDD_010417739_0091_articletext.xml,1950-12-19,2060496,/Users/leonardovida/dev/HistAware/data/raw/delpher/1950/12-19/DDD_010417739/DDD_010417739_0091_articletext.xml,/Users/leonardovida/dev/HistAware/data/raw/delpher/1950/12-19/DDD_010417739,662.0,DDD:ddd:010417739:mpeg21.didl.xml.gz.xml,8630.0,/Users/leonardovida/dev/HistAware/data/raw/delpher/1950/12-19/DDD_010417739/DDD:ddd:010417739:mpeg21.didl.xml.gz.xml,Limburgsch dagblad,1950-12-19,Heerlen,Nieuwe Limburger koerier;Uitgeversmaatschappĳ Limburgs Dagblad,Sociaal Historisch centrum voor Limburg T 501,33.0,297.0,nl,3
25582,p,"Sowjet-Unie heeft aangeboden om 40.000 vaten van 115 kilo af te nemen. „Een prachtorder"", zeggen de heren van de Redersvereniging in de Scheveningse Helmstraat. En wat het zaken doen met de Sowjet-Unie betreft: „De Russen zijn zo eerlijk als goud. Wat ze afspreken komen ze.ook na. Het is alleen een vergissing om te denken dat de Russen ons nodig hebben... ."". Maar of het nu de reders zyn die zeggen „laat ons de haring verkopen"" of de kolenhandelaren die zeggen „laat ons die bruinkool kopen"" of de vissers die zeggen „waar moet het heen met de visserij, als alles naar de vismeelf abriek gaat"" — de regering zegt „NEE !"", de transactie gaat niet door ! Reeds in September van dit jaar heeft de Sowjet-Unie aangeboden om 40.000 vaten van elk 115 kilo haring in Nederland te kopen. Eerst zou zij betalen met 35.000 ton bruinkool en het resterende bedrag met kali-magnesium (kunstmest).",DDD_010852387_0072_articletext.xml,1950-11-01,2059555,/Users/leonardovida/dev/HistAware/data/raw/delpher/1950/11-01/DDD_010852387/DDD_010852387_0072_articletext.xml,/Users/leonardovida/dev/HistAware/data/raw/delpher/1950/11-01/DDD_010852387,655.0,DDD:ddd:010852387:mpeg21.didl.xml.gz.xml,8622.0,/Users/leonardovida/dev/HistAware/data/raw/delpher/1950/11-01/DDD_010852387/DDD:ddd:010852387:mpeg21.didl.xml.gz.xml,De waarheid,1950-11-01,Amsterdam,s.n.,Internationaal Instituut voor Sociale Geschiedenis ZF 40364,10.0,457.0,nl,2
27980,title,Moet de rechter tenslotte uitspraak doen ? Zandlawine bij regen op de Waubacherweg te Eygelshoven Trieste erfenis van de bruinkoolgroeve,DDD_010417739_0091_articletext.xml,1950-12-19,2060496,/Users/leonardovida/dev/HistAware/data/raw/delpher/1950/12-19/DDD_010417739/DDD_010417739_0091_articletext.xml,/Users/leonardovida/dev/HistAware/data/raw/delpher/1950/12-19/DDD_010417739,662.0,DDD:ddd:010417739:mpeg21.didl.xml.gz.xml,8630.0,/Users/leonardovida/dev/HistAware/data/raw/delpher/1950/12-19/DDD_010417739/DDD:ddd:010417739:mpeg21.didl.xml.gz.xml,Limburgsch dagblad,1950-12-19,Heerlen,Nieuwe Limburger koerier;Uitgeversmaatschappĳ Limburgs Dagblad,Sociaal Historisch centrum voor Limburg T 501,33.0,297.0,nl,1
37756,p,"EÈN TURIJNSE WINKELIERSTER was zo dom een pak van vüftig 10.000--lirebiljetten op de toonbank te laten liggen toen haar hond in de buurt was. Het dier nam het pak tussen zyn tanden en rende er mee de straat op. De bazin zag nog juist hoe een vreemde man „apport"" riep en het kostbare pakje van de hond overnam. Toen verdween hy in de menigte.:.. In zyn landhuis te Champigny is op 83-jarige leef tüd de beroemde Italiaanse rekenmeester Jacques Inaudi' overleden.- Inaudi begon zyn loopbaan als schaapherder en- hy bleef zyn kudde hoeden tot hy plotseling zyn wonderbaariyke gave ontdekte. In een wip kon hy zonder papier en potlood hele reeksen' getallen optellen en vermenigvuldigen en van die eigenschap ging lüj gebruik maken door op een zwerftocht van stad tot stad er zyn' brood mee te verdienen. Later trok hü naar Amerika, waar hü met succes de strijd aanbond met drie rekenmachines! \£w Eeuwen geleden heeft een aardverschuiving op het Zuidereiland van Nieuw-Zeeland vy f tien millioen ton bruinkool aan de oppervlakte gebracht. Eerst onlangs heeft men dat ontdekt en nu heeft men er de brandstof maar voor het opscheppen, In Leopoldsville, de hoofdstad van de Belgische Congo, heeft de politie een grote krokodil gearresteerd, die rustig 's avonds door de drukke straten voortkroop. Nu zit hij grimmig achter de tralies van een dierentuin",DDD_010950606_0023_articletext.xml,1950-11-30,2064179,/Users/leonardovida/dev/HistAware/data/raw/delpher/1950/11-30/DDD_010950606/DDD_010950606_0023_articletext.xml,/Users/leonardovida/dev/HistAware/data/raw/delpher/1950/11-30/DDD_010950606,692.0,DDD:ddd:010950606:mpeg21.didl.xml.gz.xml,8664.0,/Users/leonardovida/dev/HistAware/data/raw/delpher/1950/11-30/DDD_010950606/DDD:ddd:010950606:mpeg21.didl.xml.gz.xml,Het vrĳe volk : democratisch-socialistisch dagblad,1950-11-30,Rotterdam,De Arbeiderspers,Gemeentearchief Rotterdam,6.0,1691.0,nl,1
46116,p,"— De Duitse Democratische Republiek zal West-Duitsland 600.000 ton bruinkoolbriketten leveren, volgens een dezer dagen tot utand gekomen overeenkomst.",DDD_010852490_0025_articletext.xml,1950-09-04,2067261,/Users/leonardovida/dev/HistAware/data/raw/delpher/1950/09-04/DDD_010852490/DDD_010852490_0025_articletext.xml,/Users/leonardovida/dev/HistAware/data/raw/delpher/1950/09-04/DDD_010852490,717.0,DDD:ddd:010852490:mpeg21.didl.xml.gz.xml,8692.0,/Users/leonardovida/dev/HistAware/data/raw/delpher/1950/09-04/DDD_010852490/DDD:ddd:010852490:mpeg21.didl.xml.gz.xml,De waarheid,1950-09-04,Amsterdam,s.n.,Internationaal Instituut voor Sociale Geschiedenis ZF 40364,10.0,407.0,nl,1
78199,p,"BRANDSTOFFEN Uit voorraad leverbaar Bruinkool briketten è f 4.95 per 100 kg. 1 e soort Gr. Baggelaars a f 15.75 p. 1000 Franco Bergplaats Fa. LAAGLAND Compagnonsstraat 4, Heerenveen, Tel. 2555",DDD_010733822_0029_articletext.xml,1950-03-10,2079173,/Users/leonardovida/dev/HistAware/data/raw/delpher/1950/03-10/DDD_010733822/DDD_010733822_0029_articletext.xml,/Users/leonardovida/dev/HistAware/data/raw/delpher/1950/03-10/DDD_010733822,817.0,DDD:ddd:010733822:mpeg21.didl.xml.gz.xml,8808.0,/Users/leonardovida/dev/HistAware/data/raw/delpher/1950/03-10/DDD_010733822/DDD:ddd:010733822:mpeg21.didl.xml.gz.xml,Nieuwsblad van Friesland : Hepkema's courant,1950-03-10,Heerenveen,J. Hepkema,Tresoar,76.0,30.0,nl,1
82011,p,"Naast de behartiging van de belangen der mijnindustrie is aan het Staatstoezicht, dat in 1890 van Kerkrade naar Maastricht werd overgeplaatst, in 1894 in Heerlen gevestigd werd, in 1921 weer in Maastricht onderdak vond en in 1935 voorgoed naar Heerlen werd overgebracht, ook het toezicht op de opsporing en exploitatie van andere waardevolle delfstoffen opgedragen, zoals bruinkool, zout, aardolie, evenals de ontginning van onderaardse mergelgroeven.",DDD_010417452_0071_articletext.xml,1950-04-07,2080530,/Users/leonardovida/dev/HistAware/data/raw/delpher/1950/04-07/DDD_010417452/DDD_010417452_0071_articletext.xml,/Users/leonardovida/dev/HistAware/data/raw/delpher/1950/04-07/DDD_010417452,826.0,DDD:ddd:010417452:mpeg21.didl.xml.gz.xml,8819.0,/Users/leonardovida/dev/HistAware/data/raw/delpher/1950/04-07/DDD_010417452/DDD:ddd:010417452:mpeg21.didl.xml.gz.xml,Limburgsch dagblad,1950-04-07,Heerlen,Nieuwe Limburger koerier;Uitgeversmaatschappĳ Limburgs Dagblad,Sociaal Historisch centrum voor Limburg T 501,33.0,83.0,nl,1
91589,p,"Vooral in het belang van een aanzien lijk aantal treinabonné's, welke b.v. als beambte bij de Eygelshovense mijnen werkzaam zijn, werd in de ontwerpdienstregeling van de 1.A.0. een vaste halte geprojecteerd bij de keermuur van de Oudï Kerk te Eygelshoven tegenover het Markt:-pl'-in. Deze halteplaats was enerzijds zo dicht mogelijk gelegen bij het verdwijnende station, anderzijds zo cenü-aal mi iijk tussen het hoofdbureau i^in de mijn Laura, de mijn Julia en de eigenlijke dorpskom. De vaste halteplaats was hiel geprojecteerd, daar de smalle Torenstraat voor het verkeer onveilig wab door de bitrover plaats hebbende bruinkooltransporten Hoewel deze halteplaats enige tijd geleaeu zonder hierdoor hinder te veroorz;. werd gebruikt door de autobussen van , Spoorwegen, hebben de gemeentelij:: autoriteiten van Eygelshoven thans bezw ren tegen deze halteplaats bij de Ouo Kerk. Door het vervallen daarvan moeter. de reizigers thans van en naar de halteplaats bij hotel Scholtcs lopen. De halteplaatsen van de nieuwe dienst zijn te Schaesberg bij het station en het Gevallenen-monument aan de Spoorstraat. Mét deze nieuwe dienstregeling h Ij'i n cl. rs uit de richting Haanrade—Eygelt hoven v. v op Zondagen 33 mogelijkheu- n per dag om Heerlen te bereiken en op werkdagen zelfs 40.",DDD_010417646_0080_articletext.xml,1950-07-29,2083948,/Users/leonardovida/dev/HistAware/data/raw/delpher/1950/07-29/DDD_010417646/DDD_010417646_0080_articletext.xml,/Users/leonardovida/dev/HistAware/data/raw/delpher/1950/07-29/DDD_010417646,856.0,DDD:ddd:010417646:mpeg21.didl.xml.gz.xml,8856.0,/Users/leonardovida/dev/HistAware/data/raw/delpher/1950/07-29/DDD_010417646/DDD:ddd:010417646:mpeg21.didl.xml.gz.xml,Limburgsch dagblad,1950-07-29,Heerlen,Nieuwe Limburger koerier;Uitgeversmaatschappĳ Limburgs Dagblad,Sociaal Historisch centrum voor Limburg T 501,33.0,177.0,nl,1
