,Unnamed: 0,Unnamed: 0.1,article_filepath,article_name,count,date,dir,index_article,index_metadata,metadata_filepath,metadata_title,newspaper_city,newspaper_date,newspaper_issuenumber,newspaper_language,newspaper_publisher,newspaper_source,newspaper_title,newspaper_volume,sentiment,text,text_clean,type,sentiment_coal,energy,sentiment_gas,sentiment_oil
0,104,104,/Users/leonardovida/dev/HistAware/data/raw/delpher/1990s/1993/07-17/DDD_010645193/DDD_010645193_0155_articletext.xml,DDD_010645193_0155_articletext.xml,3,1993-07-17,/Users/leonardovida/dev/HistAware/data/raw/delpher/1990s/1993/07-17/DDD_010645193,747047,,,,,,,,,,,,0.144311679780555,"BOGOTA - Colombia heeft een kolen-reserve welke genoeg is voor de komende vierhonderd jaar. Zo maakte het staatsbedrijf Carbocol bekend. De grootste kolenreserves heeft men in het noorden in het Cerrejon-gebied. Daar kan men zestig jaar vanaf nu kolen winnen tegen een hoger tempo dan nu wordt aangehouden. De kolenreserves in het zuiden zijn ook enorm. Daar worden nog geen kolen gewonnen. Alles bij elkaar zijn de vooruitzichten gunstig, aldus Carbocol.",heeft een welke genoeg is voor de komende vierhonderd jaar zo maakte het staatsbedrijf bekend de grootste heeft men in het noorden in het daar kan men zestig jaar vanaf kolen winnen tegen een hoger tempo dan wordt de in het zijn ook enorm daar worden nog geen kolen gewonnen alles bij elkaar zijn de,p,PO,Y,,
1,3038,3038,/Users/leonardovida/dev/HistAware/data/raw/delpher/1990s/1990/03-09/DDD_010645647/DDD_010645647_0550_articletext.xml,DDD_010645647_0550_articletext.xml,1,1990-03-09,/Users/leonardovida/dev/HistAware/data/raw/delpher/1990s/1990/03-09/DDD_010645647,2411001,6150.0,/Users/leonardovida/dev/HistAware/data/raw/delpher/1990s/1990/03-09/DDD_010645647/DDD:ddd:010645647:mpeg21.didl.xml.gz.xml,DDD:ddd:010645647:mpeg21.didl.xml.gz.xml,Amsterdam,1990-03-09,31769.0,nl,Dagblad De Telegraaf,KB C 98,De Telegraaf,98.0,0.0983148837277617,"De uitworp van zwaveldioxide (SO2) door het verstoken van fossiele brandstoffen (olie, kolen en gas) is vorig jaar met 10 procent gedaald ten opzichte van 1988. De uitworp van stikstofoxiden (NOx) nam met 3 procent af.",de van zwaveldioxide door het verstoken van fossiele brandstoffen olie kolen en gas is vorig jaar met procent gedaald ten opzichte van de van nam met procent af,p,NG,Y,NG,NG
2,401,401,/Users/leonardovida/dev/HistAware/data/raw/delpher/1990s/1990/03-08/DDD_011019282/DDD_011019282_0407_articletext.xml,DDD_011019282_0407_articletext.xml,2,1990-03-08,/Users/leonardovida/dev/HistAware/data/raw/delpher/1990s/1990/03-08/DDD_011019282,2355660,5990.0,/Users/leonardovida/dev/HistAware/data/raw/delpher/1990s/1990/03-08/DDD_011019282/DDD:ddd:011019282:mpeg21.didl.xml.gz.xml,DDD:ddd:011019282:mpeg21.didl.xml.gz.xml,Groningen,1990-03-08,57.0,nl,Nieuwenhuis,Groninger archieven,Nieuwsblad van het Noorden,103.0,0.12966282790272027,"Op 31 maart 1980 kwam de laatste steenkolenwagen in het Belgische Argenteau-Trembleur boven. Het betekende het einde van de laatste werkende steenkolenmijn in het Luikse bekken. Maar van de mijn, Le Trimbleu geheten, werd besloten een aandenken te maken ter herinnering aan al die mijnwerkers, die vele decennia onder de moeilijkst denkbare omstandigheden de kolen naar boven moesten halen. Bij de mijn worden niet alleen bovengronds alle facetten van het steenkolen delven door de eeuwen heen zichtbaar gemaakt; wie dat durft kan mêt een oud-mijnwerker die als gids dient, ook de twee bovenste, maar uiteraard enkele tientallen",op maart kwam de laatste steenkolenwagen in het boven het betekende het einde van de laatste werkende steenkolenmijn in het bekken maar van de mijn geheten werd besloten een aandenken te maken ter herinnering aan al die mijnwerkers die vele decennia onder de moeilijkst denkbare omstandigheden de kolen naar boven moesten halen bij de mijn worden niet alleen bovengronds alle facetten van het steenkolen delven door de heen zichtbaar gemaakt wie dat kan een die als gids dient ook de twee bovenste maar enkele tientallen,p,NE,Y,,
3,3951,3951,/Users/leonardovida/dev/HistAware/data/raw/delpher/1990s/1992/10-17/DDD_010646636/DDD_010646636_1218_articletext.xml,DDD_010646636_1218_articletext.xml,1,1992-10-17,/Users/leonardovida/dev/HistAware/data/raw/delpher/1990s/1992/10-17/DDD_010646636,1646149,4200.0,/Users/leonardovida/dev/HistAware/data/raw/delpher/1990s/1992/10-17/DDD_010646636/DDD:ddd:010646636:mpeg21.didl.xml.gz.xml,DDD:ddd:010646636:mpeg21.didl.xml.gz.xml,Amsterdam,1992-10-17,32572.0,nl,Dagblad De Telegraaf,KB C 98,De Telegraaf,100.0,0.13901439761153406,"Niets aan te doen, zegt British Coal: de kolen zijn voor de elektriciteitsmaatschappijen te duur, gas is goedkoper en we zitten al met enorme onverkoopbare voorraden. Toch zullen sociale spanningen niet uitblijven. Zulke historisch noodzakelijke transformaties dienen ook wel wat zorgvuldiger tot stand te worden gebracht.",niets aan te doen zegt de kolen zijn voor de te gas is goedkoper en we zitten al met enorme onverkoopbare voorraden toch sociale spanningen niet historisch noodzakelijke transformaties dienen ook wel wat tot stand te worden gebracht,p,NG,Y,PO,
4,1847,1847,/Users/leonardovida/dev/HistAware/data/raw/delpher/1990s/1991/10-16/DDD_010567700/DDD_010567700_0352_articletext.xml,DDD_010567700_0352_articletext.xml,1,1991-10-16,/Users/leonardovida/dev/HistAware/data/raw/delpher/1990s/1991/10-16/DDD_010567700,3303817,,,,,,,,,,,,0.14595749589121518,"Drie aandeelhouders in Noro- Spanje procederen nog tegen Noro. Noro wil gedupeerde aandeelhouders in geen geval schadevergoeding aanbieden. Integendeel, de aandeelhouders van een Amerikaans Noro-vastgoedfonds is verzocht geld bij te storten, omdat een stuk grond in Atlanta enorm in waarde is gedaald. Fentener van Vlissingen zal daaraan meehelpen, zei hij vanochtend. Fentener van Vlissingen, erfgenaam van de miljarden die zijn voorvaderen verdienden met de Steenkolen Handelsvereniging, trekt zijn persoonlijk in Noro gestoken vermogen niet uit de maatschappij terug, verzekerde hij.",drie in procederen nog tegen wil in geen geval schadevergoeding aanbieden integendeel de van een is verzocht geld bij te storten omdat een grond in enorm in waarde is gedaald van zal daaraan meehelpen zei hij vanochtend van erfgenaam van de miljarden die zijn voorvaderen verdienden met de steenkolen handelsvereniging trekt zijn persoonlijk in gestoken vermogen niet de maatschappij terg verzekerde hij,p,NE,Y,,
5,371,371,/Users/leonardovida/dev/HistAware/data/raw/delpher/1990s/1991/05-10/DDD_010646294/DDD_010646294_0653_articletext.xml,DDD_010646294_0653_articletext.xml,2,1991-05-10,/Users/leonardovida/dev/HistAware/data/raw/delpher/1990s/1991/05-10/DDD_010646294,3315516,8543.0,/Users/leonardovida/dev/HistAware/data/raw/delpher/1990s/1991/05-10/DDD_010646294/DDD:ddd:010646294:mpeg21.didl.xml.gz.xml,DDD:ddd:010646294:mpeg21.didl.xml.gz.xml,Amsterdam,1991-05-10,32128.0,nl,Dagblad De Telegraaf,KB C 98,De Telegraaf,99.0,0.09468729586650446,SHV gaat de handelsactiviteiten in kolen verzelfstandigen. Hiermee komt een eind aan een van de kernactiviteiten van de Steenkolen Handels Vereniging (SHV). Het kolenbedrijf SSM zal zelfstandig worden voortgezet als een van de belangrijkste onafhankelijke kolenhandelaren in de wereld.,de handelsactiviteiten in kolen verzelfstandigen hiermee komt een eind aan een van de kernactiviteiten van de steenkolen handels vereniging het zal zelfstandig worden voortgezet als een van de belangrijkste onafhankelijke kolenhandelaren in de wereld,p,NE,Y,,
8,3651,3651,/Users/leonardovida/dev/HistAware/data/raw/delpher/1990s/1992/06-10/DDD_011020032/DDD_011020032_0421_articletext.xml,DDD_011020032_0421_articletext.xml,1,1992-06-10,/Users/leonardovida/dev/HistAware/data/raw/delpher/1990s/1992/06-10/DDD_011020032,2137250,5435.0,/Users/leonardovida/dev/HistAware/data/raw/delpher/1990s/1992/06-10/DDD_011020032/DDD:ddd:011020032:mpeg21.didl.xml.gz.xml,DDD:ddd:011020032:mpeg21.didl.xml.gz.xml,Groningen,1992-06-10,135.0,nl,Nieuwenhuis,Groninger archieven,Nieuwsblad van het Noorden,105.0,0.12933682730393387,"naam opgebouwd. Mensen die het politieke systeem nou niet zó ideaal vonden en de socialistische staat wilden ontvluchten kregen van diezelfde staat een 'enkele reis Cottbus', de grootste gevangenis van héél het DDR-rijk. Het gaat hier trouwens om een stad met veel meer interessante gegevens. Begin jaren zeventig kwam Cottbus terecht in een culturele én industriële stroomversnelling. De winning van bruinkool, nog steeds dè energiebron in dat gedeelte van Duitsland, werd grootschalig aangepakt. En dit had weer tot gevolg dat er enorme elektriciteitscentrales verrezen die op hun beurt praktisch geheel Oost-Duitsland van stroom moesten voorzien. Uiteraard werd die ontwikkeling planologisch ook zichtbaar: enorme nieuwbouwwijken rond een zeer historisch stadje. Want Cottbus beschikt over interessante bouwwerken uit een grijs verleden. Zo mag men daar met gepaste trots in de folders melden het enige Jugendstil-theater van heel Europa in de oude stadskern te hebben. Cottbus was ook eens dè textielstad in het communistische bolwerk van toen. Tienduizenden mensen hadden een",naam mensen die het politieke systeem niet ideaal vonden en de socialistische staat wilden kregen van diezelfde staat een reis de grootste gevangenis van het het hier om een stad met veel meer interessante gegevens begin jaren zeventig kwam terecht in een stroomversnelling de winning van nog steeds energiebron in dat gedeelte van werd grootschalig aangepakt en dit had weer tot gevolg dat er enorme elektriciteitscentrales verrezen die op praktisch geheel van stroom moesten voorzien werd die ontwikkeling planologisch ook zichtbaar enorme rond een zeer historisch stadje want beschikt over interessante een grijs verleden zo mag men daar met gepaste trots in de folders melden het enige van heel in de ode te hebben was ook eens in het bolwerk van toen mensen hadden een,p,NG,Y,,
9,2180,2180,/Users/leonardovida/dev/HistAware/data/raw/delpher/1990s/1993/02-24/DDD_010628788/DDD_010628788_0179_articletext.xml,DDD_010628788_0179_articletext.xml,1,1993-02-24,/Users/leonardovida/dev/HistAware/data/raw/delpher/1990s/1993/02-24/DDD_010628788,247639,624.0,/Users/leonardovida/dev/HistAware/data/raw/delpher/1990s/1993/02-24/DDD_010628788/DDD:ddd:010628788:mpeg21.didl.xml.gz.xml,DDD:ddd:010628788:mpeg21.didl.xml.gz.xml,Amersfoort,1993-02-24,12333.0,nl,Stichting Nederlands Dagblad,Nederlands Dagblad,Nederlands dagblad : gereformeerd gezinsblad / hoofdred. P. Jongeling ... [et al.],49.0,0.07472725559316601,"De ontsluiting van aardgasreserves in de Derde Wereld krijgt ook de nodig aandacht van de Wereldbank. Volgens Saunders beschikken ongeveer vijftig ontwikkelingslanden over gasreserves, terwijl die landen steenkool en olie importeren. In de energiesector moet de concurrentie worden gestimuleerd, zodat de particuliere sector zich ook met de opwekking van energie kan bezighouden.",de van in de derde wereld krijgt ook de nodig aandacht van de wereldbank volgens beschikken ongeveer vijftig ontwikkelingslanden over terwijl die landen steenkool en olie importeren in de moet de worden zodat de sector zich ook met de opwekking van energie kan,p,NG,Y,PO,NG
10,3630,3630,/Users/leonardovida/dev/HistAware/data/raw/delpher/1990s/1992/05-12/DDD_010622623/DDD_010622623_0127_articletext.xml,DDD_010622623_0127_articletext.xml,1,1992-05-12,/Users/leonardovida/dev/HistAware/data/raw/delpher/1990s/1992/05-12/DDD_010622623,2120646,,,,,,,,,,,,0.1264674908757741,"DEN HAAG (GPD) - Het ministerie van economische zaken besteedt dit jaar circa ƒ 60 miljoen aan kernenergie-onderzoek. Dat is meer dan aan onderzoek naar duurzame energie (zon, wind en water) of naar energie uit steenkool, olie of gas. Alleen aan onderzoek naar energiebesparingsmogelijkheden wordt meer geld uitgegeven (/ 73 miljoen). De totale uitfaven voor energie-onderzoek in 992 bedragen f 180 miljoen, zo blijkt uit antwoorden van minister Koos Andriessen van economomische zaken op vragen uit de Tweede Kamer.",het ministerie van economische zaken besteedt dit jaar circa miljoen aan dat is meer dan aan onderzoek naar energie wind en water of naar energie steenkool olie of gas alleen aan onderzoek naar wordt meer geld miljoen de totale voor in bedragen miljoen zo blijkt antwoorden van minister koos van zaken op vragen de tweede kamer,p,NE,Y,NE,NE
11,3092,3092,/Users/leonardovida/dev/HistAware/data/raw/delpher/1990s/1992/12-07/DDD_010560145/DDD_010560145_0120_articletext.xml,DDD_010560145_0120_articletext.xml,1,1992-12-07,/Users/leonardovida/dev/HistAware/data/raw/delpher/1990s/1992/12-07/DDD_010560145,1751350,4467.0,/Users/leonardovida/dev/HistAware/data/raw/delpher/1990s/1992/12-07/DDD_010560145/DDD:ddd:010560145:mpeg21.didl.xml.gz.xml,DDD:ddd:010560145:mpeg21.didl.xml.gz.xml,Amersfoort,1992-12-07,12268.0,nl,Stichting Nederlands Dagblad,Nederlands Dagblad,Nederlands dagblad : gereformeerd gezinsblad / hoofdred. P. Jongeling ... [et al.],49.0,0.12965308010660065,"komt dat in de natuur niet spontaan een kernreactie tot stand komt. De reden is, dat uranium in de bodem niet in zuivere toestand voorkomt. De verontreinigingen nemen de voor een kern reactie benodigde neutronen op. In de tweede plaats komt Fermi tot de conclusie, dat lang niet elke hoeveelheid uranium voor een kernreactie zorgt. In de derde plaats wordt gevonden dat de grote snelheid, waarmee de neutronen wegvliegen uit een (gespleten) atoomkern, niet de meest gunstige is om een andere kern tot splijting te brengen. Anders gezegd: Alleen neutronen met een zeer bepaalde snelheid kunnen dat. In de meeste gevallen betekent dit dat de neutronen moeten worden vertraagd. Zon vertrager of 'moderator' is bij voorbeeld zwaar water. Maar deze vloeistof is in 1942 moeilijk te verkrijgen, omdat de zwaarwaterfabriek in Noorwegen dooreen aanval van Britse commando's vernield is. Gelukkig wordt er een vervangingsmiddel voor zwaar water gevonden. Dat is het element koolstof, dat in de vorm van grafiet ('potloodzwart') een uitstekende mode rator blijkt te zijn. Na enkele weken krijgt het bouwplan voor een splijtoven, waarin men hoopt een beheerste kernreactie tot stand te brengen, gestalte. In 1942 beschikt men in de Verenigde Staten — eindelijk — over voldoende grondstoffen om een eenvoudige proefreactor te bouwen. Als plaats voor de eerste reactor wordt gekozen voor de kleedruimtes van een voetbalstadion op de campus van de universiteit van Chicago. Onder de strengste geheimhouding wordt op 7 november van dat jaar met de bouw begonnen. De reactor wordt opgebouwd uit blokken uranium en uraniumoxyde en 'briketten' (wie kent ze nog?) grafiet. De blokken worden in lagen op elkaar gestapeld. Dat verklaart waarom de reactor 'pile' ('stapel') wordt genoemd. Het — primitieve — geheel ('Chicago Pile Nr. 1' genoemd) ziet eruit als een afgeplatte bol (ongeveer de vorm van een deurknop). Een experiment als dit is nog nooit eerder uitgevoerd. Het is op dat moment zelfs de vraag of de proefneming, als zij slaagt, ooit weer herhaald zal kunnen worden. Sommige fysici vrezen dat men de kettingreactie, wanneer die eenmaal op gang is gebracht, niet meer tot stilstand zal kunnen brengen met als gevolg een fatale ramp. Daarom neemt Fermi maatregelen om de activiteit van de neutronen te temperen. Lange staven cadmium worden in sleuven tussen de blokken grafiet gestoken. Het metaal cadmium heeft de eigenschap als een soort 'spons' de neutronen te absorberen ('op te zuigen'). Door deze staven uit het grafiet te trekken neemt de neutronenintensiteit toe. Door ze er dieper in te steken neemt het aantal neutronen af.",komt dat in de niet spontaan een kernreactie tot stand komt de reden is dat in de bodem niet in toestand voorkomt de verontreinigingen nemen de voor een kern reactie benodigde op in de tweede plaats komt tot de dat lang niet elke hoeveelheid voor een kernreactie zorgt in de derde plaats wordt gevonden dat de grote snelheid waarmee de wegvliegen een gespleten atoomkern niet de meest is om een andere kern tot splijting te brengen anders gezegd alleen met een zeer bepaalde snelheid dat in de meeste gevallen betekent dit dat de moeten worden vertraagd of is bij voorbeeld zwaar water maar deze vloeistof is in moeilijk te verkrijgen omdat de in dooreen aanval van commando vernield is wordt er een vervangingsmiddel voor zwaar water gevonden dat is het element koolstof dat in de vorm van grafiet een mode blijkt te zijn na enkele weken krijgt het voor een waarin men hoopt een beheerste kernreactie tot stand te brengen gestalte in beschikt men in de verenigde staten eindelijk over voldoende grondstoffen om een te als plaats voor de eerste reactor wordt gekozen voor de van een op de van de van onder de strengste wordt op november van dat jaar met de begonnen de reactor wordt blokken en en wie kent ze nog grafiet de blokken worden in lagen op elkaar gestapeld dat verklaart waarom de reactor wordt genoemd het primitieve geheel genoemd ziet als een afgeplatte bol ongeveer de vorm van een een experiment als dit is nog nooit eerder het is op dat moment zelfs de vraag of de proefneming als zij slaagt ooit weer herhaald zal worden sommige fysici vrezen dat men de kettingreactie wanneer die eenmaal op gang is gebracht niet meer tot stilstand zal brengen met als gevolg een fatale ramp daarom neemt maatregelen om de activiteit van de te temperen lange staven worden in de blokken grafiet gestoken het metaal heeft de eigenschap als een soort de te absorberen te door deze staven het grafiet te trekken neemt de toe door ze er dieper in te steken neemt het aantal af,p,,Y,,
