,text,labels,article_name
0,"Volgens prof. Odell heeft West- Europa de oplossing van de energiecrisis in eigen handen. Daartoe is het nodig, dat er geproduceerd wordt wat er kan worden geproduceerd en er aandacht wordt geschonken aan vermindering van de vraag en aan de ontwikkeling van alternatieven. Belangrijk , is, dat Europa inziet, welke energieproduktiemogelijkheden er eigenlijk aanwezig zijn in Europa zelf. Behalve op het economisch geografisch instituut van de Erasmus-universiteit is dat nog nergens in Europa gebeurd. Het is altijd zo, dat in een oliegebied (zoals de Noordzee is) steeds weer nieuwe reserves worden gevonden, zodat de oliereserves tenslotte veel groter blijken te zijn dan men aanvankelijk op grond van hetgeen tot dan is gevonden aanneemt. Volgens het model van het Rotterdamse instituut, het eerste en tot dusverre enige model, dat de hele Noordzee dekt, zal alleen al de Noordzee-olie na 1982 meer dan driekwart van de Europese totale oliebehoeften kunnen dekken..Daarnaast worden grote verwachtingen gekoesterd van de lerse Zee, terwijl dé mogelijkheden van de Middellandse Zee eveneens aanzienlijk zijn. Daar zal winning echter pas na 1990 mogelijk zijn. In 1985 zal, nog steeds volgens het model van het economisch-geografisch instituut van de Erasmus-universiteit, nog maar negen procent van de Europese energiebehoeften door invoer van olie behoeven te worden gedekt. De eigen Europese olieproductie zal in dat jaar het equivalent van 600 miljoen ton steenkool kunnen bedragen en de eigen Europese aardgasproduktie zal dan eveneens het equivalent van 600 miljoen ton steenkool groot kunnen zijn. In het jaar 2.000 zullen deze hoeveelheden gestegen kunnen zijn tot 1100 ton per jaar voor wat olie betreft en tot 800 miljoen ton per jaar wat aardgas betreft. In het jaar 1985 zal West-Europa van zijn energiebehoeften slechts 9 pet door olie-invoer, 7 pet door gasinvoer en 5 pet door koleninvoer behoeven te dekken. Als men nagaat, aldus prof. Odell, wat op het continentale plat reeds is en nog moet worden gedaan, kan men op grond van de bekende gegevens en van extrapolatie vaststellen, dat de aardgasreserves in de Noordzee viermaal zo groot zijn als de Slochteren-gasbel. In 1980 zal hét Noordzeegas een kwart van de Westeuropese energiebehoeften kun-, nen dekken. In de Noordzee zijn nu meer dan 20 enorme olie- en gasvelden in ontwikkeling of in produktie, terwijl er meer dan honderd zijn ontdekt. Er moet nog heel wat meer zijn, want tot nu toe is niet meer dan 10 a 12 pet van het hele continentale plat geëxploiteerd. Wat het Nederlandse deel betreft zijn naar schatting slechts in een kwart van dit gebied exploitatieboringen verricht, in totaal ruim 60. Toch zijn er in het Nederlandse deel van de Noordzee al vijftien of zestien velden gevonden, waarvan er pas énkele in produktie zijn.",2,DDD_010460687_0138_articletext.xml
1,"Het PEB heeft een contract tot levering van aardgas van de Gasunie, dat aan het eind van 1994 afloopt. De situatie is nu zo, dat er geen contracten voor de levering van gas meer aan centrales worden afgesloten, tenzij het gaat om speciale gevallen, zoals in het geval van speciale eenheden die als pieklasteenheden kunnen fungeren. Als dat in 1994 ook nog zo is, zal het PEB dan geen gascontract meer kunnen afsluiten. Nu is het gas in 1994 nog niet op. Men schat dat men tot 2005 toekan met het gas uit het Nederlandse deel van de Noordzee. Het hangt er helemaal van af, welke mogelijkheden dit Noordzeeplateau nog biedt. Ook is het mogelijk, dat er tegen die tijd gas uit het buitenland komt. Maar hoe dan ook, de mogelijkheid dat er tegen het einde van deze eeuw geen gas meer voor het PEB zal zijn, is reëel. Wat moet men dan? De centrale aan het Bergumermeer zou tot het jaar 2005 kunnen blijven draaien, voor hij versleten is. Er is natuurlijk altijd een kans, dat men nog weer een aardgascontract kan afsluiten, of dat er grote vondsten in de Noordzee worden gedaan, maar als dat niet zo is, moet men naar andere brandstof omzien, aldus de heren Wijnstra en Koelma.",0,DDD_010620634_0286_articletext.xml
2,"Het PEB heeft een contract tot levering van aardgas van de Gasunie, dat aan het eind van 1994 afloopt. De situatie is nu zo, dat er geen contracten voor de levering van gas meer aan centrales worden afgesloten, tenzij het gaat om speciale gevallen, zoals in het geval van speciale eenheden die als pieklasteenheden kunnen fungeren. Als dat in 1994 ook nog zo is, zal het PEB dan geen gascontract meer kunnen afsluiten. Nu is het gas in 1994 nog niet op. Men schat dat men tot 2005 toekan met het gas uit het Nederlandse deel van de Noordzee. Het hangt er helemaal van af, welke mogelijkheden dit Noordzeeplateau nog biedt. Ook is het mogelijk, dat er tegen die tijd gas uit het buitenland komt. Maar hoe dan ook, de mogelijkheid dat er tegen het einde van deze eeuw geen gas meer voor het PEB zal zijn, is reëel. Wat moet men dan? De centrale aan het Bergumermeer zou tot het jaar 2005 kunnen blijven draaien, voor hij versleten is. Er is natuurlijk altijd een kans, dat men nog weer een aardgascontract kan afsluiten, of dat er grote vondsten in de Noordzee worden gedaan, maar als dat niet zo is, moet men naar andere brandstof omzien, aldus de heren Wijnstra en Koelma.",0,DDD_010620634_0286_articletext.xml
3,". Volgens uw draaiboeken verdubbelt het energieverbruik in Nederland binnen 25 jaar als we doorgaan zoals we nu leven: voortdurende groei. Steeds méér. Terwijl, het draaiboek voor een „tevreden"", samenleving nog f altijd een toeneming van het energieverbruik met 25 pet voorspelt tot het jaar 2000. Dat laatste stelt de crisis dus wat uit. Welk draaiboek heeft Shell! nu in gebruik? -. ■ . /""•'■... •• ■*■: '■- •;i. :yf-.:;i0 Gordqn: „Tot begin'van de jaren '80 zal het! groei-scenario, dus het BU-draaibóek, wel overheersen. S ! Maar ï .; naarmate we dichter bij de crisis komen, zullen wrijvingen en conflicten' toenemen. <•' Een mengsel van die twee draaiboeken ligt dus voor de hand."" .,'/.'■ :';';'■'«; •!''■ Hoe vertaal je wrijvingen en conflicten; in liters olie, tonnen steenkool of gas?.:""■■ '"",, 'Gordon: „Daarvoor hebben we in ., Rotterdam ■''■■ een . uitgebreid team van de meest uiteenlopende deskundigen. specialisten; sociologen; economen, ener-, gie-deskundigen. • Die' houden voortdurend de vinger aan i de pols van de verschillende - bedrijfstakken en markten; ook de verschillende stijlen van léven. De automarkt is een goed voorbeeld. Het gebruik van auto's. De tragere j vervanging van j auto's. Het overstappen; naar auto's die minder verbruiken. Gas of diesel in plaats van benzine. Dat wijst er op dat men meer gaat letten op kwaliteit, dan op kwantiteit, hoeveelheid. Niet direct minder gebruik, maar wel minder verbruik. Ook de oliecrisis van 1973 heeft gegevens opgeleverd. Maar natuurlijk blijven de cijfers in onze draaiboeken erg: oppervlakkig. Het;gaat meer om de rich-, ting van ■ een ontwikkeling / dan' om de juistheid van de cijfers.'.'; ■:' Zelfs met het draaiboek 'voor een „tevreden"" samenleving gaan we' op' een energiecrisis:: af"" bin-' nen tien a 15 jaar. Hoe ziet die er: uit voor het f dagelijks leven van de Nederlander? i Benzine. op de . bon? Gordijnen verplicht dicht? Nog maar één lamp per kamer? Gordon: „Het. zal eerder uit-. draaien op flinke prijsstijgingen dan op benzine-bohnen. Maar die zuilen vanzelfsprekend | gevolgen hebben voor het leven-van-allédag. Welke gevolgen j precies, isniet te: zeggen..| Mensen •; zullen j beter leren kiezend Dat kan ook veel helpen. is dat besparingen . onvermijdelijk zullen worden."" „De prijzen van energiesoorten die de taak van olie gedeeltelijk kunnen overnemen zullen zeker anderhalf tot twee keer | zo' hoog zijn. Zoals de! zaken;; nu staan zullen kolen de eerste '20 a 30 jaar het grootste aandeel in die vervanging leveren. De"" nul'.be-, kende kolenvoorraden in dé wereld zijn voldoende om de ener-; giebehoeften I tot j ver in de. volgende eeuw te kunnen dekken."" - . En kernenergie;' heeft; u nog niet eens genoemd. Wat praten we dan over een crisis?. ;, Gordph: „Auto's kun je niet op kolen laten rijden.. Duizend-eneén produkten ? kun ?■ je wel S uit olie, en niet uit kolen-': maken.'. Ook van kernenergie .1 kun,, je geen produkten maken; wel energie-centrales mee laten werken. De snel dichterbij komende schaarste zit 'm * voornamelijk in de technische beperkingen. van de ; verschillende ■ energievoorraden. Al zijn , we ■> met; kolen j op weg ""om.' die; beperkingen op te heffen. De technieken om gas maken-uit kolenJworden steeds beter. In: ons draaiboek voor „groei"" komt 'een steeds; groter deel van het gasverbruikuit de kolenproduktie. Ook kunnen we uit kolen . vloeibare brandstoffen maken:'Die kunnen in een later stadium de jj bestaande, vloeibare brandstoffen, zoals benzine, vervangen. .'.■':""':■'""■;.' ,;.'; Volgens die redenering dus alleen een kwestie van timing. Een te Iaat kiezen en omschakelen op andere energievormen? .';'■ Gordon: „Inderdaad. AI is het voor, een' flink deer nog niet: te :laat om die keuze te doen. We ! kunnen.'■<::. bijvoorbeeld ; ;, nieuwe electricteitscentrales bouwen die I op kolen werken. Dat vergt zes è .acht jaar. Maar; dan moeten wë wel snel beslissen. Dan' kun: je straks wat langer- doen met gas en olie voor dingen waar' kolen ongeschikt voor zijn."" : "" ' vr.|7; -■ \ Onze kolenmijnen gaan voorlopig niet meer open. Wij hebben alleen gas en een paar druppels Noordzee-olie.':., Dus '■ zijn; we steeds meer afhankelijk van het buitenland. ; J Gordon:. Het' invoeren van kolen ; is'. voorlopig veel;. goedkoper dan. het' opnieuw voor : gebruik klaarmaken van onze paar mijnen. In Noord-Amerika, Australië en Afrika „liggen .enorme . voorraden direct 'qnder de oppervlakte. Daar hoef je niet eens mijngangen te graven. > Maar inderdaad,' de verdeling van energie; tussen de verschillende landen, over. de wereld, en . de prijsontwikkelingen j die I daar aan vast zitten,', zullen' de dreigende crisis beinvloeden. .Als politici de keuzen doen die •moeten worden gedaan, en niet . de oliemaatschappij, zoals u zegt, . dan wekt, Shell met j zijn j draaiboeken de argwaan dat zij die politici. ónder, druk.' wil ■ zetten, wil, beinvloeden. Wie. controleert de juistheid van uw cijfers? Niemand toch? .'. > Gordon; V „We zijn' een maand of vier, vijf "" geleden . met onzedraaiboeken bij Economische Zaken geweest. Van. dat soort contacten gaat een wederzijdse, kennis ; overdracht; uit. Dat is onder meer ook de bedoeling. Teder, wil zijn visie r toch .naar .voren - bren-. Maar u controleert in feite de oliestroom,, niet - minister Lubbers. Die heeft : zelfs / al eens ronduit geklaagd dat de prijsvorming van oliemaatschappijen te ondoorzichtig voor hem was om daar een, vinger achter te krijgen. En waarom zoudt u uw cijfers. bij EZ op tafel leggen als u weet, dat uw concurrent Esso even later ook daar op visite is? Gordon; „Ik hou staande dat wij op EZ onze draaiboeken eerlijk j op tafel, leggen. Zelfs gedetailleerder dan in ; de! publiciteit komt."" Overigens, een draaiboek is niet meer dan een bepaalde visie pp een mogelijke ontwikkeling. We. hebben er drie gepresenteerd die onderling heel verschillend zijn. Wij hopen dat de overheid die het - energiebeleid bepaalt, bij het te voeren beleid rekening houdt met onze draaiboeken."".. ;;.;■' ,•-; .....;.,.-.ïvk""",2,DDD_010959694_0236_articletext.xml
4,"Sinds september 1978 - toen de regering voor de Eemshaven koos - werd het pijpleiding-verhaal enige malen actueel. Politiek leek er ook meer steun te komen voor aanvoer op deze wijze, maar de betrokken instanties bleven toch vasthouden aan een ongewijzigd standpunt, aanvoer per tanker in de nieuw te bouwen Eemshaven-terminal. Dit ook omdat uit Algerije - uit welk land het' vloeibaar te maken gas moet komen - geen aanwijzingen zouden zijn gekomen voor een veranderde opstelling. Tot vandaag hebben de Nederlandse (en trouwens ook de Duitse) instanties geen aanleiding te veronderstellen dat het contract met Algerije niet zal worden nagekomen. De voorbereidingen voor de ontvangst van het LNG in de Eemshaven gaan dan ook gewoon door. Ook nu er toch wat ontwikkelingen aan de hand zijn, blijven zij wijzen op het gesloten contract. „Als Algerije daar werkelijk af zou willen, dan zou dit land ons dit heus op een andere wijze dan via de mond van een journalist laten weten,"" aldus voorlichter Hoitink van de Gasunie in Groningen. Hij wijst daarmee op een mededeling die de Algerijnse energieminister Belkacim op de olieconferentie in Caracas tegen de pers deed over het feit dat dit land eigenlijk best van het contract af wil, omdat de kostbare installaties die nodig zijn voor het' vloeibaar maken van het gas niet kunnen worden betaald. Er lijkt deze keer reden te zijn de Algerijnse berichten goed ter harte te nemen. Die kunnen een soort schot voor de boeg zijn om een hogere prijs voor het LNG te kunnen vangen. Maar er moet bovendien wel degelijk rekening mee worden gehouden, dat uitvoer per pijpleiding best eens een nieuw stuk beleid zou kunnen worden. Dit omdat de politieke stromingen in Algerije die de vloeibaarmaking niet zo zagen zitten nu de overhand hebben gekregen. Het ongedaan maken van het tweelingcontract met Gasunie en Ruhrgas zal'weliswaar niet de eerte stap zijn waaraan wordt gedacht, maar als de installaties niet worden gebouwd omdat - zoals Algerije zegt - het geld ontbreekt, zal er geen druppel vloeibaar aardgas uit het Noordafrikaanse land komen. Wordt de pijpleiding dan toch actueel? Dat valt volgens insiders te bezien. De Gasunie blijft minister Van Aardenne nazeggen dat de invoer dan zo'n twintig procent duurder wordt, hoewel er anderen zijn (zoals de econoom Paul Lako in Statistische Berichten) die hebben uitgerekend dat de aanvoer er niet duurder, maar wel veiliger door wordt. De laatste categorie gaat er dan wel van uit, dat de leiding die nu van Nederland naar Italië ligt voor het overbrengen van Slochtergas in omgekeerde richting voor het LNG (dan uiteraard niet in vloeibare vorm) benut kan worden. En dat is nu net iets wat volgens de Gasunie niet kan. „Het gaat niet alleen,"" aldus de heer Hoitink, „om een pijpleiding door de Middellandse Zee naar Italië en over land naar Turijn, maar om een volledig nieuwe helemaal naar Nederland. En dan kom je op het punt dat je zegt: het kan niet, dat wordt veel te duur. De Gasunie wil namelijk niet tot elke prijs gas inkopen."" Volgens dit bedrijf kan de bestaande leiding niet in omgekeerde richting worden gebruikt, omdat bij de aanleg is uitgegaan van een capaciteit, die voor de uitvoer van het Slochtergas noodzakelijk was en die gewoon vol zit.",1,DDD_011018910_0288_articletext.xml
5,"| Nederland gaat gas invoeren uit Algerije.'Hoe is dat in godsnaam mogelijk? Veel mensen; zullen zich o dat; hebben afge-j vraagd. ■ Wij < hebben' zelf immers een enorme aardgasbel. \Waaróm. dan importeren?» Je koopt! toch; ook geen klompen in het buiten-4 ""land?: '.. _ ■ ■ . ■ '. •■;;.:>-;; v; Toch is Jdie aardgas-import < minder onlogisch- da,n; het lijkt. , :Wij hebben f dan , wel: eèn flinke; voorraad, maar ""die is. ""eindig"". Dat,. wil: zeggen:; ""eens"" is '-'. ons eigen gas op. En dief tijd komt sneller dan we in het verleden hebben, gedacht. -. .Volgens ,de meeste deskundigen'; is de. kans j op een! nieuw lot in de loterij, dat Slochteren in feite was, vrij-. wel nihil. ;■■ ■'-:- .'-•■• • ""•'. - "" —■""■""•■ -' "" '. - '~*, .... Een heleboel Nederlanders van deze generatie zullen nog meemaken, dat het gas van Slochteren op .is. Begin volgende eeuw is het. zover.- Als er , tenminste -geen maatregelen worden genomen. Een van die - maatregelen is: gas kopen in het buitenland. Op die manier kunnen we de levensduur van' onze ; eigen' voorraad verlengen. *j,;'?(\\ Een van de redenen waarom we onze voorraad er zosnel doorheen hebben gejaagd, j is de te snelle groei;van het verbruik, vooral voor de energiecrisis. Het kon niet op. ledereen-moest op het aardgasnet worden aangesloten. Ook industrieën en elektriciteitscentrales, die nu weer langzaam :, maar | zeker op andere energiebronnen (olie, kolen) moe-' ten overschakelen. De energiecrisis heeft ons de ogen geopend.', In die sfeer van ""het kan nietop"" moet ook. de enorme export van aardgas worden gezien. Gas werd zelfs ons belangrijkste exportartikel. Tot nog toe heeft dat ons land bijna 20 miljard gulden ' /fïiv. Hadden we dat niet gevangen, dan hadden we heel. wat leuke dingen minder kunnen,' doen. Dan had onze economie er nog slechter 'voorgestaan. Door ' de , aardgasinkomsten ook uit- het buitenland £■ heeft h de overheid 'veel meer kunnen uitgeven.'.""'t^v.1. De roep om het; mes in de overheidsuitgaven tè zetten,, in de sociale voorzieningen bijvoor-; beeld zou dan veel eerder hebben, geklonken. Aardgasexport is en was voor ons , land van. levensbelang. Dat we in het begin de fout hebben gemaakt dat exportartikel veel te goedkoop aan te bieden, is een tweede><;. ; ;,';"" Die misser; is . later voor een belangrijk deel onder. het kabinet ' Den I Uyl goedgemaakt. De prijzen van het meeste exportgas zijnJ nu gekoppeld aan de; olie-y prijzen,'die steeds oplopen. Alleen ■ het i spbtkoopje .. aan Italië hebben, we niet glad kunnen strijken. Met de Italianen heeft de toenmalige minister van Buitenland, se Zaken Luns destijds, een vaste ; (nu veel te: lage) prijs; afgespro- I ken. .In' dat contract >leek geen enkele ruimte voor herohderhanr deling te zitten. Metlhet; gevolg ; «dat de Italianen gas krijgen voor een- prijs van, de zestiger; jaren: * nog geen 5 cent per kubieke me-;",2,DDD_010959559_0144_articletext.xml
6,"| Nederland gaat gas invoeren uit Algerije.'Hoe is dat in godsnaam mogelijk? Veel mensen; zullen zich o dat; hebben afge-j vraagd. ■ Wij < hebben' zelf immers een enorme aardgasbel. \Waaróm. dan importeren?» Je koopt! toch; ook geen klompen in het buiten-4 ""land?: '.. _ ■ ■ . ■ '. •■;;.:>-;; v; Toch is Jdie aardgas-import < minder onlogisch- da,n; het lijkt. , :Wij hebben f dan , wel: eèn flinke; voorraad, maar ""die is. ""eindig"". Dat,. wil: zeggen:; ""eens"" is '-'. ons eigen gas op. En dief tijd komt sneller dan we in het verleden hebben, gedacht. -. .Volgens ,de meeste deskundigen'; is de. kans j op een! nieuw lot in de loterij, dat Slochteren in feite was, vrij-. wel nihil. ;■■ ■'-:- .'-•■• • ""•'. - "" —■""■""•■ -' "" '. - '~*, .... Een heleboel Nederlanders van deze generatie zullen nog meemaken, dat het gas van Slochteren op .is. Begin volgende eeuw is het. zover.- Als er , tenminste -geen maatregelen worden genomen. Een van die - maatregelen is: gas kopen in het buitenland. Op die manier kunnen we de levensduur van' onze ; eigen' voorraad verlengen. *j,;'?(\\ Een van de redenen waarom we onze voorraad er zosnel doorheen hebben gejaagd, j is de te snelle groei;van het verbruik, vooral voor de energiecrisis. Het kon niet op. ledereen-moest op het aardgasnet worden aangesloten. Ook industrieën en elektriciteitscentrales, die nu weer langzaam :, maar | zeker op andere energiebronnen (olie, kolen) moe-' ten overschakelen. De energiecrisis heeft ons de ogen geopend.', In die sfeer van ""het kan nietop"" moet ook. de enorme export van aardgas worden gezien. Gas werd zelfs ons belangrijkste exportartikel. Tot nog toe heeft dat ons land bijna 20 miljard gulden ' /fïiv. Hadden we dat niet gevangen, dan hadden we heel. wat leuke dingen minder kunnen,' doen. Dan had onze economie er nog slechter 'voorgestaan. Door ' de , aardgasinkomsten ook uit- het buitenland £■ heeft h de overheid 'veel meer kunnen uitgeven.'.""'t^v.1. De roep om het; mes in de overheidsuitgaven tè zetten,, in de sociale voorzieningen bijvoor-; beeld zou dan veel eerder hebben, geklonken. Aardgasexport is en was voor ons , land van. levensbelang. Dat we in het begin de fout hebben gemaakt dat exportartikel veel te goedkoop aan te bieden, is een tweede><;. ; ;,';"" Die misser; is . later voor een belangrijk deel onder. het kabinet ' Den I Uyl goedgemaakt. De prijzen van het meeste exportgas zijnJ nu gekoppeld aan de; olie-y prijzen,'die steeds oplopen. Alleen ■ het i spbtkoopje .. aan Italië hebben, we niet glad kunnen strijken. Met de Italianen heeft de toenmalige minister van Buitenland, se Zaken Luns destijds, een vaste ; (nu veel te: lage) prijs; afgespro- I ken. .In' dat contract >leek geen enkele ruimte voor herohderhanr deling te zitten. Metlhet; gevolg ; «dat de Italianen gas krijgen voor een- prijs van, de zestiger; jaren: * nog geen 5 cent per kubieke me-;",2,DDD_010959559_0144_articletext.xml
7,"| Nederland gaat gas invoeren uit Algerije.'Hoe is dat in godsnaam mogelijk? Veel mensen; zullen zich o dat; hebben afge-j vraagd. ■ Wij < hebben' zelf immers een enorme aardgasbel. \Waaróm. dan importeren?» Je koopt! toch; ook geen klompen in het buiten-4 ""land?: '.. _ ■ ■ . ■ '. •■;;.:>-;; v; Toch is Jdie aardgas-import < minder onlogisch- da,n; het lijkt. , :Wij hebben f dan , wel: eèn flinke; voorraad, maar ""die is. ""eindig"". Dat,. wil: zeggen:; ""eens"" is '-'. ons eigen gas op. En dief tijd komt sneller dan we in het verleden hebben, gedacht. -. .Volgens ,de meeste deskundigen'; is de. kans j op een! nieuw lot in de loterij, dat Slochteren in feite was, vrij-. wel nihil. ;■■ ■'-:- .'-•■• • ""•'. - "" —■""■""•■ -' "" '. - '~*, .... Een heleboel Nederlanders van deze generatie zullen nog meemaken, dat het gas van Slochteren op .is. Begin volgende eeuw is het. zover.- Als er , tenminste -geen maatregelen worden genomen. Een van die - maatregelen is: gas kopen in het buitenland. Op die manier kunnen we de levensduur van' onze ; eigen' voorraad verlengen. *j,;'?(\\ Een van de redenen waarom we onze voorraad er zosnel doorheen hebben gejaagd, j is de te snelle groei;van het verbruik, vooral voor de energiecrisis. Het kon niet op. ledereen-moest op het aardgasnet worden aangesloten. Ook industrieën en elektriciteitscentrales, die nu weer langzaam :, maar | zeker op andere energiebronnen (olie, kolen) moe-' ten overschakelen. De energiecrisis heeft ons de ogen geopend.', In die sfeer van ""het kan nietop"" moet ook. de enorme export van aardgas worden gezien. Gas werd zelfs ons belangrijkste exportartikel. Tot nog toe heeft dat ons land bijna 20 miljard gulden ' /fïiv. Hadden we dat niet gevangen, dan hadden we heel. wat leuke dingen minder kunnen,' doen. Dan had onze economie er nog slechter 'voorgestaan. Door ' de , aardgasinkomsten ook uit- het buitenland £■ heeft h de overheid 'veel meer kunnen uitgeven.'.""'t^v.1. De roep om het; mes in de overheidsuitgaven tè zetten,, in de sociale voorzieningen bijvoor-; beeld zou dan veel eerder hebben, geklonken. Aardgasexport is en was voor ons , land van. levensbelang. Dat we in het begin de fout hebben gemaakt dat exportartikel veel te goedkoop aan te bieden, is een tweede><;. ; ;,';"" Die misser; is . later voor een belangrijk deel onder. het kabinet ' Den I Uyl goedgemaakt. De prijzen van het meeste exportgas zijnJ nu gekoppeld aan de; olie-y prijzen,'die steeds oplopen. Alleen ■ het i spbtkoopje .. aan Italië hebben, we niet glad kunnen strijken. Met de Italianen heeft de toenmalige minister van Buitenland, se Zaken Luns destijds, een vaste ; (nu veel te: lage) prijs; afgespro- I ken. .In' dat contract >leek geen enkele ruimte voor herohderhanr deling te zitten. Metlhet; gevolg ; «dat de Italianen gas krijgen voor een- prijs van, de zestiger; jaren: * nog geen 5 cent per kubieke me-;",2,DDD_010959559_0144_articletext.xml
8,"| Nederland gaat gas invoeren uit Algerije.'Hoe is dat in godsnaam mogelijk? Veel mensen; zullen zich o dat; hebben afge-j vraagd. ■ Wij < hebben' zelf immers een enorme aardgasbel. \Waaróm. dan importeren?» Je koopt! toch; ook geen klompen in het buiten-4 ""land?: '.. _ ■ ■ . ■ '. •■;;.:>-;; v; Toch is Jdie aardgas-import < minder onlogisch- da,n; het lijkt. , :Wij hebben f dan , wel: eèn flinke; voorraad, maar ""die is. ""eindig"". Dat,. wil: zeggen:; ""eens"" is '-'. ons eigen gas op. En dief tijd komt sneller dan we in het verleden hebben, gedacht. -. .Volgens ,de meeste deskundigen'; is de. kans j op een! nieuw lot in de loterij, dat Slochteren in feite was, vrij-. wel nihil. ;■■ ■'-:- .'-•■• • ""•'. - "" —■""■""•■ -' "" '. - '~*, .... Een heleboel Nederlanders van deze generatie zullen nog meemaken, dat het gas van Slochteren op .is. Begin volgende eeuw is het. zover.- Als er , tenminste -geen maatregelen worden genomen. Een van die - maatregelen is: gas kopen in het buitenland. Op die manier kunnen we de levensduur van' onze ; eigen' voorraad verlengen. *j,;'?(\\ Een van de redenen waarom we onze voorraad er zosnel doorheen hebben gejaagd, j is de te snelle groei;van het verbruik, vooral voor de energiecrisis. Het kon niet op. ledereen-moest op het aardgasnet worden aangesloten. Ook industrieën en elektriciteitscentrales, die nu weer langzaam :, maar | zeker op andere energiebronnen (olie, kolen) moe-' ten overschakelen. De energiecrisis heeft ons de ogen geopend.', In die sfeer van ""het kan nietop"" moet ook. de enorme export van aardgas worden gezien. Gas werd zelfs ons belangrijkste exportartikel. Tot nog toe heeft dat ons land bijna 20 miljard gulden ' /fïiv. Hadden we dat niet gevangen, dan hadden we heel. wat leuke dingen minder kunnen,' doen. Dan had onze economie er nog slechter 'voorgestaan. Door ' de , aardgasinkomsten ook uit- het buitenland £■ heeft h de overheid 'veel meer kunnen uitgeven.'.""'t^v.1. De roep om het; mes in de overheidsuitgaven tè zetten,, in de sociale voorzieningen bijvoor-; beeld zou dan veel eerder hebben, geklonken. Aardgasexport is en was voor ons , land van. levensbelang. Dat we in het begin de fout hebben gemaakt dat exportartikel veel te goedkoop aan te bieden, is een tweede><;. ; ;,';"" Die misser; is . later voor een belangrijk deel onder. het kabinet ' Den I Uyl goedgemaakt. De prijzen van het meeste exportgas zijnJ nu gekoppeld aan de; olie-y prijzen,'die steeds oplopen. Alleen ■ het i spbtkoopje .. aan Italië hebben, we niet glad kunnen strijken. Met de Italianen heeft de toenmalige minister van Buitenland, se Zaken Luns destijds, een vaste ; (nu veel te: lage) prijs; afgespro- I ken. .In' dat contract >leek geen enkele ruimte voor herohderhanr deling te zitten. Metlhet; gevolg ; «dat de Italianen gas krijgen voor een- prijs van, de zestiger; jaren: * nog geen 5 cent per kubieke me-;",0,DDD_010959559_0144_articletext.xml
9,"Vorig jaar leverde de Gasunie aan .Italië nog. bijna 7 miljard kubieke .-' meter. : Dat contract loopt door tot 1993. ""De% levering zal geleidelijk aan minder worden. „' . •■'.:--.■; V. ;.'■ >| De totale export van aardgas was vorig jaar 50,6 miljard m 3, tegen een binnenlands verbruik van 43,7 miljard m 3. In het begin van de tachtiger jaren zal de export, die nu nog ; aan allerlei spijkerharde contracten met onze EG-partners is gebonden, duidelijk afnemen. Om in het begin van de negentiger jaren vrijwel te zijn uitgedruppeld. Alles wat dan nog over is, is bestemd voor vooral Nederlandse gezinnen. . Die hoeven niet te vrezen dat de gasprijzen extra omhoog zullen gaan doordat. we in de toekomst voor een deel afhankelijk worden van het buitenland. Ook de prijs van! het Algerijnse gas zal gekoppeld zijn aan. de olieprijzen. Dus net als de prijs van ons eigen gas. De Gasunie heeft bij de Algerijnen' een \ prijs bedongen, die overeenkomt met de 'gangbare prijzen in Europa. Met de: Algerijnse import (die overigens niet uniek is £■■? we hebben eerder 'al een contract afgesloten met Noorwegen en er lopen nog diverse onderhandelingen met' andere gasleveranciers. in de wereld) is een bedrag gemoeid van 8 a 10 miljard gulden. Daarbij komen dan nóg de kosten van het vervoer naar Nederland. Die zullen zeker nog investeringen vragen van ongeveer één miljard gulden. ; ; Die laatste investering levert ons echter ook wat op: de bouw van een gasoverslagstation op de Maasvlakte of omgeving en de bouw van een tanker om het gas te vervoeren. Dus een flink stuk? je werkgelegenheid voor 'onze eigen industrie. ■"",;.--;';. . Vast staat dat ons. land, voor zijn v energievoorziening ; steeds afhankelijker zal worden; van ■ het buitenland. Daarom is het van des te groter belang, dat wij in eigen land zuiniger met ener- I gie j omspringen. De Gasunie én de Algerijnen hebben | ons deze week .nog eens met de neus op •déze feiten gedrukt. \ V\rWA V' .•:. • , ... • ' ;. f:.' .' ■■ ■.",0,DDD_010959559_0144_articletext.xml
