,text,labels,article_name
0,"Volgens prof. Odell heeft West- Europa de oplossing van de energiecrisis in eigen handen. Daartoe is het nodig, dat er geproduceerd wordt wat er kan worden geproduceerd en er aandacht wordt geschonken aan vermindering van de vraag en aan de ontwikkeling van alternatieven. Belangrijk , is, dat Europa inziet, welke energieproduktiemogelijkheden er eigenlijk aanwezig zijn in Europa zelf. Behalve op het economisch geografisch instituut van de Erasmus-universiteit is dat nog nergens in Europa gebeurd. Het is altijd zo, dat in een oliegebied (zoals de Noordzee is) steeds weer nieuwe reserves worden gevonden, zodat de oliereserves tenslotte veel groter blijken te zijn dan men aanvankelijk op grond van hetgeen tot dan is gevonden aanneemt. Volgens het model van het Rotterdamse instituut, het eerste en tot dusverre enige model, dat de hele Noordzee dekt, zal alleen al de Noordzee-olie na 1982 meer dan driekwart van de Europese totale oliebehoeften kunnen dekken..Daarnaast worden grote verwachtingen gekoesterd van de lerse Zee, terwijl dé mogelijkheden van de Middellandse Zee eveneens aanzienlijk zijn. Daar zal winning echter pas na 1990 mogelijk zijn. In 1985 zal, nog steeds volgens het model van het economisch-geografisch instituut van de Erasmus-universiteit, nog maar negen procent van de Europese energiebehoeften door invoer van olie behoeven te worden gedekt. De eigen Europese olieproductie zal in dat jaar het equivalent van 600 miljoen ton steenkool kunnen bedragen en de eigen Europese aardgasproduktie zal dan eveneens het equivalent van 600 miljoen ton steenkool groot kunnen zijn. In het jaar 2.000 zullen deze hoeveelheden gestegen kunnen zijn tot 1100 ton per jaar voor wat olie betreft en tot 800 miljoen ton per jaar wat aardgas betreft. In het jaar 1985 zal West-Europa van zijn energiebehoeften slechts 9 pet door olie-invoer, 7 pet door gasinvoer en 5 pet door koleninvoer behoeven te dekken. Als men nagaat, aldus prof. Odell, wat op het continentale plat reeds is en nog moet worden gedaan, kan men op grond van de bekende gegevens en van extrapolatie vaststellen, dat de aardgasreserves in de Noordzee viermaal zo groot zijn als de Slochteren-gasbel. In 1980 zal hét Noordzeegas een kwart van de Westeuropese energiebehoeften kun-, nen dekken. In de Noordzee zijn nu meer dan 20 enorme olie- en gasvelden in ontwikkeling of in produktie, terwijl er meer dan honderd zijn ontdekt. Er moet nog heel wat meer zijn, want tot nu toe is niet meer dan 10 a 12 pet van het hele continentale plat geëxploiteerd. Wat het Nederlandse deel betreft zijn naar schatting slechts in een kwart van dit gebied exploitatieboringen verricht, in totaal ruim 60. Toch zijn er in het Nederlandse deel van de Noordzee al vijftien of zestien velden gevonden, waarvan er pas énkele in produktie zijn.",2,DDD_010460687_0138_articletext.xml
1,"Volgens prof. Odell heeft West- Europa de oplossing van de energiecrisis in eigen handen. Daartoe is het nodig, dat er geproduceerd wordt wat er kan worden geproduceerd en er aandacht wordt geschonken aan vermindering van de vraag en aan de ontwikkeling van alternatieven. Belangrijk , is, dat Europa inziet, welke energieproduktiemogelijkheden er eigenlijk aanwezig zijn in Europa zelf. Behalve op het economisch geografisch instituut van de Erasmus-universiteit is dat nog nergens in Europa gebeurd. Het is altijd zo, dat in een oliegebied (zoals de Noordzee is) steeds weer nieuwe reserves worden gevonden, zodat de oliereserves tenslotte veel groter blijken te zijn dan men aanvankelijk op grond van hetgeen tot dan is gevonden aanneemt. Volgens het model van het Rotterdamse instituut, het eerste en tot dusverre enige model, dat de hele Noordzee dekt, zal alleen al de Noordzee-olie na 1982 meer dan driekwart van de Europese totale oliebehoeften kunnen dekken..Daarnaast worden grote verwachtingen gekoesterd van de lerse Zee, terwijl dé mogelijkheden van de Middellandse Zee eveneens aanzienlijk zijn. Daar zal winning echter pas na 1990 mogelijk zijn. In 1985 zal, nog steeds volgens het model van het economisch-geografisch instituut van de Erasmus-universiteit, nog maar negen procent van de Europese energiebehoeften door invoer van olie behoeven te worden gedekt. De eigen Europese olieproductie zal in dat jaar het equivalent van 600 miljoen ton steenkool kunnen bedragen en de eigen Europese aardgasproduktie zal dan eveneens het equivalent van 600 miljoen ton steenkool groot kunnen zijn. In het jaar 2.000 zullen deze hoeveelheden gestegen kunnen zijn tot 1100 ton per jaar voor wat olie betreft en tot 800 miljoen ton per jaar wat aardgas betreft. In het jaar 1985 zal West-Europa van zijn energiebehoeften slechts 9 pet door olie-invoer, 7 pet door gasinvoer en 5 pet door koleninvoer behoeven te dekken. Als men nagaat, aldus prof. Odell, wat op het continentale plat reeds is en nog moet worden gedaan, kan men op grond van de bekende gegevens en van extrapolatie vaststellen, dat de aardgasreserves in de Noordzee viermaal zo groot zijn als de Slochteren-gasbel. In 1980 zal hét Noordzeegas een kwart van de Westeuropese energiebehoeften kun-, nen dekken. In de Noordzee zijn nu meer dan 20 enorme olie- en gasvelden in ontwikkeling of in produktie, terwijl er meer dan honderd zijn ontdekt. Er moet nog heel wat meer zijn, want tot nu toe is niet meer dan 10 a 12 pet van het hele continentale plat geëxploiteerd. Wat het Nederlandse deel betreft zijn naar schatting slechts in een kwart van dit gebied exploitatieboringen verricht, in totaal ruim 60. Toch zijn er in het Nederlandse deel van de Noordzee al vijftien of zestien velden gevonden, waarvan er pas énkele in produktie zijn.",2,DDD_010460687_0138_articletext.xml
2,"sf^^^Ï_^_B__H__i_B__HÉ_Ö^ '■■M:'m m^É^W* XL.- IM) lm?% J_|J£_V__?F?VlC """"JMm ' 1«P Ti^ittttijg. MJtt&r AAJ** vijftig IJt&t 'rWRSw&r &iter TM er * ZIT -\ ** . ra1* ro :vic/T^> verp A alto * A If., A benzine A 1 ■ffe Utcr * TVfirffe U'er ' Tnmf.K Ufer Twintig Uter «■■■■■■^ Ai/lt> - <\uto- Ai ,;rx>. A■; WWii**miJt 4 'éF^èrvE A ;BENzrxE A ; bknzïnk i% ,|. **/*** M<T- I *^. , Vjtv iH - .c>x./.j.^«->*-'■*-> <*, *"" » f»i-v«_ ■. ™**ï? _T »__» ___,_„___^^^ ""'"" "" /I , •A-CJ-'JX> Van alle energie die de wereld heeft, gaat de olie het eerst op.Wat doen we daaraan? Al over enkele jaren zal de wereld een ernstig minder auto's gebruik te maken. En door, hoe dan tekort aan olie hebben. Dat is ons pas nog in ook, rustiger te rijden. Dat alleen al kan zon 20% verschillende rapporten verteld. Dat betekent onder in ons benzineverbruik schelen, andere dat de prijzen van olie I Ennuwehettochoverbenzinezullen blijven stijgen. En hoe meer verbruik hebben, ook bij de olie we verbruiken, hoe sneller dat huidige prijzen is het al een kwestie zal gaan. j • M van gezond verstand om kritisch En we verbruiken heel wat, in te zi)n op het brandstofverbruik onze auto's bijvoorbeeld. Het is van de auto die u koopt. Een auto daarom verstandig om ons af te die „1 op 13"" rijdt gebruikt nu al vragen hoe we met minder olie ,^^| voor zon 500 gulden minder kunnen leven. Zeker als we beden- f! brandstof per jaar dan een auto die ken dat we olie niet alleen voor „1 op 9"" rijdt onze auto's nodig hebben, maar Ga ook eens na of u niet voorook als grondstof. Voor textiel, J Htüj HïïfHl deli§er °Piets anders dan op alleen gevolgen hebben voor de met alleen onze auto. maar onze hele folders waarin staat hoe we op benzineprijs, maar voor de gehele F°',oST eenvoudige wijze minder economische positie van landen DAT WE ER ZUINIG MEE MOETEN ZIJN brandstof kunnen verbruiken, zoals Nederland, die veel olie moeten invoeren. Nog Indien daar niet meer voorradig, kunt afgezien van de vraag of we, al betalen we er veel voor, u deze, maar ook andere infornogwel alle olie zullen krijgen die we nodig hebben. matie over energiebesparing, *. *~ Dat we iets aan ons verbruik moeten doen is aanvragen bij: jifv '.^. ijÊfe daarom duidelijk. Maar wat? Benzine op de bon? Energiebesparing, Postbus 503, ff ""JÊ m Leuk is dat niet, het moet ook zonder kunnen. 7300 AN Apeldoorn. f I Door niet automatisch alles met de auto te doen. i P Door te kijken of we niet wat meer per openbaar . \ W vervoer kunnen doen. Door met meer mensen van Verstandig met energie. W Dit is een publikatie van het ministerie van Economische Zaken.",0,DDD_010627218_0039_articletext.xml
3,"CARTAGENA - De offcieel in Colombia verboden film Quien pudo matar a vn ninó? is in de stad Cartagena de Indios vertoond maar dan wel als een onderdeel van het Achttiende filmfestival dat er gehouden werd. De film was slechts toegankelijk voor 21-jarigen en ouderen. Het gaat hierbij om een Spaanse inzending waarvan de inhoud omschreven wordt gruwelijk. Een dergelijk film kan niet in een openbare vertonming worden toegelatsen, aldus de censuurautoriteiten. In de film wordt uitgebeeld hoe duizenden kinderen op een eiland in de Middellandse zee in opstand komen en honderden volwassenen daarbij afslachten. De film dong niet mee naar prijzen, maar was slechts bedoeld om een discussie op gang te brengen over de vraag of dit soort grofheden nu al of niet in een bioscoop vertoond moet worden. Van Latijnsamerikaanse zijde wordt aan het filmfestival deel genomen door Bolivia, Mexico, Venezuela Ecuador en Colombia. LA PAZ — Voor het eerst sinds jaren is er in de Boliviaanse hoofd stad La Paz een anti- Amerikaansebetoging gehouden. Deze werd georganiseerd door de politieke groepering welke de kandidatuur van generaal Juan Percda Asbun steunt voor het priesterschap van het land als opvolger van collega- generaal Hugo Banzer. Generaal Percda wordt in het land gezien als de officiële kandidaat omdat hij een generaal is en omdat hij blijkbaar een vuriger verdediger is van de opvattingen van president-generaal Banzer. De betoging werd gehouden in verband met de politiek van de VS, waarbij dit land 45 duizend ton tin op de markt wil gooien, zodat de prijs ervan omlaag gaat. Bolivia als belangrijke tin producent is daar fel tegen -gekant. MEXICOSTAD - Mexico heeft de veertigste verjaardag herdacht van de nationalisatie van zijn olierijkdommen. Dit gebeurde in een sfeer van vastberadenheid om geen olie en gas te gaan verkopen aan de VS en met een gevoel, dat het hoog tijd is dat het land zuiniger omspringt met zijn natuurlijke rijkdommen. Over de omvang daarvan zijn de meningen verdeeld. De president van het staatsoliebedrijf Pemex, Jorge Diaz Serrano, bracht zoals te doen gebruikelijk rapport uit aan president Jose Lopez Portillo, waarin staat dat Mexico onder geen beding gas of olie zal verkopen aan de VS onder de vastgestelde prijs. BRASILIA - De Braziliaanse geheime politie heeft op basis van de bestaande veiligheidswetgeving in de zuidelijke stad Curitiba veertien arrestaties verricht; >zo werd ook een verslaggever gearresteerd die een reportage had gemaakt over kolonel Tarcisio Nunes die van zijn taak ontheven was, omdat hij gepleit had voor een volledige opening in de Braziliaanse politiek. De arrestaties hebben de spanning rond het aartsbisdom Curitiba doen oplopen. De gearresteerden waren regelmatig gasten van de aartsbisschop LIMA — In kringen van\le veehouderij in de landen vanlïet Andes-pact wordt het aantal dieren dat slachtoffer is geworden van de verschillende veeziekten op ongeveer 35 procent. De melkproductie wordt met een zelfde percentage aangetast evenals de economische verliezen als gevolg van die ziekten. Een van de problemen is dat het geboortecijfer bij de koeien achterblijft en schommelt rond de vijftig tot 55 procent terwijl tachtig procent het doel was. Dat betekent elk jaar 3,5 miljoen kalveren minder dan men had gedacht oftewel zevenhonderdduizend ton minder vlees en 2,5 miljoen liter melk minder. "" BOGOTA — Het Financieringsorgaan van het Andespact, bekend als CAF, heeft een lening van 38,5 miljoen dollar verleend aan het Colombiaanse staatsoliebedrijf Ecopetrol. De lening geschiedt tegen een rentevoet van 9,5 procent per jaar. Ecopetrol heeft geld van buiten nodig omdat de onderneming gemoderniseerd en de productie opgevoerd moet worden. Colombia dat jarenlang olie uitvoerde is nu namelijk importeur van olie geworden. QUITO - Ecuador, dat sinds vijf jaar een olie exporterend land is heeft een nieuw soort verdrag afgesloten en wel met de maatschappijen welke zich bezig houden met de winning van verschillende mineralen. Zij worden namelijk met ruwe olie betaald voor hun activiteiten om zo hun investeringen terug te winnen. Deze overeenkomst wordt van kracht nadat enige door de regering al goedgekeurde aanpassingen in de wet op de winning van mineralen zijn opgenomen. LIMA — Peru zal tegen het einde van dit jaar weer een olieuitvoerend land zijn met een jaarlijks geschatte opbrengst van achthonderd miljoen dollar. Men hoopt namelijk de productie op te voeren tot 220 duizend barrels per dag, terwijl de gemiddelde dagelijkse consumptie 120 duizend barrel bedraagt. Dit is verklaard door de president van Occidental petroleum een bekend Amerikaans olie-concern, dat in Peru olie wint. Men heeft er dan ook een half miljard dollar in gestoken. Occidental krijgt de helft van de productie in de daartoe aangewezen putten om zijn investering terug te winnen",1,DDD_010639257_0110_articletext.xml
4,"Minister Lubbers deelde mee, dat het aandeel van steenkool in het Nederlandse energieverbruik al spoedig zal gaan oplopen. Op het ogenblik maakt steenkool slechts vier procent uit van het totale ' energieverbruik, maar in 1985 zal dat zijn verdubbeld tot acht procent. Het plan is, om voor het jaar 1985 een vast doel van drie a vier miljoen ton steenkoolverbruik voor de opwekking van elektriciteit te stellen. Voorts zal Nederland zich ten doel stellen van 1985 af alle nieuwe capaciteit voor elektriciteitsopwekking voor ongeveer de helft op steenkool te laten draaien, wat overeen gaat komen met een verbruik van ongeveer 13 miljoen ton. Daarnaast zal de Nederlandse regering er in versterkte mate naar streven de industrie ertoe te bewegen meer steenkool te gaan toepassen. Er zullen geen uitsluitend met olie te stoken centrales meer wor- . den gebouwd, alle nieuwe centrales zullen hetzij op kernenergie hetzij op steenkool draaien. Inmiddels zal echter toch het olieverbruik van de Nederlandse elektriciteitsindustrie in de komende jaren sterk stijgen, omdat de aardgascontracten niet worden verlengd en de centrales zullen moeten overgaan op stookolie. Eenzelfde situatie bestaat er in de industrie en alles bij elkaar zal de Nederlandse afhankelijkheid van de geïmporteerde olie nog groter worden dan zij nu al is: in 1985 zal de Nederlandse energievoorziening voor 57 procent op olie zijn gebaseerd terwijl in 1975 olie 37 procent van de energievoorziening uitmaakte.",0,DDD_010620640_0284_articletext.xml
5,"Ook Koeweit heeft zijn prijs van ruwe olie verhoogd. Dit land is echter niet verder gegaan dan tot 24 dollar per vat, dat is evenveel als de prijs die Saoedi-Arabië, de Verenigde Arabische Emiraten, Qator en Venezuela na de verhoging van vorige week donderdag berekenen. Indonesische olie kost vanaf vandaag 25,50 dollar per vat, zo maakte olieminister Subroto gisteren bekend. Dat is 2 dollar meer dan voorheen. De plotselingen prijsverhoging van ruwe olie door deze landen lijkt een laatste poging van de gematigde partijen binnen de OPEC om de olieprijs voor 1980 niet boven de 30 dollar per vat te doen uitkomen. Tijdens de OPEC-conferentie zal moeten blijken in hoeverre ze hierin zijn geslaagd. Met name een land als Iran is een fel voorstander van een"" fikse prijsverhoging. De Perzische olieminister Ali Akbar Moinfar zei gisteren bijvoorbeeld, dat volgens hem de olieprijs ergens tussen de 35 en 55 dollar zou moeten komen te liggen. In elk geval zou Iran het komend jaar binnen de OPEC blijven aandringen de prijs verder te verhogen, zo zei hij. Iran produceert rond 10 procent van alle OPEColie. De prijs van 24 dollar per vat van 159 liter moet echter niet als een vaste prijs worden gezien. Dit is slechts een referentieprijs. De OPEC-leden mogen, al naar gelang de kwaliteit van de olie e.d., bepaalde toeslagen berekenen. Dit gebeurde nu ook al. De vraag is echter hoe groot die toeslagen mogen worden. Afrikaanse olielanden als Nigeria, Algerije en Libië hebben al laten blijken voor hun betere kwaliteit olie een toeslag van 5 dollar te willen hebben. Saoedi-Arabië is echter altijd tegenstander geweest van een toeslag van dergelijke omvang. Een tweede onderwerp dat op de OPEC-agenda in Caracas staat, is het overnemen door de OPEC van de politiek van Venezuela, de multinationale oliemaatschappijen buiten spel te zetten door het sluiten van leveringscontracten tussen regeringen. De OPEC is namelijk zeer verbolgen over de enorme winsten, die de multinationals maken. Deze mogelijkheden tot gigantische winsten wil de OPEC trachten in te perken door het overnemen van het Venezolaanse voorstel. Naar verluidt heeft sjeik Yamani van Saoedi-Arabië zijn instemming betuigd met dit plan van zijn Venezolaanse collega Calderon. Bovendien staat op de agenda nog het voorstel tot wijziging van de manier waarop de prijsstelling tot stand komt. De OPEC wil graag af van de Amerikaanse dollar als prijseenheid en die vervangen zien door een mandje van munten, de zogenaamde Genève I. In dit mandje spelen negen valuta's een rol, o.a. de Japanse Yen en de Westduitse mark. Verwacht wordt dat dit voorstel wel nader bestudeerd, maar niet aangenomen zal worden. Men is bevreesd het hele internationale valutastelsel te ondergraven. Het vierde voorstel beoogt de oprichting van een specaal fonds van 1500 miljoen dollar om ontwikkelingslanden te helpen hun financiële problemen te overbruggen, die zullen ontstaan door het verhogen van de olieprijzen in 1980.",1,DDD_011200651_0113_articletext.xml
6,"Een woordvoerder van Hoogovens vertelde gistermiddag desgevraagd, dat de door de oliemaatschappijen aangezegde korting op de leveranties 8 tot 15% gaat bedragen. Dat wordt door Hoogovens niet geaccepteerd, reden waarom men met oliemaatschappijen en E.Z. om de tafel is gaan zitten. ~Als die kortingen op de leveranties door gaan is IJmuiden aan het eind van het jaar door zijn voorraden heen en komt het bedrijf dan in grote moeilijkheden"", aldus de woordvoerder. Hij achtte het zeer de vraag, of de gesprekken met de oliemaatschappijen enig succes zullen hebben. „Economische Zaken zal dan prioriteiten in de verdeling van de leveranties over de verschillende bedrijfstakken moeten gaan stellen"". IJmuiden verbruikt ca. 430.000 ton olie per jaar. In de jaarvergadering was al gebleken, dat ca. de helft van het totale olieverbruik bij Hoogovens voor de ruwijzerproduktie als reductiemiddel naast het cokes nodig is. De andere helft gaat naar de ovens, waar de halffabrikaten weer worden opgewarmd om deze tot walsprodukten te verwerken. Een kleine 30% van het totale kostenpakket van de staalbedrijven in IJmuiden bestaat uit energiekosten. Dat is echter inclusief de kolen, waarvan'cokes voor de ijzerovens wordt gemaakt. Slechts 2% van dat bijna 30% kostenaandeel heeft betrekking op de olie-aankopen, elektriciteit vergt ca. 4%, gas ca. 8%, en kolen namen vorig jaar zo'n 15% voor hun rekening. Voor IJmuiden geldt overigens dat dank zij o.m. energiebesparingsinvesteringen de laatste jaren de energiebalans van olie, aardgas en elektra enerzijds en het bij de eigen cokesfabrieken vrijkomende cokesovengas anderzijds ongeveer in evenwicht is. Dat cokesovengas wordt deels zelf gebruikt en gaat voor de rest naar de PEN-centrale in IJmuiden. In caloriën uitgedrukt is het verbruik van olie en aardgas ongeveer gelijk. In tegenstelling tot IJmuiden gebruiken de staalbedrijven in Dortmund weinig aardgas. Kolen betrekt men daar volledig van Huhrkohle AG. Gisteravond werd door ons uit Dortmund vernomen, dat de Hoesch-staalbedrijven nog geen kortingen zijn aangezegd. Het olieverbruik ligt daar iets onder dat van IJmuiden. Mede doordat de Duitsers o.m. op de Rotterdamse vrije oliemarkt buiten de rechtstreekse leveringen van de oliemaatschappijen om eventuele olietekorten tegen elke prijs trachten aan te vullen, bestaat de situatie in de Bondsrepubliek niet zozeer uit een leveringsdanwel een prijsprobleem. Volgens een Estel-woordvoerder geldt dat ook voot Hoesch, waar de olie tegen marktprijzen wordt gekocht.",0,DDD_011200355_0366_articletext.xml
7,"Een woordvoerder van Hoogovens vertelde gistermiddag desgevraagd, dat de door de oliemaatschappijen aangezegde korting op de leveranties 8 tot 15% gaat bedragen. Dat wordt door Hoogovens niet geaccepteerd, reden waarom men met oliemaatschappijen en E.Z. om de tafel is gaan zitten. ~Als die kortingen op de leveranties door gaan is IJmuiden aan het eind van het jaar door zijn voorraden heen en komt het bedrijf dan in grote moeilijkheden"", aldus de woordvoerder. Hij achtte het zeer de vraag, of de gesprekken met de oliemaatschappijen enig succes zullen hebben. „Economische Zaken zal dan prioriteiten in de verdeling van de leveranties over de verschillende bedrijfstakken moeten gaan stellen"". IJmuiden verbruikt ca. 430.000 ton olie per jaar. In de jaarvergadering was al gebleken, dat ca. de helft van het totale olieverbruik bij Hoogovens voor de ruwijzerproduktie als reductiemiddel naast het cokes nodig is. De andere helft gaat naar de ovens, waar de halffabrikaten weer worden opgewarmd om deze tot walsprodukten te verwerken. Een kleine 30% van het totale kostenpakket van de staalbedrijven in IJmuiden bestaat uit energiekosten. Dat is echter inclusief de kolen, waarvan'cokes voor de ijzerovens wordt gemaakt. Slechts 2% van dat bijna 30% kostenaandeel heeft betrekking op de olie-aankopen, elektriciteit vergt ca. 4%, gas ca. 8%, en kolen namen vorig jaar zo'n 15% voor hun rekening. Voor IJmuiden geldt overigens dat dank zij o.m. energiebesparingsinvesteringen de laatste jaren de energiebalans van olie, aardgas en elektra enerzijds en het bij de eigen cokesfabrieken vrijkomende cokesovengas anderzijds ongeveer in evenwicht is. Dat cokesovengas wordt deels zelf gebruikt en gaat voor de rest naar de PEN-centrale in IJmuiden. In caloriën uitgedrukt is het verbruik van olie en aardgas ongeveer gelijk. In tegenstelling tot IJmuiden gebruiken de staalbedrijven in Dortmund weinig aardgas. Kolen betrekt men daar volledig van Huhrkohle AG. Gisteravond werd door ons uit Dortmund vernomen, dat de Hoesch-staalbedrijven nog geen kortingen zijn aangezegd. Het olieverbruik ligt daar iets onder dat van IJmuiden. Mede doordat de Duitsers o.m. op de Rotterdamse vrije oliemarkt buiten de rechtstreekse leveringen van de oliemaatschappijen om eventuele olietekorten tegen elke prijs trachten aan te vullen, bestaat de situatie in de Bondsrepubliek niet zozeer uit een leveringsdanwel een prijsprobleem. Volgens een Estel-woordvoerder geldt dat ook voot Hoesch, waar de olie tegen marktprijzen wordt gekocht.",0,DDD_011200355_0366_articletext.xml
8,"Een woordvoerder van Hoogovens vertelde gistermiddag desgevraagd, dat de door de oliemaatschappijen aangezegde korting op de leveranties 8 tot 15% gaat bedragen. Dat wordt door Hoogovens niet geaccepteerd, reden waarom men met oliemaatschappijen en E.Z. om de tafel is gaan zitten. ~Als die kortingen op de leveranties door gaan is IJmuiden aan het eind van het jaar door zijn voorraden heen en komt het bedrijf dan in grote moeilijkheden"", aldus de woordvoerder. Hij achtte het zeer de vraag, of de gesprekken met de oliemaatschappijen enig succes zullen hebben. „Economische Zaken zal dan prioriteiten in de verdeling van de leveranties over de verschillende bedrijfstakken moeten gaan stellen"". IJmuiden verbruikt ca. 430.000 ton olie per jaar. In de jaarvergadering was al gebleken, dat ca. de helft van het totale olieverbruik bij Hoogovens voor de ruwijzerproduktie als reductiemiddel naast het cokes nodig is. De andere helft gaat naar de ovens, waar de halffabrikaten weer worden opgewarmd om deze tot walsprodukten te verwerken. Een kleine 30% van het totale kostenpakket van de staalbedrijven in IJmuiden bestaat uit energiekosten. Dat is echter inclusief de kolen, waarvan'cokes voor de ijzerovens wordt gemaakt. Slechts 2% van dat bijna 30% kostenaandeel heeft betrekking op de olie-aankopen, elektriciteit vergt ca. 4%, gas ca. 8%, en kolen namen vorig jaar zo'n 15% voor hun rekening. Voor IJmuiden geldt overigens dat dank zij o.m. energiebesparingsinvesteringen de laatste jaren de energiebalans van olie, aardgas en elektra enerzijds en het bij de eigen cokesfabrieken vrijkomende cokesovengas anderzijds ongeveer in evenwicht is. Dat cokesovengas wordt deels zelf gebruikt en gaat voor de rest naar de PEN-centrale in IJmuiden. In caloriën uitgedrukt is het verbruik van olie en aardgas ongeveer gelijk. In tegenstelling tot IJmuiden gebruiken de staalbedrijven in Dortmund weinig aardgas. Kolen betrekt men daar volledig van Huhrkohle AG. Gisteravond werd door ons uit Dortmund vernomen, dat de Hoesch-staalbedrijven nog geen kortingen zijn aangezegd. Het olieverbruik ligt daar iets onder dat van IJmuiden. Mede doordat de Duitsers o.m. op de Rotterdamse vrije oliemarkt buiten de rechtstreekse leveringen van de oliemaatschappijen om eventuele olietekorten tegen elke prijs trachten aan te vullen, bestaat de situatie in de Bondsrepubliek niet zozeer uit een leveringsdanwel een prijsprobleem. Volgens een Estel-woordvoerder geldt dat ook voot Hoesch, waar de olie tegen marktprijzen wordt gekocht.",0,DDD_011200355_0366_articletext.xml
9,"Een woordvoerder van Hoogovens vertelde gistermiddag desgevraagd, dat de door de oliemaatschappijen aangezegde korting op de leveranties 8 tot 15% gaat bedragen. Dat wordt door Hoogovens niet geaccepteerd, reden waarom men met oliemaatschappijen en E.Z. om de tafel is gaan zitten. ~Als die kortingen op de leveranties door gaan is IJmuiden aan het eind van het jaar door zijn voorraden heen en komt het bedrijf dan in grote moeilijkheden"", aldus de woordvoerder. Hij achtte het zeer de vraag, of de gesprekken met de oliemaatschappijen enig succes zullen hebben. „Economische Zaken zal dan prioriteiten in de verdeling van de leveranties over de verschillende bedrijfstakken moeten gaan stellen"". IJmuiden verbruikt ca. 430.000 ton olie per jaar. In de jaarvergadering was al gebleken, dat ca. de helft van het totale olieverbruik bij Hoogovens voor de ruwijzerproduktie als reductiemiddel naast het cokes nodig is. De andere helft gaat naar de ovens, waar de halffabrikaten weer worden opgewarmd om deze tot walsprodukten te verwerken. Een kleine 30% van het totale kostenpakket van de staalbedrijven in IJmuiden bestaat uit energiekosten. Dat is echter inclusief de kolen, waarvan'cokes voor de ijzerovens wordt gemaakt. Slechts 2% van dat bijna 30% kostenaandeel heeft betrekking op de olie-aankopen, elektriciteit vergt ca. 4%, gas ca. 8%, en kolen namen vorig jaar zo'n 15% voor hun rekening. Voor IJmuiden geldt overigens dat dank zij o.m. energiebesparingsinvesteringen de laatste jaren de energiebalans van olie, aardgas en elektra enerzijds en het bij de eigen cokesfabrieken vrijkomende cokesovengas anderzijds ongeveer in evenwicht is. Dat cokesovengas wordt deels zelf gebruikt en gaat voor de rest naar de PEN-centrale in IJmuiden. In caloriën uitgedrukt is het verbruik van olie en aardgas ongeveer gelijk. In tegenstelling tot IJmuiden gebruiken de staalbedrijven in Dortmund weinig aardgas. Kolen betrekt men daar volledig van Huhrkohle AG. Gisteravond werd door ons uit Dortmund vernomen, dat de Hoesch-staalbedrijven nog geen kortingen zijn aangezegd. Het olieverbruik ligt daar iets onder dat van IJmuiden. Mede doordat de Duitsers o.m. op de Rotterdamse vrije oliemarkt buiten de rechtstreekse leveringen van de oliemaatschappijen om eventuele olietekorten tegen elke prijs trachten aan te vullen, bestaat de situatie in de Bondsrepubliek niet zozeer uit een leveringsdanwel een prijsprobleem. Volgens een Estel-woordvoerder geldt dat ook voot Hoesch, waar de olie tegen marktprijzen wordt gekocht.",0,DDD_011200355_0366_articletext.xml
