,Unnamed: 0,text,labels,article_name,text_split
0,0,"In plaats van het in reserve houden van gas, ontvangt de Gasunie nu per kubieke meter 'geleased' gas een bepaald bedrag. Het gas wordt via het bestaande leidingermet rechtstreeks naar Oost-Duitsland getransporteerd. De vraag naar gas is in dit gedeelte van de Bondsrepubliek sterk toegenomen vanwege het schone' karakter van de brandstof. Traditioneel werd in de voormalige DDR sterk vervuilende bruinkool gestookt.",2,DDD_010646635_0576_articletext.xml,"In plaats van het in reserve houden van gas , ontvangt de Gasunie nu per kubieke meter ' geleased ' gas een bepaald bedrag ."
0,0,"In plaats van het in reserve houden van gas, ontvangt de Gasunie nu per kubieke meter 'geleased' gas een bepaald bedrag. Het gas wordt via het bestaande leidingermet rechtstreeks naar Oost-Duitsland getransporteerd. De vraag naar gas is in dit gedeelte van de Bondsrepubliek sterk toegenomen vanwege het schone' karakter van de brandstof. Traditioneel werd in de voormalige DDR sterk vervuilende bruinkool gestookt.",2,DDD_010646635_0576_articletext.xml,Het gas wordt via het bestaande leidingermet rechtstreeks naar Oost - Duitsland getransporteerd .
0,0,"In plaats van het in reserve houden van gas, ontvangt de Gasunie nu per kubieke meter 'geleased' gas een bepaald bedrag. Het gas wordt via het bestaande leidingermet rechtstreeks naar Oost-Duitsland getransporteerd. De vraag naar gas is in dit gedeelte van de Bondsrepubliek sterk toegenomen vanwege het schone' karakter van de brandstof. Traditioneel werd in de voormalige DDR sterk vervuilende bruinkool gestookt.",2,DDD_010646635_0576_articletext.xml,De vraag naar gas is in dit gedeelte van de Bondsrepubliek sterk toegenomen vanwege het schone ' karakter van de brandstof .
1,1,"In plaats van het in reserve houden van gas, ontvangt de Gasunie nu per kubieke meter 'geleased' gas een bepaald bedrag. Het gas wordt via het bestaande leidingermet rechtstreeks naar Oost-Duitsland getransporteerd. De vraag naar gas is in dit gedeelte van de Bondsrepubliek sterk toegenomen vanwege het schone' karakter van de brandstof. Traditioneel werd in de voormalige DDR sterk vervuilende bruinkool gestookt.",2,DDD_010646635_0576_articletext.xml,"In plaats van het in reserve houden van gas , ontvangt de Gasunie nu per kubieke meter ' geleased ' gas een bepaald bedrag ."
1,1,"In plaats van het in reserve houden van gas, ontvangt de Gasunie nu per kubieke meter 'geleased' gas een bepaald bedrag. Het gas wordt via het bestaande leidingermet rechtstreeks naar Oost-Duitsland getransporteerd. De vraag naar gas is in dit gedeelte van de Bondsrepubliek sterk toegenomen vanwege het schone' karakter van de brandstof. Traditioneel werd in de voormalige DDR sterk vervuilende bruinkool gestookt.",2,DDD_010646635_0576_articletext.xml,Het gas wordt via het bestaande leidingermet rechtstreeks naar Oost - Duitsland getransporteerd .
1,1,"In plaats van het in reserve houden van gas, ontvangt de Gasunie nu per kubieke meter 'geleased' gas een bepaald bedrag. Het gas wordt via het bestaande leidingermet rechtstreeks naar Oost-Duitsland getransporteerd. De vraag naar gas is in dit gedeelte van de Bondsrepubliek sterk toegenomen vanwege het schone' karakter van de brandstof. Traditioneel werd in de voormalige DDR sterk vervuilende bruinkool gestookt.",2,DDD_010646635_0576_articletext.xml,De vraag naar gas is in dit gedeelte van de Bondsrepubliek sterk toegenomen vanwege het schone ' karakter van de brandstof .
2,2,"Het leveren van grote gashoeveelheden past daar echter niet in. De Nederlandse reservepositie laat dat niet toe gezien de binnenlandse verplichtingen van de Gasunie en het belang dat zij hecht aan de bestaande exportrelaties. Een goede oplossing is daarom de voorleverantie door Gasunie, totdat Noorwegen en in een later stadium het GOS in staat zijn Oost-Europa van gas te voorzien. Daarmee wordt bovendien voorkomen dat deze landen zich gedwongen zien te investeren in minder milieuvriendelijke energiebronnen, zoals kolen. Gasunie-directeur Bijl schat dat de totale vraag naar aardgas in Europa tussen nu en 2010 zal stijgen van 400 naar 665 miljard m 3. Driekwart van de vraag zal zich in West-Europa voordoen. De stijgende populariteit van gas wordt behalve door zijn schone karakter (minder CO2-uitstoot) veroorzaakt door het streven van veel landen hun afhankelijkheid van olie te verminderen.",2,DDD_010646635_0576_articletext.xml,De Nederlandse reservepositie laat dat niet toe gezien de binnenlandse verplichtingen van de Gasunie en het belang dat zij hecht aan de bestaande exportrelaties .
2,2,"Het leveren van grote gashoeveelheden past daar echter niet in. De Nederlandse reservepositie laat dat niet toe gezien de binnenlandse verplichtingen van de Gasunie en het belang dat zij hecht aan de bestaande exportrelaties. Een goede oplossing is daarom de voorleverantie door Gasunie, totdat Noorwegen en in een later stadium het GOS in staat zijn Oost-Europa van gas te voorzien. Daarmee wordt bovendien voorkomen dat deze landen zich gedwongen zien te investeren in minder milieuvriendelijke energiebronnen, zoals kolen. Gasunie-directeur Bijl schat dat de totale vraag naar aardgas in Europa tussen nu en 2010 zal stijgen van 400 naar 665 miljard m 3. Driekwart van de vraag zal zich in West-Europa voordoen. De stijgende populariteit van gas wordt behalve door zijn schone karakter (minder CO2-uitstoot) veroorzaakt door het streven van veel landen hun afhankelijkheid van olie te verminderen.",2,DDD_010646635_0576_articletext.xml,"Een goede oplossing is daarom de voorleverantie door Gasunie , totdat Noorwegen en in een later stadium het GOS in staat zijn Oost - Europa van gas te voorzien ."
2,2,"Het leveren van grote gashoeveelheden past daar echter niet in. De Nederlandse reservepositie laat dat niet toe gezien de binnenlandse verplichtingen van de Gasunie en het belang dat zij hecht aan de bestaande exportrelaties. Een goede oplossing is daarom de voorleverantie door Gasunie, totdat Noorwegen en in een later stadium het GOS in staat zijn Oost-Europa van gas te voorzien. Daarmee wordt bovendien voorkomen dat deze landen zich gedwongen zien te investeren in minder milieuvriendelijke energiebronnen, zoals kolen. Gasunie-directeur Bijl schat dat de totale vraag naar aardgas in Europa tussen nu en 2010 zal stijgen van 400 naar 665 miljard m 3. Driekwart van de vraag zal zich in West-Europa voordoen. De stijgende populariteit van gas wordt behalve door zijn schone karakter (minder CO2-uitstoot) veroorzaakt door het streven van veel landen hun afhankelijkheid van olie te verminderen.",2,DDD_010646635_0576_articletext.xml,"Daarmee wordt bovendien voorkomen dat deze landen zich gedwongen zien te investeren in minder milieuvriendelijke energiebronnen , zoals kolen ."
2,2,"Het leveren van grote gashoeveelheden past daar echter niet in. De Nederlandse reservepositie laat dat niet toe gezien de binnenlandse verplichtingen van de Gasunie en het belang dat zij hecht aan de bestaande exportrelaties. Een goede oplossing is daarom de voorleverantie door Gasunie, totdat Noorwegen en in een later stadium het GOS in staat zijn Oost-Europa van gas te voorzien. Daarmee wordt bovendien voorkomen dat deze landen zich gedwongen zien te investeren in minder milieuvriendelijke energiebronnen, zoals kolen. Gasunie-directeur Bijl schat dat de totale vraag naar aardgas in Europa tussen nu en 2010 zal stijgen van 400 naar 665 miljard m 3. Driekwart van de vraag zal zich in West-Europa voordoen. De stijgende populariteit van gas wordt behalve door zijn schone karakter (minder CO2-uitstoot) veroorzaakt door het streven van veel landen hun afhankelijkheid van olie te verminderen.",2,DDD_010646635_0576_articletext.xml,Gasunie - directeur Bijl schat dat de totale vraag naar aardgas in Europa tussen nu en 2010 zal stijgen van 400 naar 665 miljard m 3 .
