,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,article_filepath,article_name,count,date,dir,energy_type,index_article,index_metadata,metadata_filepath,metadata_title,newspaper_city,newspaper_date,newspaper_issuenumber,newspaper_language,newspaper_publisher,newspaper_source,newspaper_title,newspaper_volume,accuracy_selection,text,text_clean,type,sentiment,energy
0,290,18481,18481,/Users/leonardovida/dev/HistAware/data/raw/delpher/1980s/1980/06-14/DDD_010570752/DDD_010570752_0497_articletext.xml,DDD_010570752_0497_articletext.xml,2,1980-06-14,/Users/leonardovida/dev/HistAware/data/raw/delpher/1980s/1980/06-14/DDD_010570752,oil,3364653,10928.0,/Users/leonardovida/dev/HistAware/data/raw/delpher/1980s/1980/06-14/DDD_010570752/DDD:ddd:010570752:mpeg21.didl.xml.gz.xml,DDD:ddd:010570752:mpeg21.didl.xml.gz.xml,Heerlen,1980-06-14,138.0,nl,Nieuwe Limburger koerier;Uitgeversmaatschappĳ Limburgs Dagblad,KB C 101,Limburgsch dagblad,62.0,0.0483501861831825,"Steeds meer voorstanders van de bouw van kolenvergassers roeren zich. De Gasunie zou liever gisteren dan vandaag een vergasser in het Eemshavengebied hebben staan. Volgend jaar moet - als alles meezit - de bouw van een gigantische kolengasfabriek starten pm einde 1984 per uur ruim driehonderdduizend kubieke meter kolengas te kunnen produceren. Kolengas is alleen rendabel als het in grote hoeveelheden wordt gemaakt. De fabriek in de Eemshaven zou drie steden met de omvang van Groningen van gas kunnen voorzien. De bouwkosten bedragen ongeveer 1 miljard gulden. Kolenvergassing in grote installaties is een bekend procédé, alleen is er nog niet veel ervaring mee opgedaan. Er staan momenteel proefinstallaties bij Shell Research in Amsterdam, bij TNO in Apeldoorn en bij het Energie Centrum Nederland in Petten. Ook zijn er demonstratieprojecten aan de Eemshaven van de Gasunie, op de Maasvlakte van het Gemeentebedrijf Rotterdam en de Kema en bij Moerdijk van Shell. Volgens het ministerie var. Economische Zaken is er nog geen concrete raming van het steenkoolverbruik voor vergassingsinstallaties te geven. Gedacht zou kunnen worden aan drie vergassingsinstallaties in 1990. De installaties",steeds meer voorstanders van de van roeren zich de zo liever gisteren dan vandaag een vergasser in het hebben staan volgend jaar moet als alles meezit de van een gigantische starten einde per meter te is alleen rendabel als het in grote hoeveelheden wordt gemaakt de fabriek in de zo drie steden met de omvang van van gas voorzien de bedragen ongeveer miljard in grote installaties is een bekend alleen is er nog niet veel ervaring mee opgedaan er staan momenteel bij research in bij in en bij het energie in petten ook zijn er demonstratieprojecten aan de van de op de van het gemeentebedrijf en de en bij van volgens het ministerie var economische zaken is er nog geen concrete raming van het voor te geven gedacht zo worden aan drie in de installaties,p,PO,Y
3,45,856,856,/Users/leonardovida/dev/HistAware/data/raw/delpher/1980s/1986/05-16/DDD_010566039/DDD_010566039_0349_articletext.xml,DDD_010566039_0349_articletext.xml,3,1986-05-16,/Users/leonardovida/dev/HistAware/data/raw/delpher/1980s/1986/05-16/DDD_010566039,coal,1747349,,,,,,,,,,,,0.0485746598127568,"HEERENVEEN - De animo voor gedroogd groenvoer is vorig jaar opnieuw gestegen. De productie van de veertien drogerijen, ondergebracht in de Vereniging van Nederlandse Groenvoederdrogenjen, steeg in 1985 tot bijna 188.000 ton. In vergelijking met het jaar daarvoor betekent dat een toename van 7000 ton. Niet in de laatste plaats is die groei te danken aan het wat al te regenrijke grasseizoen. „Als wij ooit het nut van ons bestaan hebben bewezen dan gebeurde dat wel in 1985,'1 sprak U.J.Roelofs, voorzitter van de VNG, gisteravond in het Postiljon Motel te Heerenveen tijdens de jaarvergadering. . I Hoe de meteorologische omstandigheden dit jaar ook zullen zijn, de VNG voorziet hoe dan ook een verdere verbetering van de positie van haar leden. „We produceren namelijk iets dat in Europa niet veel voorradig is. Er bestaat nog altijd een tekort aan eiwitproducten,"" aldus Roelofs, die dan ook niet verwacht dat de EG-subsidie op gedroogde groenvoeders spoedig zal verdwijnen. Vorig jaar ontvingen de gezamenlijke drogerijen van de Europese Gemeenschap een subsidie van in totaal 76 miljoen ecu. De VNG-leden betaalden in 1985 een gemiddelde droogprijs van f20,65 per honderd kilo. „Met dergelijke prijzen kunnen wij de concurrentie met inkuilen van gras en de aankoop van krachtvoeder volledig aan,"" aldus de ambtelijk secretaris van de VNG, L.A.M. Elenbaas uit Scherpenisse. Overigens vinden' de gezamenlijke drogerijen dat met name in Nederland het verbruik nog te gering is: vorig jaar 203.000 ton tegen 207.000 ton in 1984. „Dit cijfer zou in de komende vijfjaar met 10.000 ton per jaar moeten en kunnen toenemen, aldus secretaris Elenbaas. Om dat doel te bereiken start de VNG dit voorjaar in samenwerking met de Cebeco Handelsraad een ad-' vertentiecampagne waarin de drogerijproducten bij de veehouders worden aangeprezen. Groot probleem voor de drogers is het zogenaamde asgehalte in het eindproduct. Gemiddeld bevatte een kilo droge stof vorig jaar 172 gram grond, „en dat is echt teveel,"" oordeelde A.Ensing van het Bedrijfslaboratorium Noord-Nederland. Hij betreurde deze nieuwe stijging en vroeg de drogers: „Zijn er geen technische voorzieningen mogelijk om er wat grond uit te krijsen? Probeert u het, (het loont de moeite. Steeds meer groenvoerdrogerijen blijken over te stappen van aardgas op kolen. Weliswaar daalden tussen het tweede kwartaal van 1985 en het tweede kwartaal van dit jaar de aardgasprijzen met twintig cent per kubieke meter, de kolenprijzen daalden mee. „Het stoken van kolen blijft dan pok voordeliger,"" concludeerde secretaris Elenbaas. Landbouwproducten in Wageningen. Ir. H.J.Leutscher van het IBVL informeerde de voerdrogers gisteravond over de stand van zaken. ..Duidelijk is dat de enige kans op gezonde, concurrerende bedrijfsvoering ligt in de overschakeling op een kolenstookinstallatie. Andere brandstoffen lijken voor Nederland vooralsnog niet acceptabel, hetzij vanwege de kosten, hetzij om milieutechnische redenen,"" aldus ir. Leutscher. Nu het overgrote deel van de drogers inmiddels met succes op kolen is overgeschakeld begon ook een intensiever onderzoek naar de mogelijkheden van energiebesparing. Dit onderzoek, gesubsidieerd door het ministerie van economische zaken en uitgestrekt over drie seizoenen, is nog in volle gang. De afronding ervan wordt volgend voorjaar verwacht.",de animo voor gedroogd groenvoer is vorig jaar gestegen de van de veertien drogerijen ondergebracht in de vereniging van steeg in tot bijna ton in vergelijking met het jaar daarvoor betekent dat een toename van ton niet in de laatste plaats is die groei te danken aan het wat al te regenrijke als wij ooit het van ons bestaan hebben bewezen dan dat wel in sprak voorzitter van de gisteravond in het postiljon motel te tijdens de jaarvergadering hoe de meteorologische omstandigheden dit jaar ook zijn de voorziet hoe dan ook een verdere verbetering van de positie van haar leden we namelijk iets dat in niet veel voorradig is er bestaat nog altijd een tekort aan die dan ook niet verwacht dat de op gedroogde spoedig zal verdwijnen vorig jaar ontvingen de gezamenlijke drogerijen van de gemeenschap een van in totaal miljoen de betaalden in een gemiddelde van per honderd kilo met dergelijke prijzen wij de met van gras en de aankoop van krachtvoeder volledig aan de ambtelijk secretaris van de overigens vinden de gezamenlijke drogerijen dat met name in het nog te gering is vorig jaar ton tegen ton in dit cijfer zo in de komende met ton per jaar moeten en toenemen secretaris om dat doel te bereiken start de dit voorjaar in samenwerking met de een waarin de bij de worden aangeprezen groot probleem voor de drogers is het zogenaamde in het gemiddeld bevatte een kilo droge stof vorig jaar gram grond en dat is echt teveel oordeelde van het hij deze stijging en vroeg de drogers zijn er geen technische voorzieningen mogelijk om er wat grond te krijsen probeert het het loont de moeite steeds meer blijken over te stappen van aardgas op kolen weliswaar daalden het tweede kwartaal van en het tweede kwartaal van dit jaar de met twintig cent per meter de daalden mee het stoken van kolen blijft dan pok voordeliger secretaris in van het informeerde de gisteravond over de stand van zaken is dat de enige kans op gezonde bedrijfsvoering ligt in de overschakeling op een andere brandstoffen lijken voor vooralsnog niet acceptabel hetzij vanwege de kosten hetzij om redenen het overgrote deel van de drogers inmiddels met op kolen is overgeschakeld begon ook een intensiever onderzoek naar de mogelijkheden van energiebesparing dit onderzoek door het ministerie van economische zaken en over drie seizoenen is nog in volle gang de afronding ervan wordt volgend voorjaar verwacht,p,PO,Y
5,292,11400,11400,/Users/leonardovida/dev/HistAware/data/raw/delpher/1980s/1980/12-30/DDD_010960719/DDD_010960719_0140_articletext.xml,DDD_010960719_0140_articletext.xml,1,1980-12-30,/Users/leonardovida/dev/HistAware/data/raw/delpher/1980s/1980/12-30/DDD_010960719,coal,3334447,10826.0,/Users/leonardovida/dev/HistAware/data/raw/delpher/1980s/1980/12-30/DDD_010960719/DDD:ddd:010960719:mpeg21.didl.xml.gz.xml,DDD:ddd:010960719:mpeg21.didl.xml.gz.xml,Rotterdam,1980-12-30,10282.0,nl,De Arbeiderspers,Gemeentearchief Rotterdam,Het vrĳe volk : democratisch-socialistisch dagblad,34.0,0.0452732593696227,"Methanol kan worden vervaardigd uit steenkool en aardgas. De regering schat dat het steenkoolgebruik in ons land in het jaar 2000 dertig miljoen ton zal bedragen. Hiervan zal, zo schatten de TNO-medewerkers, ongeveer 5 miljoen ton nodig zijn om alle auto's voor 100 procent op alcohol te laten rijden.",methanol kan worden vervaardigd steenkool en aardgas de regering schat dat het in ons land in het jaar dertig miljoen ton zal bedragen hiervan zal zo schatten de ongeveer miljoen ton nodig zijn om alle voor procent op alcohol te laten rijden,p,PO,Y
8,2,443,443,/Users/leonardovida/dev/HistAware/data/raw/delpher/1980s/1981/03-05/DDD_011205050/DDD_011205050_0267_articletext.xml,DDD_011205050_0267_articletext.xml,4,1981-03-05,/Users/leonardovida/dev/HistAware/data/raw/delpher/1980s/1981/03-05/DDD_011205050,coal,1206219,3801.0,/Users/leonardovida/dev/HistAware/data/raw/delpher/1980s/1981/03-05/DDD_011205050/DDD:ddd:011205050:mpeg21.didl.xml.gz.xml,DDD:ddd:011205050:mpeg21.didl.xml.gz.xml,Amsterdam,1981-03-05,28987.0,nl,Dagblad De Telegraaf,Koninklijke Bibliotheek C 98,De Telegraaf,88.0,0.0460604680070228,"Omdat gas, waterkracht, olie en bruinkool om uiteenlopende redenen niet in aanmerking komen om dit gat te vullen, blijven slechts steenkolen en kernenergie als alternatieven over. Kolen worden in de Bondsrepubliek echter met de dag duurder en schaarser en ook het de klok rond stoken met kolen in elektriciteitscentrales is om bedrijfstechnische redenen een dure zaak. Volgens de gegevens waarover het ministerie van Economische Zaken in Bonn nu beschiit, is elektriciteit uit een kerncentrale, zoals die in",omdat gas waterkracht olie en om redenen niet in aanmerking komen om dit gat te blijven slechts steenkolen en kernenergie als alternatieven over kolen worden in de echter met de dag en schaarser en ook het de klok rond stoken met kolen in elektriciteitscentrales is om redenen een zaak volgens de gegevens waarover het ministerie van economische zaken in is elektriciteit een kerncentrale zoals die in,p,PO,Y
10,24,567,567,/Users/leonardovida/dev/HistAware/data/raw/delpher/1980s/1981/03-13/DDD_011205057/DDD_011205057_0405_articletext.xml,DDD_011205057_0405_articletext.xml,15,1981-03-13,/Users/leonardovida/dev/HistAware/data/raw/delpher/1980s/1981/03-13/DDD_011205057,oil,1133993,3547.0,/Users/leonardovida/dev/HistAware/data/raw/delpher/1980s/1981/03-13/DDD_011205057/DDD:ddd:011205057:mpeg21.didl.xml.gz.xml,DDD:ddd:011205057:mpeg21.didl.xml.gz.xml,Amsterdam,1981-03-13,28994.0,nl,Dagblad De Telegraaf,Koninklijke Bibliotheek C 98,De Telegraaf,88.0,0.0437595462704848,"Deze cijfers werden gisteren meegedeeld in Den Haag door Shell-president drs. D. In de op 21 mei a.s. te houden jaarvergadering zal worden voorgesteld Robert S. Mc Nam ara met ingang van 1 juli tot commissaris van de Koninklijke Shell Groep te benoemen . McNamara was tot voor kort president van de Wereldbank. Daarvoor was hij o.a. minister van Defensie in de Verenigde Staten en president-directeurvan het auto-concern Ford. de Bruyne, tijdens een toelichting op een aantal kerngegevens uit het op 24 april verschijnende jaarverslag. Zoals gewoonlijk heeft Shell uitgerekend wat het nettoresultaat is als men het effect van de methode van voorraad waardering en valutaomrekening elimineert. Dan komt de nettowinst uit op £ 1520 miljoen tegen £ 1755 miljoen in 1979, een daling van 13 %. De heer De Bruyne noemde een groot aantal redenen voor deze daling. Ten eerste daalde de vraag naar olie in de westerse wereld vorig jaar met 5 % onder invloed van de recessie en energiebesparende maatregelen. Voor dit jaar wordt een daling van de vraag verwacht van nog eens 4 % .Dan is de post belastingen nogal sterk gestegen van 2,6 miljard pond in 1979 tot ruim drie miljard pond over het vorige jaar.De concurrentie had het voordeel te beschikken over ruwe olie uit Saoedi-Arabië, die in 1980 al gemiddeld $ 2 per vat goedkoper was dan andere olie ' uit het Midden-Oosten.Dat prijsverschil is nu al opgelopen tot $ 4. Daarnaast ging het bijzonder slecht in de sector chemie: werd in 1979 daar nog een winst geboekt van(geeorrigeerd) 137 miljoen pond sterling, over 1980 werd een verlies geleden van ongeveer 77 miljoen pond. In Nederland werd over het vorige jaar in de chemie een verlies geleden van ƒ 100 miljoen terwijl over 1979 diezelfde ƒ 100 miljoen werd verdiend. ""En het ziet er niet naar uit dat daar de eerste paar jaar een verandering ten goede in komt,"" aldus drs. De Bruyne. De chemie kampt met sterk stijgende kosten van grondstoffen die wegens de recessie niet kunnen worden doorberekend. Vooral het vierde kwartaal van vorig jaar verliep voor Shell minder gunstig, omdat de winstmarges onder druk kwamen De geschoonde winst kwam uit op 283 miljoen pond tegen 379 miljoen pond in het laatste kwartaal van 1979. Ook de afzet van aardgas daalde (met 7 % )maar de prijsstijging maakte dat meer dan goed. In de sector metalen werd ook de weerslag van de recessie ondervonden zodat de winst hier daalde van 22 miljoen pond tot 10 miljoen pond. Beter ging het met de handel in kolen. De internationaal verhandeldehoeveelheid steenkool nam toe met met 40 % tot 7,9 miljoen ton. Toch werd nog een aanloopverlies geleden van 25 miljoen pond ( v.j. 33 miljoen ). Binnen enkele jaren verwacht Shell uit het verlies te zijn. Goed gingen de zaken eveneens in de VS en Canada, waar de resultaten van Shell Oil en Shell Canada op dollarbasis met 37 % omhoog gingen. De produktie van het overgenomen olieconcern Belridge steeg met 26 %. Shell is nu de grootste benzineverkoper in de VS. De investeringen beliepen in 1980 een bedrag van 2927 miljoen pond, dat is 24 % meer dan in 1979. Shell verwacht dan ook dat vooral de olie- en aardgasproduktie uit de Noordzee sterk zal toenemen in de komende jaren. Uit Iran worden sinds enige tijd al weer 100.000 vaten olie per dag geïmporteerd. Wat betreft de vooruitzichten bleef drs. De Bruyne voorzichtig. ""Er is op het moment voldoende olie aanwezig en dat blijft nog wel even zo tenzij enkele producenten hun produktie gaan beperken. Maar dat zal niet leiden tot belangrijke prijsdalingen, hoogstens zal hier en daar de opslag op de officiele OPECprijs vervallen. De vraag naar energie blijft dalen en onze marges staan nog steeds onder druk. Het wordt een gemiddeld jaar met enkele problemen.""",deze cijfers werden gisteren meegedeeld in door in de op mei te jaarvergadering zal worden voorgesteld nam ara met ingang van tot commissaris van de koninklijke groep te benoemen was tot voor kort president van de wereldbank daarvoor was hij minister van defensie in de verenigde staten en het ford de tijdens een toelichting op een aantal kerngegevens het op april verschijnende jaarverslag zoals gewoonlijk heeft wat het is als men het effect van de methode van voorraad waardering en elimineert dan komt de nettowinst op miljoen tegen miljoen in een daling van de heer de noemde een groot aantal redenen voor deze daling ten eerste daalde de vraag naar olie in de westerse wereld vorig jaar met onder invloed van de recessie en energiebesparende maatregelen voor dit jaar wordt een daling van de vraag verwacht van nog eens is de post belastingen nogal sterk gestegen van miljard pond in tot drie miljard pond over het vorige had het voordeel te beschikken over olie die in al gemiddeld per vat goedkoper was dan andere olie het prijsverschil is al opgelopen tot daarnaast ging het bijzonder slecht in de sector chemie werd in daar nog een winst geboekt van miljoen pond sterling over werd een verlies geleden van ongeveer miljoen pond in werd over het vorige jaar in de chemie een verlies geleden van miljoen terwijl over diezelfde miljoen werd verdiend en het ziet er niet naar dat daar de eerste paar jaar een verandering ten goede in komt de de chemie kampt met sterk stijgende kosten van grondstoffen die wegens de recessie niet worden doorberekend vooral het vierde kwartaal van vorig jaar verliep voor minder omdat de winstmarges onder kwamen de geschoonde winst kwam op miljoen pond tegen miljoen pond in het laatste kwartaal van ook de afzet van aardgas daalde met maar de prijsstijging maakte dat meer dan goed in de sector metalen werd ook de weerslag van de recessie ondervonden zodat de winst hier daalde van miljoen pond tot miljoen pond beter ging het met de handel in kolen de internationaal steenkool nam toe met met tot miljoen ton toch werd nog een aanloopverlies geleden van miljoen pond miljoen binnen enkele jaren verwacht het verlies te zijn goed gingen de zaken eveneens in de en canada waar de van en canada op met omhoog gingen de van het overgenomen olieconcern steeg met is de grootste in de de investeringen beliepen in een bedrag van miljoen pond dat is meer dan in verwacht dan ook dat vooral de en de sterk zal toenemen in de komende jaren worden sinds enige tijd al weer vaten olie per dag ge wat betreft de bleef de voorzichtig er is op het moment voldoende olie aanwezig en dat blijft nog wel even zo tenzij enkele gaan beperken maar dat zal niet leiden tot belangrijke prijsdalingen hoogstens zal hier en daar de opslag op de vervallen de vraag naar energie blijft dalen en onze marges staan nog steeds onder het wordt een gemiddeld jaar met enkele problemen,p,PO,Y
12,41,835,835,/Users/leonardovida/dev/HistAware/data/raw/delpher/1980s/1984/07-10/DDD_010565472/DDD_010565472_0250_articletext.xml,DDD_010565472_0250_articletext.xml,3,1984-07-10,/Users/leonardovida/dev/HistAware/data/raw/delpher/1980s/1984/07-10/DDD_010565472,coal,7706262,,,,,,,,,,,,0.0475106658801595,"WARSCHAU - Polen heeft dit jaar al meer dan 23 miljoen ton kolen geëxporteerd. Als deze tendens zich voortzet dan zal 1984 een recordjaar worden. De grootste export tot nog toe werd bereikt in 1979, toen het Oosteuropese land 41.4 miljoen ton kolen aan het buitenland verkocht. Van de huidige export van 23 miljoen ton kolen is 14.5 miljoen ton verkocht aan buitenlandse afnemers die in harde valuta's betalen.",heeft dit jaar al meer dan miljoen ton kolen ge als deze tendens zich voortzet dan zal een worden de grootste export tot nog toe werd bereikt in toen het land miljoen ton kolen aan het verkocht van de export van miljoen ton kolen is miljoen ton verkocht aan afnemers die in harde betalen,p,PO,Y
13,61,1001,1001,/Users/leonardovida/dev/HistAware/data/raw/delpher/1980s/1982/10-08/DDD_011010583/DDD_011010583_0318_articletext.xml,DDD_011010583_0318_articletext.xml,3,1982-10-08,/Users/leonardovida/dev/HistAware/data/raw/delpher/1980s/1982/10-08/DDD_011010583,coal,6164154,19971.0,/Users/leonardovida/dev/HistAware/data/raw/delpher/1980s/1982/10-08/DDD_011010583/DDD:ddd:011010583:mpeg21.didl.xml.gz.xml,DDD:ddd:011010583:mpeg21.didl.xml.gz.xml,Groningen,1982-10-08,236.0,nl,Nieuwenhuis,Groninger archieven,Nieuwsblad van het Noorden,95.0,0.0290417000836528,"In de Nederlandse centrales wordt vooral olie (41 procent) en'aardgas (34 procent) gestookt. Kolen, als brandstof voor elektriciteitsopwekking, nemen 21 procent voor hun rekening en uranium (kernenergie) 4 procent. Deze percentages zijn ■ gebaseerd op brandstofverbruikcijfers in het eerste kwartaal van dit jaar. Om een ruimer gebruik van kolen te kunnen maken zijn twee grote elektriciteitscentrales in Geertruidenberg en in Nijmegen nu voor dit doel beschikbaar, terwijl enkele andere voor het gebruik van kolen worden omgebouwd of waar vergaande plannen voor deze overschakeling bestaan.' Het betreft de twee centrales op de Maasvlakte, de centrale in Borssele en de Flevocentrale.",in de centrales wordt vooral olie procent procent gestookt kolen als brandstof voor nemen procent voor rekening en kernenergie procent deze percentages zijn gebaseerd op in het eerste kwartaal van dit jaar om een van kolen te maken zijn twee grote elektriciteitscentrales in en in voor dit doel beschikbaar terwijl enkele andere voor het van kolen worden of waar vergaande plannen voor deze overschakeling bestaan het betreft de twee centrales op de de centrale in en de,p,NE,Y
17,172,2822,2822,/Users/leonardovida/dev/HistAware/data/raw/delpher/1980s/1984/10-30/DDD_010961859/DDD_010961859_0194_articletext.xml,DDD_010961859_0194_articletext.xml,2,1984-10-30,/Users/leonardovida/dev/HistAware/data/raw/delpher/1980s/1984/10-30/DDD_010961859,coal,7699706,,,,,,,,,,,,0.0402182309036163,"UTRECHT — Het partijbestuur van het CDA heeft gisteravond nog geen beslissing genomen over de vraag of er meer kerncentrales in ons land moeten komen. Het partijbestuur wijst een uitbreiding niet principieel af, maar vindt het noodzakelijk dat eerst de discussie in de partij wordt voortgezet. CDA-voorzitter Piet Bukman verklaarde dat gisteravond na afloop van een partijbestuursvergadering. Gediscussieerd werd over een rapport van een werkgroep uit de CDA waarin staat dat het aandeel van kernenergie in de energievoorziening moet worden vergroot. Volgens deze werkgroep is het afvalprobleem van fossiele brandstoffen (kolen, olie etc.) groter dan dat van kernenergie. Het partijbestuur van het CDA vindt dat over een mogelijke uitbreiding van het aantal kerncentrales snel moet worden nagedacht nu het probleem van •' de zure regen steeds groter wordt. \Er zou een terughoudend beleid moeten worden gevoerd ten aanzien van de inzet van steenkool , en aardgas. '■ ■ • ■■- ..'-/",het van het heeft gisteravond nog geen beslissing genomen over de vraag of er meer in ons land moeten komen het wijst een niet principieel af maar vindt het noodzakelijk dat eerst de in de partij wordt voortgezet piet verklaarde dat gisteravond na afloop van een werd over een rapport van een werkgroep de waarin staat dat het aandeel van kernenergie in de energievoorziening moet worden vergroot volgens deze werkgroep is het van fossiele brandstoffen kolen olie groter dan dat van kernenergie het van het vindt dat over een mogelijke van het aantal snel moet worden nagedacht het probleem van de regen steeds groter wordt zo een beleid moeten worden gevoerd ten aanzien van de inzet van steenkool en aardgas,p,NG,Y
19,17,568,568,/Users/leonardovida/dev/HistAware/data/raw/delpher/1980s/1981/11-28/DDD_011008422/DDD_011008422_0440_articletext.xml,DDD_011008422_0440_articletext.xml,3,1981-11-28,/Users/leonardovida/dev/HistAware/data/raw/delpher/1980s/1981/11-28/DDD_011008422,coal,1039968,3215.0,/Users/leonardovida/dev/HistAware/data/raw/delpher/1980s/1981/11-28/DDD_011008422/DDD:ddd:011008422:mpeg21.didl.xml.gz.xml,DDD:ddd:011008422:mpeg21.didl.xml.gz.xml,Groningen,1981-11-28,280.0,nl,Nieuwenhuis,Groninger archieven,Nieuwsblad van het Noorden,94.0,0.0257619897464319,",Het is in het kader van de mij toegemeten ruimte niet mogelijk utvoerig in te gaan op al die energiebronnen. Daarom kortheidshalve dit: van ""de fossiele brandstof is steenkool het overvloedigst aanwezig. Gas en olie zijn gemakkelijker winbaar, maar sneller uitgeput. Een vraag die ook beantwoord dient te worden: kan steenkool de groeiende energiebehoefte opvangen? En: leren landen die geen steenkool hebben zich afhankelijk te stellen van grote importen? En hoe staat het met de milieu- en volksgezondheidseisen bij de winning van fossiele brandstoffen? Voor wat betreft oliej is het zo. langzamerhand duidelijk dat tal van landen wat minder afhankelijk willen zijn van de olieproducerende landen in het Middenoosten. Het is nodig dat we ons richten op zogenaamde diversificatie van energie, opdat we ons niet afhankelijk maken van één energiebron. Dat zou ook van belang zijn voor die Derde Wereld, om-' dat juist voor die wereld de olieprijzen nu al niet meer te betalen zijn.",het is in het kader van de mij toegemeten niet mogelijk in te gaan op al die energiebronnen daarom kortheidshalve dit van de fossiele brandstof is steenkool het overvloedigst aanwezig gas en olie zijn gemakkelijker maar sneller een vraag die ook beantwoord dient te worden kan steenkool de groeiende opvangen en leren landen die geen steenkool hebben zich afhankelijk te stellen van grote importen en hoe staat het met de en bij de winning van fossiele brandstoffen voor wat betreft is het zo langzamerhand dat tal van landen wat minder afhankelijk willen zijn van de landen in het het is nodig dat we ons richten op zogenaamde diversificatie van energie opdat we ons niet afhankelijk maken van energiebron dat zo ook van belang zijn voor die derde wereld dat voor die wereld de al niet meer te betalen zijn,p,PO,Y
20,34,801,801,/Users/leonardovida/dev/HistAware/data/raw/delpher/1980s/1984/11-12/DDD_011206017/DDD_011206017_0145_articletext.xml,DDD_011206017_0145_articletext.xml,3,1984-11-12,/Users/leonardovida/dev/HistAware/data/raw/delpher/1980s/1984/11-12/DDD_011206017,coal,7440951,24322.0,/Users/leonardovida/dev/HistAware/data/raw/delpher/1980s/1984/11-12/DDD_011206017/DDD:ddd:011206017:mpeg21.didl.xml.gz.xml,DDD:ddd:011206017:mpeg21.didl.xml.gz.xml,Amsterdam,1984-11-12,30134.0,nl,Dagblad De Telegraaf,Koninklijke Bibliotheek C 98,De Telegraaf,91.0,0.0379342340525448,"Een woordvoerder van het FNV vertelde zaterdag het Engelse dagblad The Guardian: „We steunen de Britse mijnwerkers financieel en dan is een boycot een logische volgende stap. We moeten er echter zeker van zijn dat onze mannen daarvoor voelen. Bovendien moet niet alleen Nederland erom gevraagd worden, maar ook de andere landen, die kolen naar Engeland exporteren."" De Britse mijnwerkers, wier staking nu 36 weken oud is, voelden zich gisteren gesterkt door de reactie van de FNV. De Britse Centrale Electriciteitscommissie heeft op het ogenblik nog steeds 2 1/2 miljoen ton steenkool in Rotterdam opgeslagen, maar heeft nog niet geprobeerd deze naar Engeland te verschepen. Wel is de export van andere steenkool vanuit Nederland dit jaar van 125.000 ton tot een miljoen ton gestegen.",een woordvoerder van het vertelde zaterdag het dagblad we stenen de mijnwerkers financieel en dan is een boycot een logische volgende stap we moeten er echter zeker van zijn dat onze mannen daarvoor voelen bovendien moet niet alleen erom gevraagd worden maar ook de andere landen die kolen naar exporteren de mijnwerkers wier staking weken is voelden zich gisteren gesterkt door de reactie van de de centrale heeft op het ogenblik nog steeds miljoen ton steenkool in opgeslagen maar heeft nog niet geprobeerd deze naar te verschepen wel is de export van andere steenkool dit jaar van ton tot een miljoen ton gestegen,p,NG,Y
