Unnamed: 0,Unnamed: 0.1,article_filepath,article_name,count,date,dir,index_article,index_metadata,metadata_filepath,metadata_title,newspaper_city,newspaper_date,newspaper_issuenumber,newspaper_language,newspaper_publisher,newspaper_source,newspaper_title,newspaper_volume,sentiment,text,text_clean,type,energy
75,75,/Users/leonardovida/dev/HistAware/data/raw/delpher/1990s/1992/01-27/DDD_010559878/DDD_010559878_0088_articletext.xml,DDD_010559878_0088_articletext.xml,11,1992-01-27,/Users/leonardovida/dev/HistAware/data/raw/delpher/1990s/1992/01-27/DDD_010559878,1699050,4340.0,/Users/leonardovida/dev/HistAware/data/raw/delpher/1990s/1992/01-27/DDD_010559878/DDD:ddd:010559878:mpeg21.didl.xml.gz.xml,DDD:ddd:010559878:mpeg21.didl.xml.gz.xml,Amersfoort,1992-01-27,11999.0,nl,Stichting Nederlands Dagblad,Nederlands Dagblad,Nederlands dagblad : gereformeerd gezinsblad / hoofdred. P. Jongeling ... [et al.],48.0,PO,"Dit jaar is het precies 200 jaar geleden dat voor het eerst gasverlichting in een huis werd toegepast. Het was een Schotse ingenieur, William Murdoch, die zijn huis in Cornwall verlichtte met gas, dat hij uit steenkool verkregen had. Het woord 'gas' is in 1610 bedacht door onze landgenoot Johannes van Helmont en is afgeleid van het Griekse woord 'chaos. Tot het midden van de jaren zestig werd voor verlichting meestal gas afkomstig uit steenkolen gebruikt. Dit gas, een mengsel van waterstof en methaan, werd verkregen door steenkolen in een retort te verhitten. Om te voorkomen dat de steenkool verbrandt, gebeurt dit zonder lucht. Het was de Engelsman John Clayton, die deze methode van gaswinning uitvond. Hoewel 'de vader van de gasindustrie', zoals hij wel genoemd wordt, zijn uitvinding in 1684 deed, vond praktische toepassing ervan pas honderd jaar later plaats. Murdoch was niet de eerste die gasverlichting toepaste. Dat was Jan Minkeler, een hoogleraar in Luik. Hij verlichtte zijn collegezaal ermee. Het belang van Murdoch's toepassing bestond hierin, dat hij steenkoolgas voor huizen toepasbaar maakte. In de 19e eeuw verrezen gasfabrieken als paddestoelen uit de grond. Gasverlichting maakte het mogelijk langer te werken en dat was in de jaren van de industriële revolutie van groot belang. Voor de arbeiders werden de toch al lange werkdagen nog langer. Gas maken was een smerige baan en niet zonder gevaar. Veel arbeiders in gasfabrieken stierven aan bronchitis, longontsteking en kanker. Het gas dat we heden ten dage gebruiken, is aardgas. Dit gas geeft tweemaal zoveel warmte als steenkoolgas, is niet giftig en heeft geen reuk. Om veiligheidsredenen is een geurtje toege-",dit jaar is het precies jaar geleden dat voor het eerst in een werd toegepast het was een die zijn in verlichtte met gas dat hij verkregen had het woord is in bedacht door onze landgenoot van en is afgeleid van het woord tot het midden van de jaren zestig werd voor verlichting meestal gas afkomstig steenkolen dit gas een mengsel van waterstof en methaan werd verkregen door steenkolen in een retort te verhitten om te voorkomen dat de steenkool verbrandt dit zonder het was de die deze methode van gaswinning hoewel vader van de zoals hij wel genoemd wordt zijn in deed vond praktische toepassing ervan pas honderd jaar later plaats was niet de eerste die toepaste dat was jan een in lik hij verlichtte zijn collegezaal ermee het belang van toepassing bestond hierin dat hij steenkoolgas voor toepasbaar maakte in de verrezen gasfabrieken als paddestoelen de grond maakte het mogelijk langer te werken en dat was in de jaren van de van groot belang voor de arbeiders werden de toch al lange werkdagen nog langer gas maken was een smerige baan en niet zonder gevaar veel arbeiders in gasfabrieken stierven aan bronchitis longontsteking en kanker het gas dat we heden ten is aardgas dit gas geeft tweemaal zoveel warmte als is niet giftig en heeft geen rek om is een,p,Y
1685,1685,/Users/leonardovida/dev/HistAware/data/raw/delpher/1990s/1991/10-08/DDD_010623722/DDD_010623722_0066_articletext.xml,DDD_010623722_0066_articletext.xml,3,1991-10-08,/Users/leonardovida/dev/HistAware/data/raw/delpher/1990s/1991/10-08/DDD_010623722,3929170,,,,,,,,,,,,NG,"DEN HAAG - De fractie van Groen Links in de Tweede Kamer wil door het invoeren van een speciale milieubelasting, de zogeheten groentax, de prijzen van aardgas en elektriciteit in drie jaarlijkse stappen verdubbelen. Het geld dat de overheid daarmee incasseert, moet volgens Groen Links gebruikt worden voor lastenverlichtende maatregelen voor burgers en bedrijven. Deze twee elementen vormen de hoofdmoot van een plan dat Groen Links gisteren heeft bekendgemaakt en dat een belangrijk onderdeel zal vormen bij de inbreng van deze partij bij de algemene beschouwingen in de Tweede Kamer deze week. Groen Links wil in drie stappen in 1994 komen tot een groentax van 50 cent op elke kubieke meter aardgas. Een kubieke meter aardgas kost momenteel 54 cent. De opbrengst van deze maatregelen in 1994 wordt geschat op 28,4 miljard gulden. Groen Links gaat er echter van uit dat als gevolg van de opgelegde groentax het energiegebruik met 35 procent zal dalen, waardoor een structurele opbrengst voor de overheid van 17,7 miljard gulden resteert. De energiebesparing brengt echter met zich mee dat de schatkist voor ongeveer 2,2 miljard gulden minder aan aardgasbaten ontvangt. Er blijft dus een bedrag van 15,5 miljard gulden over voor lastenverlichtende maatregelen.",de fractie van groen links in de tweede kamer wil door het invoeren van een speciale de zogeheten de prijzen van aardgas en elektriciteit in drie jaarlijkse stappen het geld dat de overheid daarmee incasseert moet volgens groen links worden voor maatregelen voor en bedrijven deze twee elementen vormen de hoofdmoot van een plan dat groen links gisteren heeft bekendgemaakt en dat een belangrijk onderdeel zal vormen bij de inbreng van deze partij bij de algemene in de tweede kamer deze week groen links wil in drie stappen in komen tot een van cent op elke meter aardgas een meter aardgas kost momenteel cent de van deze maatregelen in wordt geschat op miljard groen links er echter van dat als gevolg van de opgelegde het met procent zal dalen waardoor een opbrengst voor de overheid van miljard resteert de energiebesparing brengt echter met zich mee dat de schatkist voor ongeveer miljard minder aan aardgasbaten ontvangt er blijft een bedrag van miljard over voor maatregelen,p,Y
266,266,/Users/leonardovida/dev/HistAware/data/raw/delpher/1990s/1993/02-02/DDD_011020174/DDD_011020174_0229_articletext.xml,DDD_011020174_0229_articletext.xml,7,1993-02-02,/Users/leonardovida/dev/HistAware/data/raw/delpher/1990s/1993/02-02/DDD_011020174,551125,1369.0,/Users/leonardovida/dev/HistAware/data/raw/delpher/1990s/1993/02-02/DDD_011020174/DDD:ddd:011020174:mpeg21.didl.xml.gz.xml,DDD:ddd:011020174:mpeg21.didl.xml.gz.xml,Groningen,1993-02-02,27.0,nl,Nieuwenhuis,Groninger archieven,Nieuwsblad van het Noorden,106.0,PO,"ninger dorp zat een winbare voorraad van ruwweg 2.700 miljard kuub toen de exploitatie in de jaren zestig begon. Inmiddels is daar nog ongeveer de helft van over. En de resterende helft zal minder gemakkelijk naar boven komen dan het deel dat al verstookt is. Zonder speciale maatregelen kan binnen een paar jaar de aanvoer al zo ver teruglopen dat er op een koude winterdag problemen ontstaan, voorspelt de NAM al enige tijd. Een bijkomend probleem is dat het gas uit de kleinere velden niet geschikt is om zonder meer in het Nederlandse aardgasnet te pompen. Alle ketels en fornuizen in ons land zijn afgesteld op het laagcalorische gas van Slochteren, terwijl de kleinere velden meestal gas met een hogere verbrandingswaarde opleveren. Aangezien veel buitenlandse gasnetten juist wel zijn ingericht op hoogcalorisch gas, is het bij uitstek geschikt voor export. Het gas uit de kleinere velden wordt dan ook zo veel mogelijk gebruikt om te voldoen aan de langlopende exportcontracten, waarvan de meeste tussen 2010 en 2015 aflopen. Voor binnenlands gebruik moet het worden gemengd met laagcalorische soorten en de NAM heeft zelfs bij Ommen een fabriek neergezet voor de productie van stikstof, waarmee de verbrandingswaarde kan worden aangepast. De vondst bij Anjum versterkt het vermoeden, dat er ook onder de Waddenzee nog flinke hoeveelheden gas verstopt zitten. De boringen op Ameland waren immers ook een succes, dus je hoeft nauwelijks geoloog te zijn om te vermoeden dat er tussen die twee plaatsen ook wel wat te vinden is. Ruwe schattingen variëren tussen de 60 en 150 miljard kubieke meter winbaar gas.",dorp zat een voorraad van miljard toen de exploitatie in de jaren zestig inmiddels is daar nog ongeveer de helft van over en resterende helft zal minder gemakkelijk naar komen dan het deel dat al verstookt is zonder speciale maatregelen kan binnen een paar jaar de al zo ver dat er op een winterdag problemen ontstaan voorspelt de nam al enige tijd een bijkomend probleem is dat het gas de kleinere velden niet geschikt is om zonder meer in het aardgasnet te pompen alle ketels en in ons land zijn afgesteld op het gas van terwijl de kleinere velden meestal met een hogere verbrandingswaarde opleveren aangezien veel wel zijn ingericht op gas is het bij geschikt voor export het gas de kleinere wordt dan ook zo veel mogelijk om te voldoen aan de langlopende waarvan de meeste en aflopen voor binnenlands moet het worden gemengd met soorten en de nam heeft zelfs bij een fabriek neergezet voor de van stikstof waarmee de verbrandingswaarde kan worden aangepast de vondst bij versterkt het vermoeden dat er ook onder de nog flinke hoeveelheden gas verstopt zitten de boringen op waren immers ook een je hoeft geoloog te zijn om te vermoeden dat er die twee plaatsen ook wel wat te vinden is schattingen ren de en miljard meter gas,p,Y
2263,2263,/Users/leonardovida/dev/HistAware/data/raw/delpher/1990s/1990/06-26/DDD_010963571/DDD_010963571_0107_articletext.xml,DDD_010963571_0107_articletext.xml,3,1990-06-26,/Users/leonardovida/dev/HistAware/data/raw/delpher/1990s/1990/06-26/DDD_010963571,3014759,7747.0,/Users/leonardovida/dev/HistAware/data/raw/delpher/1990s/1990/06-26/DDD_010963571/DDD:ddd:010963571:mpeg21.didl.xml.gz.xml,DDD:ddd:010963571:mpeg21.didl.xml.gz.xml,Rotterdam,1990-06-26,13210.0,nl,De Arbeiderspers,Gemeentearchief Rotterdam,Het vrĳe volk : democratisch-socialistisch dagblad,46.0,NE,"De vraag naar energie in Europa (behalve de Sovjetunie) zal in de komende jaren stijgen van 400 miljard tot 500 miljard kubieke meter aardgas per jaar. Voor de korte termijn kunnen deze landen daar zelf voor zorgen, maar op langere termijn raken die voorraden uitgeput. De Sovjetunie moet in energiekrappe tijden de nieuwe leverancier voor heel Europa worden. Het gaat daarbij vooral om aardgas dat in Siberië in grote hoeveelheden aanwezig is, maar ook om aardolie. De Oosteuropea""en en de Russen hebben op hun beurt Westers geld en Westerse technologie nodig om de olie en het aardgas uit het bodem te haten, te verwerken en bij de consumenten te brengen, lubbers zei nog geen contact te hebben gehad met de Nederlandse aardgasindustrie. Mogelijk ziet die een fikse concurrent in de Sovjetunie. Om die reden zullen ook de ""oren niet enthousiast zijn.",de vraag naar energie in behalve de zal in de komende jaren stijgen van miljard tot miljard meter aardgas per jaar voor de korte termijn deze landen daar zelf voor zorgen maar op langere termijn raken die voorraden de moet in tijden de leverancier voor heel worden het daarbij vooral om aardgas dat in in grote hoeveelheden aanwezig is maar ook om aardolie de en en de hebben op westers geld en westerse technologie nodig om de olie en het aardgas het bodem te haten te verwerken en bij de te brengen zei nog geen contact te hebben gehad met de mogelijk ziet die een fikse in de om die reden ook de oren niet zijn,p,Y
887,887,/Users/leonardovida/dev/HistAware/data/raw/delpher/1990s/1992/07-22/DDD_010622682/DDD_010622682_0128_articletext.xml,DDD_010622682_0128_articletext.xml,4,1992-07-22,/Users/leonardovida/dev/HistAware/data/raw/delpher/1990s/1992/07-22/DDD_010622682,1956900,,,,,,,,,,,,NE,"GRONINGEN (ANP) - De afzet van de Gasunie is de eerste helft van dit jaar in vergelijking met de eerste helft van 1991 2 procent gestegen. Verkocht de Gasunie de eerste zes maanden van vorig jaar 44.249 kubieke meter aardgas in binnen- en buitenland, de eerste helft van dit jaar was dat 45.188 kubieke meter. Deze afzetstijging komt voor rekening van de export die, vergeleken met de eerste helft van 1991, met 9 procent toenam. De afzet aan het binnenland daalde met 4 procent. Vooral de gasdistributiebedrijven namen minder aardgas af, waarschijnlijk vanwege de zachtere winter. De afzet aan de elektriciteitscentrales in Nederland nam toe met 16 procent.",de afzet van de is de eerste helft van dit jaar in vergelijking met de eerste helft van procent gestegen verkocht de de eerste zes maanden van vorig jaar meter aardgas in en de eerste helft van dit jaar was dat meter deze komt voor rekening van de export die vergeleken met de eerste helft van procent toenam de afzet aan het binnenland daalde met procent vooral de minder aardgas af waarschijnlijk vanwege de zachtere winter de afzet aan de elektriciteitscentrales in nam toe met procent,p,Y
244,244,/Users/leonardovida/dev/HistAware/data/raw/delpher/1990s/1991/05-15/DDD_010646298/DDD_010646298_0752_articletext.xml,DDD_010646298_0752_articletext.xml,7,1991-05-15,/Users/leonardovida/dev/HistAware/data/raw/delpher/1990s/1991/05-15/DDD_010646298,3773907,,,,,,,,,,,,PO,"Van een onzer verslaggevers GRONINGEN, woensdag De Nederlandse aardgasvoorraden zijn groter dan ooit tevoren. Het totale bewezen aanbod bedraagt meer dan 2500 miljard m 3 en daarmee kan nog gedurende tientallen jaren de behoefte aan aardgas in ons land worden gedekt. Bovendien kan ruimschoots worden ingespeeld op de snel stijgende vraag uit het buitenland. Dat blijkt uit het gisteren gepresenteerde jaarverslag over 1990 van de Nederlandse Gasunie en het daarbij gevoegde 'Plan van gasafzet 1991. De enorme gasvoorraad is onder meer het gevolg van hogere ramingen van de winbare reserves in het Groningse gasveld Slochteren. Volgens de Nederlandse Aardolie Maatschappij (NAM) kan die voorraad worden verhoogd met 280 miljard m 3. Verder kunnen de reserves in de overige velden met 60 miljard m 3 omhoog. Vooral het gevoerde kleine velden-beleid begint vruchten af te werpen. De Gasunie geeft bij de inkoop van gas voorrang aan aardgas uit de kleine velden in ons land, waardoor het Groningse veld wordt gespaard en als strategische voorraadbuffer kan dienen. Vorig jaar zag de Gasunie de omzet toenemen met ruim 16% tot ƒ 15,4 miljard. De gasverkopen bedroegen in totaal 74,6 miljard m 3, een nieuw record. Hoewel de binnenlandse afzet met 0,4 miljard tot 40,3 miljard m 3 iets daalde, stegen de gasverkopen aan het buitenland met 1,4 miljard m 3 tot 34,3 miljard m 3. Van het gas was 40% afkomstig uit Groningen, 32% van de Noordzee, 24% uit overige velden op het vasteland en 4% uit Noorwegen.",van een onzer verslaggevers woensdag de zijn groter dan ooit tevoren het totale bewezen aanbod bedraagt meer dan miljard en daarmee kan nog tientallen jaren de behoefte aan aardgas in ons land worden gedekt bovendien kan worden ingespeeld op de snel stijgende vraag het dat blijkt het gisteren gepresenteerde jaarverslag over van de en het daarbij gevoegde van de enorme is onder meer het gevolg van hogere ramingen van de reserves in het volgens de aardolie maatschappij nam kan die worden verhoogd met miljard verder de reserves in de overige velden met miljard omhoog vooral het gevoerde kleine begint af te werpen de geeft bij de inkoop van gas voorrang aan aardgas de kleine velden in ons land waardoor het veld wordt gespaard en als strategische kan dienen vorig jaar zag de de omzet toenemen met tot miljard de bedroegen in totaal miljard een record hoewel de binnenlandse afzet met miljard tot miljard iets daalde stegen de aan het met miljard tot miljard van het gas was afkomstig van de overige velden op het vasteland en,p,Y
487,487,/Users/leonardovida/dev/HistAware/data/raw/delpher/1990s/1990/01-24/DDD_010646025/DDD_010646025_0738_articletext.xml,DDD_010646025_0738_articletext.xml,5,1990-01-24,/Users/leonardovida/dev/HistAware/data/raw/delpher/1990s/1990/01-24/DDD_010646025,2913256,7465.0,/Users/leonardovida/dev/HistAware/data/raw/delpher/1990s/1990/01-24/DDD_010646025/DDD:ddd:010646025:mpeg21.didl.xml.gz.xml,DDD:ddd:010646025:mpeg21.didl.xml.gz.xml,Amsterdam,1990-01-24,31731.0,nl,Dagblad De Telegraaf,KB C 98,De Telegraaf,98.0,PO,"GRONINGEN, woensdag De totale aardgasafzet van de Nederlandse Gasunie is vorig jaar met 11% gestegen. De afzet bedroeg in 1989 73.593 miljoen ms aardgas, tegenover 66.442 miljoen kubieke meter het jaar daarvoor. De toename van de totale afzet wordt vooral veroorzaakt door een stijging van 24% van de export, van 26.597 miljoen m' in 1988 naar 32.913 miljoen m 3 in 1989. De binnenlandse afzet bleef ongeveer gelijk. De gasdistributiebedrijven namen in 1989 20.263 miljoen m 3 aardgas af tegenover 20.321 m 3 het jaar daarvoor. Aan de industrie leverde de Gasunie in 1989 11.655 miljoen m 3 aardgas.",woensdag de totale van de is vorig jaar met gestegen de afzet bedroeg in miljoen aardgas tegenover miljoen meter het jaar daarvoor de toename van de totale afzet wordt vooral veroorzaakt door een stijging van van de export van miljoen in naar miljoen in de binnenlandse afzet bleef ongeveer gelijk de in miljoen aardgas af tegenover het jaar daarvoor aan de leverde de in miljoen aardgas,p,Y
711,711,/Users/leonardovida/dev/HistAware/data/raw/delpher/1990s/1993/02-11/DDD_010637870/DDD_010637870_0066_articletext.xml,DDD_010637870_0066_articletext.xml,4,1993-02-11,/Users/leonardovida/dev/HistAware/data/raw/delpher/1990s/1993/02-11/DDD_010637870,588678,1443.0,/Users/leonardovida/dev/HistAware/data/raw/delpher/1990s/1993/02-11/DDD_010637870/DDD:ddd:010637870:mpeg21.didl.xml.gz.xml,DDD:ddd:010637870:mpeg21.didl.xml.gz.xml,Heerlen,1993-02-11,35.0,nl,Nieuwe Limburger koerier;Uitgeversmaatschappĳ Limburgs Dagblad,KB C 101,Limburgsch dagblad,75.0,PO,"Dat de bodem van de Waddenzee zal dalen ontkent de NAM niet. Maar volgens de aardoliemaatschappij leidt dit niet tot onherstelbare aantasting van het onderwaterleven, in tegenstelling tot wat de Waddenvereniging daarvan zegt. „De praktijk bij de gaswinning bij Ameland heeft uitgewezen dat de bodemdaling maximaal achttien tot twintig centimeter zal zijn."" Daar komt bij dat de daling heel geleidelijk zal zijn, meent de NAM. Bovendien is er ook sprake van een natuurlijke bodemdaling door het inklinken van veenlagen. Dijkgraaf wijst er op dat op de plaats van de boring geen sprake zal zijn van vervuiling van het water. Al het materiaal wordt opgevangen en afgevoerd. En mocht zich een ramp voordoen - 'hoe klein die kans ook is' - dan kan gemorste boorspoeling geen onherstelbare schade aanrichten. „De spoeling is biologisch afbreekbaar en zorgt hooguit voor tijdelijke vervuiling van het water."" Het aardgas zelf spuit onder grote druk de atmosfeer in. De invloed daarvan op leven en milieu van de Waddenzee is verwaarloosbaar, zeggen de oliemaatschappijen. De NAM veronderstelt een gasvoorraad van zeker 100 miljard kubieke meter in de Waddenzee. Volgens Van Scherpenzeel is dat, indien het patroon van gasvelden onder Friesland en Groningen zich onder de zee voortzet, een 'conservatieve schatting. „Het zal tussen de 100 en 200 miljard kuub zijn. En dat is toch eenderde van de nog te vinden gasvoorraad op Nederlands grondgebied."" De NAM kan het zich dan ook niet voorstellen dat de overheid de winning van gas in de Waddenzee gaat verbieden. De schatkist kan de miljardenopbrengsten immers goed gebruiken.",dat de bodem van de zal dalen ontkent de nam niet maar volgens de leidt dit niet tot onherstelbare aantasting van het in tegenstelling tot wat de daarvan zegt de praktijk bij de gaswinning bij heeft dat de maximaal achttien tot twintig centimeter zal zijn daar komt bij dat de daling heel geleidelijk zal zijn meent de nam bovendien is er ook sprake van een door het inklinken van dijkgraaf wijst er op dat op de plaats van de boring geen sprake zal zijn van van het water al het materiaal wordt opgevangen en afgevoerd en mocht zich een ramp voordoen klein die kans ook is dan kan gemorste geen onherstelbare schade aanrichten de spoeling is biologisch afbreekbaar en zorgt voor tijdelijke van het water het aardgas zelf spit onder grote de atmosfeer in de invloed daarvan op leven en van de is verwaarloosbaar zeggen de oliemaatschappijen de nam veronderstelt een van zeker miljard meter in de volgens van is dat indien het patroon van onder en zich onder de zee voortzet een schatting het zal de en miljard zijn en dat is toch van de nog te vinden op grondgebied de nam kan het zich dan ook niet voorstellen dat de overheid de winning van gas in de verbieden de schatkist kan de immers goed,p,Y
2055,2055,/Users/leonardovida/dev/HistAware/data/raw/delpher/1990s/1990/09-15/DDD_010623857/DDD_010623857_0598_articletext.xml,DDD_010623857_0598_articletext.xml,3,1990-09-15,/Users/leonardovida/dev/HistAware/data/raw/delpher/1990s/1990/09-15/DDD_010623857,2578990,6578.0,/Users/leonardovida/dev/HistAware/data/raw/delpher/1990s/1990/09-15/DDD_010623857/DDD:ddd:010623857:mpeg21.didl.xml.gz.xml,DDD:ddd:010623857:mpeg21.didl.xml.gz.xml,Heerlen,1990-09-15,219.0,nl,Nieuwe Limburger koerier;Uitgeversmaatschappĳ Limburgs Dagblad,KB C 101,Limburgsch dagblad,72.0,NG,";(; "".'gelopen tien jaar hebben zich Ideld jaarlijks 85 ongevallen I ■Èedaan met aardgas. Dat is on- I*"" eer even veel als in de periode . fyoor. Doordat het aantal gas- toenam van 4,7 mil- J*J tot 5,7 miljoen is de veiligheid lA'sdien verbeterd. Dat conclufcA*' het VEG-Gasintituut van de K"" bedrijven in ons land uit een on- L^oek. Dat instituut blijft wijzen iL?e noodzaak van deskundig on- aan apparaten en de noodtJ .van voldoende ventilatie. « jaar blijkt gemiddeld met één fV""e ruim 7000 u installaties een *eval plaats te vinden. Het aantal «vallen waarbij één of meer dote betreuren zijn bedraagt gej -leid negen per jaar of wel één fch ongeveer zeshonderdduizend fes A'uitingen. Van de 85 ongevallen >ar vinden 77 plaats in huis en 8 |Ve* leidingnet. It. 6aat bij de ongelukken in huis J""L alleen om brand en ontploffin- IV.' -De dodelijke ongelukken zijn lamelijk aan vergiftiging te t. Ze doen zich vooral voor bij aten als keukengeysers en ile-verwarmingstoestellen. isapparaten vervuild zijn, veren zij het gas niet volledig en Jat het giftige koolmonoxyde. |W***-ëing door koolmonoxyde bovendien ontstaan door het lik van een toestel in een slecht 6htileerde ruimte.",tien jaar hebben zich jaarlijks ongevallen met aardgas dat is eer even veel als in de periode doordat het aantal toenam van tot miljoen is de veiligheid verbeterd dat het van de bedrijven in ons land een dat blijft wijzen noodzaak van aan apparaten en de voldoende ventilatie jaar blijkt gemiddeld met installaties een plaats te vinden het aantal vallen waarbij of meer zijn bedraagt negen per jaar of wel ongeveer fes van de ongevallen ar vinden plaats in en leidingnet bij de in alleen om brand en dodelijke zijn aan vergiftiging te ze doen zich vooral voor bij aten als en zijn veren zij het gas niet volledig en jat het giftige door bovendien ontstaan door het lik van een toestel in een slecht,p,Y
1051,1051,/Users/leonardovida/dev/HistAware/data/raw/delpher/1990s/1991/06-19/DDD_010646326/DDD_010646326_0673_articletext.xml,DDD_010646326_0673_articletext.xml,4,1991-06-19,/Users/leonardovida/dev/HistAware/data/raw/delpher/1990s/1991/06-19/DDD_010646326,3806965,,,,,,,,,,,,PO,"Deze hoeveelheid maakt deel uit van de 200 miljard kubieke meter, die de Gasunie met recente toestemming van minister Andriessen (Economische Zaken), bovenop haar bestaande export op de markt mag brengen. De extra levering is mogelijk door de technische ontwikkeling. Duitsland heeft extra gas hard nodig in verband met de bediening van meer verbruikers als gevolg van de hereniging van oost en west. Bovendien spreekt volgens Bakker het milieuvriendelijker karakter van gas onze oosterburen aan. Volgens de Gasunie wordt momenteel druk onderhandeld met andere landen over de verkoop van de resterende 130 miljard kubieke meter. Het gaat om België, Frankrijk, Zwitserland en Italië. Sommige contracten zullen worden verhoogd terwijl in andere gevallen nieuwe afspraken moeten worden vastgelegd.",deze hoeveelheid maakt deel van de miljard meter die de met recente toestemming van minister economische zaken bovenop haar bestaande export op de markt mag brengen de extra levering is mogelijk de technische ontwikkeling heeft extra gas hard nodig in verband met de bediening van meer als gevolg van de hereniging van en west bovendien spreekt volgens bakker het karakter van gas onze aan volgens de wordt momenteel onderhandeld met andere landen over de verkoop van de resterende miljard meter het om en sommige contracten worden verhoogd terwijl in andere gevallen afspraken moeten worden vastgelegd,p,Y
